"","site.ID","datetimeAK","Q","day","fDOM","SPC","Turb","NO3","ABS_254","DateTime","MeanDischarge","nitrateuM","fDOM.QSU.mn","SpCond.uScm.mn","Turbidity.FNU.mn"
"8384","POKE",2019-08-05 21:30:00,647.950782765609,"2019-08-05",109.532972098723,98.52,10.964,40.020059228681,0.3199,2019-08-05 21:30:00,647.950782765609,40.020059228681,109.532972098723,98.52,10.964
"8385","POKE",2019-08-05 21:45:00,650.38660431468,"2019-08-05",109.144557557484,98.62,10.84,39.816142412883,0.3204,2019-08-05 21:45:00,650.38660431468,39.816142412883,109.144557557484,98.62,10.84
"8386","POKE",2019-08-05 22:00:00,651.24829091676,"2019-08-05",109.614477061782,98.66,10.93,39.8452733865684,0.3232,2019-08-05 22:00:00,651.24829091676,39.8452733865684,109.614477061782,98.66,10.93
"8387","POKE",2019-08-05 22:15:00,649.955761013639,"2019-08-05",109.355272596495,98.76,10.852,39.7870114391975,0.318,2019-08-05 22:15:00,649.955761013639,39.7870114391975,109.355272596495,98.76,10.852
"8388","POKE",2019-08-05 22:30:00,647.950782765609,"2019-08-05",109.520009311253,98.92,10.284,39.7384598163885,0.3211,2019-08-05 22:30:00,647.950782765609,39.7384598163885,109.520009311253,98.92,10.284
"8389","POKE",2019-08-05 22:45:00,651.998048825962,"2019-08-05",109.304174671718,98.96,10.74,39.6704875444558,0.3186,2019-08-05 22:45:00,651.998048825962,39.6704875444558,109.304174671718,98.96,10.74
"8390","POKE",2019-08-05 23:00:00,651.173671788174,"2019-08-05",108.935040056457,99.12,11.132,39.6413565707704,0.3216,2019-08-05 23:00:00,651.173671788174,39.6413565707704,108.935040056457,99.12,11.132
"8391","POKE",2019-08-05 23:15:00,651.173671788174,"2019-08-05",108.971145094281,99.14,10.746,39.6025152725232,0.3212,2019-08-05 23:15:00,651.173671788174,39.6025152725232,108.971145094281,99.14,10.746
"8392","POKE",2019-08-05 23:30:00,652.391582562709,"2019-08-05",108.865969945998,99.32,10.896,39.5636739742759,0.3196,2019-08-05 23:30:00,652.391582562709,39.5636739742759,108.865969945998,99.32,10.896
"8393","POKE",2019-08-05 23:45:00,651.210981352467,"2019-08-05",108.935925018688,99.3,10.2133333333333,39.6219359216468,0.3187,2019-08-05 23:45:00,651.210981352467,39.6219359216468,108.935925018688,99.3,10.2133333333333
"8394","POKE",2019-08-06 00:00:00,648.775159803397,"2019-08-06",108.620576319201,99.32,11.04,39.4957017023433,0.3183,2019-08-06 00:00:00,648.775159803397,39.4957017023433,108.620576319201,99.32,11.04
"8395","POKE",2019-08-06 00:15:00,652.82242586375,"2019-08-06",108.432360666204,99.32,10.99,39.5539636497141,0.318,2019-08-06 00:15:00,652.82242586375,39.5539636497141,108.432360666204,99.32,10.99
"8396","POKE",2019-08-06 00:30:00,656.83238235981,"2019-08-06",108.159480097313,99.24,10.922,39.4762810532197,0.3181,2019-08-06 00:30:00,656.83238235981,39.4762810532197,108.159480097313,99.24,10.922
"8397","POKE",2019-08-06 00:45:00,658.443826871092,"2019-08-06",107.827108531453,99.32,11.608,39.3403365093543,0.3175,2019-08-06 00:45:00,658.443826871092,39.3403365093543,107.827108531453,99.32,11.608
"8398","POKE",2019-08-06 01:00:00,662.959245796778,"2019-08-06",107.693991004361,99.22,11.092,39.2238126146126,0.3186,2019-08-06 01:00:00,662.959245796778,39.2238126146126,107.693991004361,99.22,11.092
"8399","POKE",2019-08-06 01:15:00,667.400045593878,"2019-08-06",107.984597018051,99.34,11.04,39.1169990444327,0.3186,2019-08-06 01:15:00,667.400045593878,39.1169990444327,107.984597018051,99.34,11.04
"8400","POKE",2019-08-06 01:30:00,667.400045593878,"2019-08-06",107.991224982566,99.4,11.752,39.1364196935563,0.322,2019-08-06 01:30:00,667.400045593878,39.1364196935563,107.991224982566,99.4,11.752
"8401","POKE",2019-08-06 01:45:00,670.58562505215,"2019-08-06",107.648209931378,99.32,12.39,39.000475149691,0.3207,2019-08-06 01:45:00,670.58562505215,39.000475149691,107.648209931378,99.32,12.39
"8402","POKE",2019-08-06 02:00:00,675.494577714584,"2019-08-06",107.517408953747,99.22,12.862,38.9033719040729,0.3274,2019-08-06 02:00:00,675.494577714584,38.9033719040729,107.517408953747,99.22,12.862
"8403","POKE",2019-08-06 02:15:00,676.318954752371,"2019-08-06",107.551258116237,99.2,12.028,38.8062686584548,0.3257,2019-08-06 02:15:00,676.318954752371,38.8062686584548,107.551258116237,99.2,12.028
"8404","POKE",2019-08-06 02:30:00,681.546822022966,"2019-08-06",107.444817588035,99.22,12.878,38.8353996321403,0.3239,2019-08-06 02:30:00,681.546822022966,38.8353996321403,107.444817588035,99.22,12.878
"8405","POKE",2019-08-06 02:45:00,682.802042361795,"2019-08-06",107.695924540067,99.22,12.864,38.6509034654659,0.3308,2019-08-06 02:45:00,682.802042361795,38.6509034654659,107.695924540067,99.22,12.864
"8406","POKE",2019-08-06 03:00:00,686.849308422147,"2019-08-06",107.840359196371,99.22,12.904,38.6023518426568,0.3326,2019-08-06 03:00:00,686.849308422147,38.6023518426568,107.840359196371,99.22,12.904
"8407","POKE",2019-08-06 03:15:00,692.189104385621,"2019-08-06",107.885832729312,99.22,13.342,38.6606137900277,0.3329,2019-08-06 03:15:00,692.189104385621,38.6606137900277,107.885832729312,99.22,13.342
"8408","POKE",2019-08-06 03:30:00,688.854286670177,"2019-08-06",107.403745644897,99.12,14.01,38.6314828163423,0.3369,2019-08-06 03:30:00,688.854286670177,38.6314828163423,107.403745644897,99.12,14.01
"8409","POKE",2019-08-06 03:45:00,690.933884046793,"2019-08-06",107.207361022635,99.12,13.038,38.4275660005443,0.3379,2019-08-06 03:45:00,690.933884046793,38.4275660005443,107.207361022635,99.12,13.038
"8410","POKE",2019-08-06 04:00:00,693.837858461197,"2019-08-06",107.761513786577,99.12,13.928,38.3790143777352,0.3434,2019-08-06 04:00:00,693.837858461197,38.3790143777352,107.761513786577,99.12,13.928
"8411","POKE",2019-08-06 04:15:00,693.800548896904,"2019-08-06",108.691669195916,99.12,13.534,38.3110421058026,0.3502,2019-08-06 04:15:00,693.800548896904,38.3110421058026,108.691669195916,99.12,13.534
"8412","POKE",2019-08-06 04:30:00,694.550306806105,"2019-08-06",108.686383614364,99.04,NA,38.3207524303644,0.3455,2019-08-06 04:30:00,694.550306806105,38.3207524303644,108.686383614364,99.04,NA
"8413","POKE",2019-08-06 04:45:00,696.592594618428,"2019-08-06",107.726901951067,99.02,17.774,38.2333595093081,0.3494,2019-08-06 04:45:00,696.592594618428,38.2333595093081,107.726901951067,99.02,17.774
"8414","POKE",2019-08-06 05:00:00,701.464237716569,"2019-08-06",108.477836593439,99.02,14.692,38.1653872373754,0.344,2019-08-06 05:00:00,701.464237716569,38.1653872373754,108.477836593439,99.02,14.692
"8415","POKE",2019-08-06 05:15:00,703.862749701346,"2019-08-06",108.941890915891,99.22,14.49,38.087704640881,0.3422,2019-08-06 05:15:00,703.862749701346,38.087704640881,108.941890915891,99.22,14.49
"8416","POKE",2019-08-06 05:30:00,703.112991792144,"2019-08-06",109.264032403775,99.92,15.694,38.1556769128136,0.3453,2019-08-06 05:30:00,703.112991792144,38.1556769128136,109.264032403775,99.92,15.694
"8417","POKE",2019-08-06 05:45:00,705.623432469801,"2019-08-06",109.894213901168,100.02,13.654,37.9226291233302,0.3442,2019-08-06 05:45:00,705.623432469801,37.9226291233302,109.894213901168,100.02,13.654
"8418","POKE",2019-08-06 06:00:00,709.165236100527,"2019-08-06",109.400292101349,99.94,15.698,37.9129187987684,0.3461,2019-08-06 06:00:00,709.165236100527,37.9129187987684,109.400292101349,99.94,15.698
"8419","POKE",2019-08-06 06:15:00,711.994591386345,"2019-08-06",110.045691361405,100.06,NA,38.0488633426337,0.3455,2019-08-06 06:15:00,711.994591386345,38.0488633426337,110.045691361405,100.06,NA
"8420","POKE",2019-08-06 06:30:00,714.467722499708,"2019-08-06",110.755709569748,100.02,15.414,37.9420497724538,0.3477,2019-08-06 06:30:00,714.467722499708,37.9420497724538,110.755709569748,100.02,15.414
