column_label,HI_mean_Interp,HI_sd_with_Interp,N.S.,Max_width_Interp,Min_response,Max_response,Peak_Q,ShapiroTest.W,ShapiroTest.p,t.test.stat,t.test.p,t.test.CIlow,t.test.CIhigh,wilcox.test.stat,wilcox.test.p,storm.ID,site.ID
1,0.12687499999999974,0.098109075140886,-0.562499999999999,0.3125,22.2,23.8,418.87,0.7832,0,9.0524,0,0.0987,0.155,1186,0,CARI_storm1_07_15_NO3,CARI
2,-0.45141423655134993,0.20079258662599625,0.67346495200145,-0.870566926281471,34.636,53.0393333333333,418.87,0.7474,0,-15.7371,0,-0.5091,-0.3938,6,0,CARI_storm1_07_15_fDOM,CARI
3,0.7283170538542785,0.12811346512130173,-0.860128475888778,0.813335973248857,81.4963333333333,89.0723333333333,418.87,0.6146,0,39.7946,0,0.6915,0.7651,1275,0,CARI_storm1_07_15_SPC,CARI
4,0.08165082717353041,0.13271909539127535,0.243375069140644,0.338210891537185,-0.635333333333333,5.99366666666667,418.87,0.9653,0.1483,4.3065,1e-4,0.0435,0.1198,997,5e-4,CARI_storm1_07_15_turb,CARI
5,-0.06818181818181834,0.18713808045671732,-0.40909090909091,-0.522727272727273,23,25.2,494.317333333333,0.9336,0.0076,-2.5504,0.0139,-0.1219,-0.0145,399.5,0.0218,CARI_storm2_07_19_NO3,CARI
6,-0.5425720382258552,0.2674382876911886,0.698096002334403,-0.854295849139193,46.654,64.9313333333333,494.317333333333,0.8491,0,-14.2014,0,-0.6193,-0.4658,1,0,CARI_storm2_07_19_fDOM,CARI
7,0.61449990337782,0.11828690958892107,-0.868216135025102,0.731135618008615,75.7546666666667,84.1876666666667,494.317333333333,0.7157,0,36.365,0,0.5805,0.6485,1275,0,CARI_storm2_07_19_SPC,CARI
8,0.020629382445414936,0.20018262376775003,0.486953328092092,-0.481099971880935,-0.182666666666667,7.078125,494.317333333333,0.9522,0.042,0.7214,0.4741,-0.0368,0.0781,691,0.6089,CARI_storm2_07_19_turb,CARI
9,0.484126984126984,0.26170426829663973,-0.296296296296297,0.833333333333333,20,22.7,470.985333333333,0.9081,0.001,12.8165,0,0.4082,0.5601,1203.5,0,CARI_storm3_08_01_NO3,CARI
10,-0.5841975351927513,0.2496604810874322,0.327739599950915,-0.913606840453695,31.9286666666667,53.6593333333333,470.985333333333,0.9203,0.0024,-16.3798,0,-0.6559,-0.5125,0,0,CARI_storm3_08_01_fDOM,CARI
11,0.6432077766462672,0.140492395995639,-0.841528057027957,0.8152074575032,80.6733333333333,89.7916666666667,470.985333333333,0.8684,1e-4,32.0477,0,0.6029,0.6835,1275,0,CARI_storm3_08_01_SPC,CARI
12,0.02725823457475221,0.11073642502099132,0.0852848027400426,0.465609421107073,-0.878666666666666,134.788333333333,470.985333333333,0.3736,0,1.7231,0.0912,-0.0045,0.059,685,0.65,CARI_storm3_08_01_turb,CARI
13,0.4063157894736835,0.1769360652640826,-0.578947368421051,0.63157894736842,21.4,23.3,378.582666666667,0.9014,5e-4,16.0748,0,0.3555,0.4571,1275,0,CARI_storm4a_08_05_NO3,CARI
14,-0.3660093033318887,0.16196313432616652,0.493725659887481,-0.692503245348328,39.464,45.6266666666667,378.582666666667,0.8369,0,-15.8188,0,-0.4125,-0.3195,3,0,CARI_storm4a_08_05_fDOM,CARI
15,0.5668216960618436,0.14965802299515246,-0.814629137472804,0.817588789562682,84.559,90.0776666666667,378.582666666667,0.9068,8e-4,26.5121,0,0.5239,0.6098,1275,0,CARI_storm4a_08_05_SPC,CARI
16,-0.00743557953288875,0.011371249754276473,0.0676317170972533,-0.0343855063722369,2.055,31.898,378.582666666667,0.884,1e-4,-4.5773,0,-0.0107,-0.0042,234,1e-4,CARI_storm4a_08_05_turb,CARI
17,-0.17739130434782613,0.1409098171155803,-0.217391304347826,-0.543478260869566,21.1,23.4,451.589333333333,0.9512,0.0382,-8.8123,0,-0.2178,-0.1369,37.5,0,CARI_storm4b_08_06_NO3,CARI
18,-0.556344228681704,0.2207580293913241,0.674345676034254,-0.879166164113699,45.9066666666667,62.4886666666667,451.589333333333,0.8003,0,-17.6411,0,-0.6197,-0.493,0,0,CARI_storm4b_08_06_fDOM,CARI
19,0.6847533374591082,0.10788623844254484,-0.889620723189807,0.851250994607016,77.9593333333333,85.5,451.589333333333,0.9549,0.0545,44.429,0,0.6538,0.7157,1275,0,CARI_storm4b_08_06_SPC,CARI
20,-0.06575393807713216,0.1653019411478125,0.499999999999999,-0.550923411189571,2.13,8.26666666666667,451.589333333333,0.917,0.0018,-2.7845,0.0076,-0.1132,-0.0183,378,0.0124,CARI_storm4b_08_06_turb,CARI
