"","ID","Flushing_index","percCI_2.5","percCI_97.5"
"1","FRCH_storm1_07_23_NO3_FI",-0.6313,-0.6534,-0.6088
"2","FRCH_storm2_07_27_NO3_FI",-0.082,-0.0999,-0.0658
"3","FRCH_storm3_08_05_NO3_FI",0.2484,0.2282,0.2701
"4","FRCH_storm4_08_08_NO3_FI",0.14,0.1051,0.1662
"5","FRCH_storm5a_08_15_NO3_FI",-0.1489,-0.1858,-0.1045
"6","FRCH_storm5b_08_17_NO3_FI",-0.2789,-0.3057,-0.2415
"7","FRCH_storm6a_08_19_NO3_FI",-0.0935,-0.2243,0.0166
"8","FRCH_storm6b_08_20_NO3_FI",NA,NA,NA
"9","FRCH_storm7_08_25_NO3_FI",-0.7609,-0.797,-0.7291
"10","FRCH_storm8_08_27_NO3_FI",-0.0151,-0.0162,-0.014
"11","FRCH_storm1_07_23_fDOM_FI",NA,NA,NA
"12","FRCH_storm2_07_27_fDOM_FI",0.3009,0.2949,0.308
"13","FRCH_storm3_08_05_fDOM_FI",-0.4001,-0.4116,-0.391
"14","FRCH_storm4_08_08_fDOM_FI",-0.268,-0.275,-0.2628
"15","FRCH_storm5a_08_15_fDOM_FI",NA,NA,NA
"16","FRCH_storm5b_08_17_fDOM_FI",NA,NA,NA
"17","FRCH_storm6a_08_19_fDOM_FI",NA,NA,NA
"18","FRCH_storm6b_08_20_fDOM_FI",NA,NA,NA
"19","FRCH_storm7_08_25_fDOM_FI",0.5893,0.5847,0.5931
"20","FRCH_storm8_08_27_fDOM_FI",-0.0865,-0.0876,-0.0851
"21","FRCH_storm1_07_23_SPC_FI",NA,NA,NA
"22","FRCH_storm2_07_27_SPC_FI",-0.6133,-0.6162,-0.6095
"23","FRCH_storm3_08_05_SPC_FI",-0.2964,-0.3018,-0.2936
"24","FRCH_storm4_08_08_SPC_FI",-0.6811,-0.6883,-0.6753
"25","FRCH_storm5a_08_15_SPC_FI",NA,NA,NA
"26","FRCH_storm5b_08_17_SPC_FI",NA,NA,NA
"27","FRCH_storm6a_08_19_SPC_FI",NA,NA,NA
"28","FRCH_storm6b_08_20_SPC_FI",NA,NA,NA
"29","FRCH_storm7_08_25_SPC_FI",-0.786,-0.7973,-0.7784
"30","FRCH_storm8_08_27_SPC_FI",-0.1023,-0.1028,-0.102
"31","FRCH_storm1_07_23_turb_FI",NA,NA,NA
"32","FRCH_storm2_07_27_turb_FI",0.0544,0.0514,0.0617
"33","FRCH_storm3_08_05_turb_FI",0.0532,0.0105,0.1278
"34","FRCH_storm4_08_08_turb_FI",0.1407,0.0628,0.1791
"35","FRCH_storm5a_08_15_turb_FI",NA,NA,NA
"36","FRCH_storm5b_08_17_turb_FI",NA,NA,NA
"37","FRCH_storm6a_08_19_turb_FI",NA,NA,NA
"38","FRCH_storm6b_08_20_turb_FI",NA,NA,NA
"39","FRCH_storm7_08_25_turb_FI",0.0035,-0.0286,0.0313
"40","FRCH_storm8_08_27_turb_FI",0.2562,0.2202,0.3013
"41","MOOS_storm1_07_23_fDOM_FI",NA,NA,NA
"42","MOOS_storm2_07_27_fDOM_FI",-0.5351,-0.5385,-0.5326
"43","MOOS_storm3a_08_06_fDOM_FI",-0.4031,-0.4064,-0.4
"44","MOOS_storm3b_08_08_fDOM_FI",-0.104,-0.1045,-0.1035
"45","MOOS_storm4a_08_15_fDOM_FI",-0.9355,-0.9363,-0.9346
"46","MOOS_storm4b_08_17_fDOM_FI",-0.0427,-0.0475,-0.0393
"47","MOOS_storm5a_08_19_fDOM_FI",-0.567,-0.57,-0.5649
"48","MOOS_storm5b_08_21_fDOM_FI",-0.2166,-0.2192,-0.2136
"49","MOOS_storm6_08_25_fDOM_FI",-0.4648,-0.4671,-0.4628
"50","MOOS_storm7_08_27_fDOM_FI",-0.9504,-0.9518,-0.9494
"51","MOOS_storm1_07_23_SPC_FI",NA,NA,NA
"52","MOOS_storm2_07_27_SPC_FI",NA,NA,NA
"53","MOOS_storm3a_08_06_SPC_FI",NA,NA,NA
"54","MOOS_storm3b_08_08_SPC_FI",-0.0711,-0.0714,-0.0709
"55","MOOS_storm4a_08_15_SPC_FI",-0.6736,-0.6753,-0.673
"56","MOOS_storm4b_08_17_SPC_FI",-0.1775,-0.1806,-0.1763
"57","MOOS_storm5a_08_19_SPC_FI",-0.0864,-0.0955,-0.0818
"58","MOOS_storm5b_08_21_SPC_FI",-0.0496,-0.0565,-0.0468
"59","MOOS_storm6_08_25_SPC_FI",-0.5568,-0.5619,-0.5556
"60","MOOS_storm7_08_27_SPC_FI",-0.7013,-0.7049,-0.6999
"61","MOOS_storm1_07_23_turb_FI",NA,NA,NA
"62","MOOS_storm2_07_27_turb_FI",0.4737,0.4463,0.4985
