"","ID","Flushing_index","percCI_2.5","percCI_97.5"
"1","FRCH_storm1_05_31_NO3_FI",0.0168,0.0163,0.0173
"2","FRCH_storm2_06_15_NO3_FI",-0.5634,-0.586,-0.5434
"3","FRCH_storm3_06_18_NO3_FI",-0.5794,-0.6082,-0.5541
"4","FRCH_storm4_06_20_NO3_FI",-0.0925,-0.1139,-0.0748
"5","FRCH_storm5_06_22_NO3_FI",-0.5421,-0.5951,-0.4898
"6","FRCH_storm6_07_12_NO3_FI",0.0406,0.0388,0.0425
"7","FRCH_storm7_07_25_NO3_FI",0.5484,0.5262,0.5666
"8","FRCH_storm8_07_28_NO3_FI",NA,NA,NA
"9","FRCH_storm9a_07_29_NO3_FI",-0.3773,-0.4153,-0.34
"10","FRCH_storm9b_07_30_NO3_FI",0.3003,0.2674,0.3251
"11","FRCH_storm10a_08_01_NO3_FI",-0.5342,-0.5728,-0.494
"12","FRCH_storm10b_08_02_NO3_FI",0.5429,0.4707,0.6266
"13","FRCH_storm11_08_05_NO3_FI",-0.2672,-0.3393,-0.2152
"14","FRCH_storm12a_08_12_NO3_FI",-0.2422,-0.2426,-0.2417
"15","FRCH_storm12b_08_14_NO3_FI",0.3398,0.2821,0.3958
"16","FRCH_storm12c_08_15_NO3_FI",-0.3803,-0.4155,-0.3477
"17","FRCH_storm12d_08_21_NO3_FI",-0.2725,-0.2883,-0.2537
"18","FRCH_storm12e_08_23_NO3_FI",-0.0968,-0.1144,-0.0776
"19","FRCH_storm13_09_20_NO3_FI",-0.1068,-0.113,-0.1014
"20","FRCH_storm14_10_01_NO3_FI",-0.2485,-0.2534,-0.243
"21","FRCH_storm1_05_31_fDOM_FI",0.4926,0.4924,0.4929
"22","FRCH_storm2_06_15_fDOM_FI",0.8565,0.8553,0.8576
"23","FRCH_storm3_06_18_fDOM_FI",0.2138,0.2134,0.2142
"24","FRCH_storm4_06_20_fDOM_FI",-0.1169,-0.1182,-0.1155
"25","FRCH_storm5_06_22_fDOM_FI",0.1686,0.1637,0.1738
"26","FRCH_storm6_07_12_fDOM_FI",NA,NA,NA
"27","FRCH_storm7_07_25_fDOM_FI",0.7006,0.6884,0.7125
"28","FRCH_storm8_07_28_fDOM_FI",NA,NA,NA
"29","FRCH_storm9a_07_29_fDOM_FI",0.2794,0.2727,0.2858
"30","FRCH_storm9b_07_30_fDOM_FI",0.2575,0.2568,0.2581
"31","FRCH_storm10a_08_01_fDOM_FI",0.0372,0.036,0.0384
"32","FRCH_storm10b_08_02_fDOM_FI",-0.4874,-0.4949,-0.4823
"33","FRCH_storm11_08_05_fDOM_FI",-0.3514,-0.352,-0.3507
"34","FRCH_storm12a_08_12_fDOM_FI",-0.298,-0.3068,-0.2927
"35","FRCH_storm12b_08_14_fDOM_FI",0.0216,0.0164,0.0274
"36","FRCH_storm12c_08_15_fDOM_FI",0.0821,0.0796,0.0837
"37","FRCH_storm12d_08_21_fDOM_FI",0.1995,0.1935,0.2056
"38","FRCH_storm12e_08_23_fDOM_FI",-0.4129,-0.4285,-0.4031
"39","FRCH_storm13_09_20_fDOM_FI",NA,NA,NA
"40","FRCH_storm14_10_01_NO3_FI",-0.2485,-0.2534,-0.243
"41","FRCH_storm1_05_31_SPC_FI",-0.9076,-0.9089,-0.9065
"42","FRCH_storm2_06_15_SPC_FI",-0.5364,-0.5591,-0.5227
"43","FRCH_storm3_06_18_SPC_FI",-0.0421,-0.0432,-0.0411
"44","FRCH_storm4_06_20_SPC_FI",-0.2193,-0.2261,-0.2159
"45","FRCH_storm5_06_22_SPC_FI",-0.4107,-0.4263,-0.3981
"46","FRCH_storm6_07_12_SPC_FI",NA,NA,NA
"47","FRCH_storm7_07_25_SPC_FI",0.2455,0.2182,0.2682
"48","FRCH_storm8_07_28_SPC_FI",NA,NA,NA
"49","FRCH_storm9a_07_29_SPC_FI",-0.9459,-0.9582,-0.9361
"50","FRCH_storm9b_07_30_SPC_FI",-0.5781,-0.583,-0.5731
"51","FRCH_storm10a_08_01_SPC_FI",-0.4212,-0.4239,-0.4176
