,ID,Flushing_index,percCI_2.5,percCI_97.5
136,CARI_storm7_08_21_NO3_FI,NA,NA,NA
137,CARI_storm8_08_24_NO3_FI,NA,NA,NA
138,CARI_storm9_08_26_NO3_FI,NA,NA,NA
139,CARI_storm10_08_30_NO3_FI,NA,NA,NA
140,CARI_storm11_09_02_NO3_FI,NA,NA,NA
141,CARI_storm12a_09_20_NO3_FI,NA,NA,NA
142,CARI_storm12b_09_25_NO3_FI,NA,NA,NA
143,CARI_storm1_06_10_fDOM_FI,0.2478,NA,NA
144,CARI_storm2_06_21_fDOM_FI,0.4533,NA,NA
145,CARI_storm3_06_29_fDOM_FI,0.6544,NA,NA
146,CARI_storm4a_06_30_fDOM_FI,0.3738,NA,NA
147,CARI_storm4b_07_01_fDOM_FI,0.421,NA,NA
148,CARI_storm5a_08_04_fDOM_FI,0.1612,NA,NA
149,CARI_storm5b_08_05_fDOM_FI,0.5722,NA,NA
150,CARI_storm5c_08_06_fDOM_FI,0.3167,NA,NA
151,CARI_storm6_08_13_fDOM_FI,0.7777,NA,NA
152,CARI_storm7_08_21_fDOM_FI,NA,NA,NA
153,CARI_storm8_08_24_fDOM_FI,0.6088,NA,NA
154,CARI_storm9_08_26_fDOM_FI,0.8847,NA,NA
155,CARI_storm10_08_30_fDOM_FI,0.65,NA,NA
156,CARI_storm11_09_02_fDOM_FI,0.8141,NA,NA
157,CARI_storm12a_09_20_fDOM_FI,NA,NA,NA
158,CARI_storm12b_09_25_fDOM_FI,0.0677,NA,NA
159,CARI_storm1_06_10_SPC_FI,NA,NA,NA
160,CARI_storm2_06_21_SPC_FI,0.2493,NA,NA
161,CARI_storm3_06_29_SPC_FI,NA,NA,NA
162,CARI_storm4a_06_30_SPC_FI,NA,NA,NA
163,CARI_storm4b_07_01_SPC_FI,NA,NA,NA
164,CARI_storm5a_08_04_SPC_FI,NA,NA,NA
165,CARI_storm5b_08_05_SPC_FI,NA,NA,NA
166,CARI_storm5c_08_06_SPC_FI,NA,NA,NA
167,CARI_storm6_08_13_SPC_FI,NA,NA,NA
168,CARI_storm7_08_21_SPC_FI,NA,NA,NA
169,CARI_storm8_08_24_SPC_FI,NA,NA,NA
170,CARI_storm9_08_26_SPC_FI,NA,NA,NA
171,CARI_storm10_08_30_SPC_FI,NA,NA,NA
172,CARI_storm11_09_02_SPC_FI,NA,NA,NA
173,CARI_storm12a_09_20_SPC_FI,NA,NA,NA
174,CARI_storm12b_09_25_SPC_FI,0.0371,NA,NA
175,CARI_storm1_06_10_turb_FI,0.2776,NA,NA
176,CARI_storm2_06_21_turb_FI,NA,NA,NA
177,CARI_storm3_06_29_turb_FI,0.7783,NA,NA
178,CARI_storm4a_06_30_turb_FI,0.0558,NA,NA
179,CARI_storm4b_07_01_turb_FI,0.3906,NA,NA
180,CARI_storm5a_08_04_turb_FI,0.6895,NA,NA
181,CARI_storm5b_08_05_turb_FI,0.7027,NA,NA
182,CARI_storm5c_08_06_turb_FI,0.5285,NA,NA
183,CARI_storm6_08_13_turb_FI,0.3155,NA,NA
184,CARI_storm7_08_21_turb_FI,0.3082,NA,NA
185,CARI_storm8_08_24_turb_FI,0.7257,NA,NA
186,CARI_storm9_08_26_turb_FI,0.4318,NA,NA
187,CARI_storm10_08_30_turb_FI,0.008,NA,NA
188,CARI_storm11_09_02_turb_FI,0.0115,NA,NA
189,CARI_storm12a_09_20_turb_FI,NA,NA,NA
190,CARI_storm12b_09_25_turb_FI,0.0937,NA,NA
