"","ID","Flushing_index","percCI_2.5","percCI_97.5"
"1","FRCH_storm1_06_13_NO3_FI",-0.1362,-0.1371,-0.1353
"2","FRCH_storm2_06_18_NO3_FI",-0.3607,-0.3771,-0.3453
"3","FRCH_storm3a_06_20_NO3_FI",-0.0746,-0.1625,-0.045
"4","FRCH_storm3b_06_21_NO3_FI",0.0151,-0.0715,0.0721
"5","FRCH_storm3c_06_26_NO3_FI",0.0188,-0.0918,0.1107
"6","FRCH_storm4a_07_07_NO3_FI",-0.1432,-0.2704,-0.1005
"7","FRCH_storm4b_07_09_NO3_FI",0.3373,0.3038,0.3564
"8","FRCH_storm5_07_15_NO3_FI",-1e-04,-0.0011,8e-04
"9","FRCH_storm6_07_18_NO3_FI",-0.2114,-0.2318,-0.19
"10","FRCH_storm7_07_20_NO3_FI",-0.0503,-0.0541,-0.0403
"11","FRCH_storm8_07_26_NO3_FI",-0.1996,-0.2146,-0.1851
"12","FRCH_storm9a_08_01_NO3_FI",-0.2788,-0.2874,-0.2699
"13","FRCH_storm9b_08_02_NO3_FI",4e-04,-9e-04,0.0019
"14","FRCH_storm10a_08_09_NO3_FI",-0.0574,-0.0591,-0.0531
"15","FRCH_storm10b_08_12_NO3_FI",0.0795,0.0669,0.0927
"16","FRCH_storm11_08_20_NO3_FI",-0.2278,-0.2411,-0.2125
"17","FRCH_storm12_09_06_NO3_FI",-0.1821,-0.2162,-0.1448
"18","FRCH_storm13_09_09_NO3_FI",-0.2531,-0.2597,-0.245
"19","FRCH_storm1_06_13_fDOM_FI",0.3996,0.3994,0.3999
"20","FRCH_storm2_06_18_fDOM_FI",0.6821,0.6798,0.684
"21","FRCH_storm3a_06_20_fDOM_FI",0.7193,0.7187,0.7199
"22","FRCH_storm3b_06_21_fDOM_FI",-0.0026,-0.0034,-0.0018
"23","FRCH_storm3c_06_26_fDOM_FI",NA,NA,NA
"24","FRCH_storm4a_07_07_fDOM_FI",0.2983,0.298,0.2985
"25","FRCH_storm4b_07_09_fDOM_FI",-0.2738,-0.2795,-0.2662
"26","FRCH_storm5_07_15_fDOM_FI",0.0076,0.0071,0.008
"27","FRCH_storm6_07_18_fDOM_FI",0.3713,0.3655,0.3769
"28","FRCH_storm7_07_20_fDOM_FI",-2e-04,-9e-04,4e-04
"29","FRCH_storm8_07_26_fDOM_FI",0.2775,0.2737,0.2812
"30","FRCH_storm9a_08_01_fDOM_FI",0.3724,0.3705,0.3743
"31","FRCH_storm9b_08_02_fDOM_FI",-0.0085,-0.0094,-0.0073
"32","FRCH_storm10a_08_09_fDOM_FI",0.0046,0.0031,0.0058
"33","FRCH_storm10b_08_12_fDOM_FI",-0.1423,-0.1435,-0.1412
"34","FRCH_storm11_08_20_fDOM_FI",0.6769,0.6723,0.6821
"35","FRCH_storm12_09_06_fDOM_FI",0.796,0.7944,0.7978
"36","FRCH_storm13_09_09_fDOM_FI",-0.0985,-0.1009,-0.0959
"37","FRCH_storm1_06_13_SPC_FI",-0.0583,-0.0586,-0.0581
"38","FRCH_storm2_06_18_SPC_FI",-0.8214,-0.8377,-0.8084
"39","FRCH_storm3a_06_20_SPC_FI",-0.9734,-0.9749,-0.9725
"40","FRCH_storm3b_06_21_SPC_FI",-0.4555,-0.4601,-0.4518
"41","FRCH_storm3c_06_26_SPC_FI",NA,NA,NA
"42","FRCH_storm4a_07_07_SPC_FI",-0.1242,-0.1251,-0.1238
