"","DateTime","Site","MeanDischarge","day","fDOM.QSU","SpCond.uScm","Turbidity.FNU","nitrateuM"
"3668",2018-08-13 23:00:00,"MOOS",737.565497262171,"2018-08-13T08:00:00Z",133.02,126.4,4.33,26.4444444444444
"3669",2018-08-13 23:30:00,"MOOS",728.635807521699,"2018-08-13T08:00:00Z",133.13,126.4,4.27,26.45
"3670",2018-08-14 00:00:00,"MOOS",737.565497262171,"2018-08-13T08:00:00Z",133.33,126.4,3.71,26.51
"3671",2018-08-14 00:30:00,"MOOS",740.542060508975,"2018-08-13T08:00:00Z",132.95,126.4,3.85,26.5277777777778
"3672",2018-08-14 01:00:00,"MOOS",734.588934015366,"2018-08-13T08:00:00Z",132.49,126.2,3.95,26.5155555555556
"3673",2018-08-14 01:30:00,"MOOS",737.565497262171,"2018-08-13T08:00:00Z",132.22,126.1,4.08,26.52
"3674",2018-08-14 02:00:00,"MOOS",740.542060508975,"2018-08-13T08:00:00Z",132.06,125.9,4.08,26.5166666666667
"3675",2018-08-14 02:30:00,"MOOS",734.588934015366,"2018-08-13T08:00:00Z",131.75,125.8,4.1,26.4866666666667
"3676",2018-08-14 03:00:00,"MOOS",743.518623755663,"2018-08-13T08:00:00Z",131.81,125.7,3.87,26.4888888888889
"3677",2018-08-14 03:30:00,"MOOS",740.542060508975,"2018-08-13T08:00:00Z",131.63,125.7,4.1,26.51
"3678",2018-08-14 04:00:00,"MOOS",743.518623755663,"2018-08-13T08:00:00Z",131.59,125.6,4.21,26.5022222222222
"3679",2018-08-14 04:30:00,"MOOS",740.542060508975,"2018-08-13T08:00:00Z",131.27,125.5,4.26,26.4977777777778
"3680",2018-08-14 05:00:00,"MOOS",740.542060508975,"2018-08-13T08:00:00Z",131.5,125.4,4.49,26.4822222222222
"3681",2018-08-14 05:30:00,"MOOS",740.542060508975,"2018-08-13T08:00:00Z",131.46,125.3,4.23,26.4766666666667
"3682",2018-08-14 06:00:00,"MOOS",749.471750249329,"2018-08-13T08:00:00Z",131.71,125.2,4.25,26.4688888888889
"3683",2018-08-14 06:30:00,"MOOS",743.518623755663,"2018-08-13T08:00:00Z",131.69,125.2,4.31,26.4222222222222
"3684",2018-08-14 07:00:00,"MOOS",746.495187002525,"2018-08-13T08:00:00Z",131.68,125,4.34,26.4255555555556
