,DateTime,Site,Discharge,NO3,fDOM,SpCond,Turb,day
1,9/2/18 5:15,CARI,662.5526667,28.7,91.96933333,63.34133333,-1.659666667,9/2/18
2,9/2/18 5:30,CARI,665.7106667,28.7,91.94866667,63.327,-1.736,9/2/18
3,9/2/18 5:45,CARI,651.662,28.7,91.97666667,63.304,-1.820666667,9/2/18
4,9/2/18 6:00,CARI,652.668,28.7,92.04533333,63.297,-1.896666667,9/2/18
5,9/2/18 6:15,CARI,656.6646667,28.7,91.99,63.28866667,-1.846333333,9/2/18
6,9/2/18 6:30,CARI,665.922,28.6,92.06466667,63.287,-1.909666667,9/2/18
7,9/2/18 6:45,CARI,664.544,28.6,92.026,62.35566667,-1.688666667,9/2/18
8,9/2/18 7:00,CARI,673.838,28.5,92.13533333,63.22033333,-1.605333333,9/2/18
9,9/2/18 7:15,CARI,672.5446667,28.5,92.36066667,63.183,-1.67,9/2/18
10,9/2/18 7:30,CARI,669.6886667,28.5,92.48933333,63.133,-1.742333333,9/2/18
11,9/2/18 7:45,CARI,676.93,28.4,92.74266667,63.15366667,-1.877666667,9/2/18
12,9/2/18 8:00,CARI,672.6433333,28.4,92.94066667,63.20466667,-1.876333333,9/2/18
13,9/2/18 8:15,CARI,665.8373333,28.4,93.09666667,63.088,-1.972333333,9/2/18
14,9/2/18 8:30,CARI,669.8153333,28.4,93.34933333,63.15966667,-1.921,9/2/18
15,9/2/18 8:45,CARI,675.8773333,28.3,93.59733333,63.10733333,-1.843333333,9/2/18
16,9/2/18 9:00,CARI,693.2133333,28.3,93.764,63.027,-1.870666667,9/2/18
17,9/2/18 9:15,CARI,692.2246667,28.3,94.052,62.98766667,-1.94,9/2/18
18,9/2/18 9:30,CARI,691.41,28.2,94.42866667,62.91566667,-1.911,9/2/18
19,9/2/18 9:45,CARI,691.9813333,28.1,94.756,62.82433333,-1.861,9/2/18
20,9/2/18 10:00,CARI,708.99,28.1,95.14333333,62.757,-1.863666667,9/2/18
21,9/2/18 10:15,CARI,708.948,28,95.63066667,62.678,-1.818,9/2/18
22,9/2/18 10:30,CARI,715.2293333,28,95.98333333,62.58333333,-1.812666667,9/2/18
23,9/2/18 10:45,CARI,707.2293333,27.9,96.34066667,62.47233333,-1.758,9/2/18
24,9/2/18 11:00,CARI,723.2826667,27.8,96.69733333,62.35433333,-1.688,9/2/18
25,9/2/18 11:15,CARI,710.982,27.8,97.164,62.263,-1.668666667,9/2/18
26,9/2/18 11:30,CARI,729.4133333,27.7,97.588,62.15133333,-1.680666667,9/2/18
27,9/2/18 11:45,CARI,724.3733333,27.6,98.038,62.03733333,-1.660666667,9/2/18
28,9/2/18 12:00,CARI,730.6653333,27.6,98.498,61.94133333,-1.527,9/2/18
29,9/2/18 12:15,CARI,739.2786667,27.4,98.93666667,61.82633333,-1.469,9/2/18
30,9/2/18 12:30,CARI,734.4013333,27.4,99.44333333,61.70433333,-1.448666667,9/2/18
31,9/2/18 12:45,CARI,746.4533333,27.2,99.83066667,61.58133333,-1.483333333,9/2/18
32,9/2/18 13:00,CARI,755.4293333,27.2,100.3486667,61.447,-1.436333333,9/2/18
33,9/2/18 13:15,CARI,758.62,27.1,100.7253333,61.293,-1.317666667,9/2/18
34,9/2/18 13:30,CARI,743.6806667,27,100.994,61.14466667,-1.169,9/2/18
35,9/2/18 13:45,CARI,759.3253333,27,101.2493333,60.97566667,-1.114333333,9/2/18
36,9/2/18 14:00,CARI,763.376,27,101.774,60.82266667,-1.174666667,9/2/18
37,9/2/18 14:15,CARI,770.6373333,26.8,102.2393333,60.678,-1.215666667,9/2/18
38,9/2/18 14:30,CARI,776.3933333,26.7,102.7086667,60.57166667,-1.255,9/2/18
39,9/2/18 14:45,CARI,770.9133333,26.7,103.1006667,60.449,-1.178,9/2/18
40,9/2/18 15:00,CARI,773.63,26.6,103.4386667,60.32633333,0.137333333,9/2/18
41,9/2/18 15:15,CARI,777.3406667,26.6,103.6713333,60.18933333,1.587333333,9/2/18
42,9/2/18 15:30,CARI,779.3906667,26.5,103.942,60.06033333,-0.291666667,9/2/18
43,9/2/18 15:45,CARI,782.318,26.4,104.3646667,59.96233333,-0.677333333,9/2/18
44,9/2/18 16:00,CARI,779.4233333,26.4,104.656,59.84533333,-0.419666667,9/2/18
45,9/2/18 16:15,CARI,790.148,26.4,104.9773333,59.72833333,-0.836333333,9/2/18
46,9/2/18 16:30,CARI,787.6953333,26.3,105.2646667,59.62233333,-0.318,9/2/18
47,9/2/18 16:45,CARI,790.05,26.3,105.456,59.52933333,-0.288,9/2/18
48,9/2/18 17:00,CARI,782.2213333,26.2,105.8093333,59.46033333,-0.381,9/2/18
49,9/2/18 17:15,CARI,795.5453333,26.1,106.084,59.389,0.430666667,9/2/18
50,9/2/18 17:30,CARI,797.4426667,26.1,106.306,59.32966667,-0.298666667,9/2/18
51,9/2/18 17:45,CARI,786.068,26.2,106.5646667,59.26166667,-0.269666667,9/2/18
52,9/2/18 18:00,CARI,778.352,26.1,106.5606667,59.228,-0.267666667,9/2/18
53,9/2/18 18:15,CARI,785.7426667,26.1,106.8606667,59.526,-0.432,9/2/18
54,9/2/18 18:30,CARI,795.5966667,26.1,106.7833333,59.59566667,-1.06,9/2/18
55,9/2/18 18:45,CARI,783.82,26.1,106.9566667,59.58733333,-1.283,9/2/18
56,9/2/18 19:00,CARI,797.4986667,26.1,107.2166667,59.45033333,-1.164666667,9/2/18
57,9/2/18 19:15,CARI,767.9346667,26.1,107.3446667,59.097,-0.905666667,9/2/18
58,9/2/18 19:30,CARI,773.7693333,26,107.36,59.09066667,-0.718,9/2/18
59,9/2/18 19:45,CARI,787.8086667,26.1,107.45,59.092,-1.229,9/2/18
60,9/2/18 20:00,CARI,770.7506667,26.2,105.3813333,59.109,-1.393,9/2/18
61,9/2/18 20:15,CARI,771.5706667,26.2,107.4153333,59.13466667,0.303666667,9/2/18
62,9/2/18 20:30,CARI,772.4866667,26.2,107.38,59.14633333,0.962333333,9/2/18
63,9/2/18 20:45,CARI,779.0853333,26.2,107.1486667,59.17833333,0.472,9/2/18
64,9/2/18 21:00,CARI,773.0506667,26.3,106.9186667,59.22466667,4.613,9/2/18
65,9/2/18 21:15,CARI,772.2493333,26.3,106.984,59.25,-0.179,9/2/18
66,9/2/18 21:30,CARI,767.54,26.2,107.032,59.30466667,1.899666667,9/2/18
67,9/2/18 21:45,CARI,766.688,26.4,106.718,59.373,0.729333333,9/2/18
68,9/2/18 22:00,CARI,759.8606667,26.4,106.7053333,59.41966667,-0.995333333,9/2/18
69,9/2/18 22:15,CARI,766.8773333,26.5,106.5373333,59.46933333,-0.388,9/2/18
70,9/2/18 22:30,CARI,777.0893333,26.5,106.364,59.54866667,-0.834,9/2/18
71,9/2/18 22:45,CARI,762.07,26.6,106.398,59.63566667,-1.285333333,9/2/18
72,9/2/18 23:00,CARI,767.096,26.6,106.2053333,59.67733333,-1.513,9/2/18
73,9/2/18 23:15,CARI,752.0273333,26.6,106.076,59.681,-0.740666667,9/2/18
74,9/2/18 23:30,CARI,759.36,26.6,105.7946667,57.34666667,-0.658666667,9/2/18
75,9/2/18 23:45,CARI,751.4473333,26.6,105.526,59.89333333,-0.590333333,9/2/18
76,9/3/18 0:00,CARI,763.5573333,26.7,105.398,59.94,-0.802333333,9/3/18
77,9/3/18 0:15,CARI,749.416,26.8,105.3473333,60.00966667,-0.608,9/3/18
78,9/3/18 0:30,CARI,753.8266667,26.8,105.1546667,60.07,-0.504666667,9/3/18
