column_label,HI_mean_Interp,HI_sd_with_Interp,N.S.,Max_width_Interp,Min_response,Max_response,Peak_Q,ShapiroTest.W,ShapiroTest.p,t.test.stat,t.test.p,t.test.CIlow,t.test.CIhigh,wilcox.test.stat,wilcox.test.p,storm.ID,site.ID
1,0.5243988459343709,0.10994987868989974,-0.9439869853625,0.796537318623087,24.6855241720814,28.6307962452105,1003.62382461825,0.9072,8e-4,33.386,0,0.4928,0.556,1275,0,FRCH_storm1_07_10_NO3,FRCH
2,-0.6316907572618582,0.16966310569735654,0.743970472288053,-0.790014513556058,62.8954348469493,140.186803393526,1003.62382461825,0.7897,0,-26.0624,0,-0.6804,-0.583,0,0,FRCH_storm1_07_10_fDOM,FRCH
3,0.6529432314410489,0.13635004760461011,-0.796506550218342,0.855021834061136,80.8999963636364,91.3090872727273,1003.62382461825,0.8806,1e-4,33.5211,0,0.6138,0.6921,1275,0,FRCH_storm1_07_10_SPC,FRCH
4,-0.005349135319069735,0.1408840935624364,0.899454621731225,-0.396168368060412,3.95636363636364,42.9618181818182,1003.62382461825,0.7717,0,-0.2658,0.7915,-0.0458,0.0351,815,0.0875,FRCH_storm1_07_10_turb,FRCH
5,-0.590236189255822,0.16747245877289668,0.949856336327102,-0.735630611216573,0.193093027234966,0.596760354223701,1003.62382461825,0.7449,0,-24.6706,0,-0.6383,-0.5422,0,0,FRCH_storm1_07_10_abs,FRCH
6,0.6623221837754916,0.28345619009456563,-0.318339100346013,0.919069588619803,24.7193803723532,26.4558207293058,500.205905736558,0.8103,0,16.3562,0,0.5809,0.7437,1275,0,FRCH_storm2_08_05_NO3,FRCH
7,-0.48549334262281263,0.15292939688219226,0.381240390336924,-0.908761451045886,55.6058404582296,88.3421999195777,500.205905736558,0.8209,0,-22.2224,0,-0.5294,-0.4416,0,0,FRCH_storm2_08_05_fDOM,FRCH
8,-0.15993710691826368,0.15899423314140243,-0.207547169811347,-0.520440251572309,99.7090872727273,102.599996363636,500.205905736558,0.8529,0,-7.0415,0,-0.2056,-0.1143,168,0,FRCH_storm2_08_05_SPC,FRCH
9,-0.17080585876587115,0.11104264063205584,NA,-0.494068834929829,3.42090909090909,19.7445454545455,500.205905736558,0.9189,0.0022,-10.7674,0,-0.2027,-0.1389,7,0,FRCH_storm2_08_05_turb,FRCH
10,-0.46515134011090553,0.13409433041487356,0.538932532347506,-0.86853049907578606,0.190409090909091,0.347790909090909,500.205905736558,0.7775,0,-24.2819,0,-0.5036,-0.4267,0,0,FRCH_storm2_08_05_abs,FRCH
11,0.5954848484848477,0.1612342817423145,-0.530303030303043,0.9007760532151,21.2878911625352,23.0944300344744,407.196646735948,0.9496,0.0329,25.853,0,0.5492,0.6418,1275,0,FRCH_storm3_09_14_NO3,FRCH
12,-0.5402740709985142,0.17175800524576457,0.696485811129623,-0.80119602774264,56.338208257638,98.8369235947905,407.196646735948,0.9383,0.0115,-22.0189,0,-0.5896,-0.491,0,0,FRCH_storm3_09_14_fDOM,FRCH
13,0.8460606060606043,0.10873033007368992,-0.689655172413817,0.961859979101377,97.5090872727273,106.209087272727,407.196646735948,0.6814,0,54.4689,0,0.8148,0.8773,1275,0,FRCH_storm3_09_14_SPC,FRCH
14,-0.19609753305477665,0.16837710658586869,0.79531795546906,-0.476475301928911,3.25818181818182,19.1409090909091,407.196646735948,0.9276,0.0045,-8.1524,0,-0.2444,-0.1478,108,0,FRCH_storm3_09_14_turb,FRCH
15,-0.5645515420164113,0.17882739449089488,0.839668018485334,-0.778741865509764,0.149890909090909,0.342672727272727,407.196646735948,0.8913,3e-4,-22.0987,0,-0.6159,-0.5132,0,0,FRCH_storm3_09_14_abs,FRCH
16,0.558586279683378,0.30931144809301164,-0.504485488126619,0.948284960422176,21.8947440208474,23.1598553151285,400.294834961991,0.8849,2e-4,12.6413,0,0.4698,0.6474,1275,0,FRCH_storm4_09_19_NO3,FRCH
17,-0.5488546039342642,0.1924838865802407,0.816121786741013,-0.850584433717948,79.6957176172112,111.813062658256,400.294834961991,0.8695,1e-4,-19.96,0,-0.6041,-0.4936,1,0,FRCH_storm4_09_19_fDOM,FRCH
18,0.810930232558167,0.15264382675016788,-0.672203765227044,0.937984496124042,92.0999963636364,100.309087272727,400.294834961991,0.7467,0,37.188,0,0.7671,0.8548,1275,0,FRCH_storm4_09_19_SPC,FRCH
19,-0.37436297046676725,0.14728284683287254,0.661965245850547,-0.579911166523808,2.66090909090909,14.3272727272727,400.294834961991,0.9348,0.0084,-17.7926,0,-0.4166,-0.3321,0,0,FRCH_storm4_09_19_turb,FRCH
20,-0.5936489889753911,0.17785245670258312,0.826584461048123,-0.881080516223418,0.264272727272727,0.438263636363636,400.294834961991,0.8758,1e-4,-23.3651,0,-0.6447,-0.5426,0,0,FRCH_storm4_09_19_abs,FRCH
