"","date","GDD.local"
"1",2018-05-01,0
"2",2018-05-02,0
"3",2018-05-03,0.0191041666666667
"4",2018-05-04,0.864083333333333
"5",2018-05-05,1.05620833333333
"6",2018-05-06,1.32045833333333
"7",2018-05-07,0.990916666666667
"8",2018-05-08,3.15704166666667
"9",2018-05-09,4.19454166666667
"10",2018-05-10,6.95941666666667
"11",2018-05-11,3.94229166666667
"12",2018-05-12,2.63579166666667
"13",2018-05-13,3.295875
"14",2018-05-14,4.036875
"15",2018-05-15,3.63333333333333
"16",2018-05-16,2.50845833333333
"17",2018-05-17,3.11604166666667
"18",2018-05-18,4.493125
"19",2018-05-19,5.08729166666667
"20",2018-05-20,5.98833333333333
"21",2018-05-21,6.21177083333333
"22",2018-05-22,5.658125
"23",2018-05-23,5.24979166666667
"24",2018-05-24,1.46595833333333
"25",2018-05-25,4.429375
"26",2018-05-26,5.26729166666667
"27",2018-05-27,4.688125
"28",2018-05-28,5.89125
"29",2018-05-29,6.49
"30",2018-05-30,4.93645833333333
"31",2018-05-31,5.10229166666667
"32",2018-06-01,4.790625
"33",2018-06-02,6.96625
"34",2018-06-03,7.81597916666666
"35",2018-06-04,8.08964583333334
"36",2018-06-05,8.20820833333333
"37",2018-06-06,8.30527083333333
"38",2018-06-07,7.69854166666667
"39",2018-06-08,6.87270833333333
"40",2018-06-09,7.35910416666667
"41",2018-06-10,3.21541666666667
"42",2018-06-11,1.64375
"43",2018-06-12,2.975875
"44",2018-06-13,5.39916666666667
"45",2018-06-14,4.38729166666667
"46",2018-06-15,4.67729166666667
"47",2018-06-16,5.59664583333333
"48",2018-06-17,7.20295833333333
"49",2018-06-18,8.28527083333333
"50",2018-06-19,8.90229166666667
"51",2018-06-20,10.4832083333333
"52",2018-06-21,14.7785416666667
"53",2018-06-22,8.39666666666666
"54",2018-06-23,7.9471875
"55",2018-06-24,7.37177083333333
"56",2018-06-25,8.57491666666667
"57",2018-06-26,10.9927083333333
"58",2018-06-27,9.77258333333333
"59",2018-06-28,6.89439583333333
"60",2018-06-29,8.58645833333333
"61",2018-06-30,7.81383333333333
"62",2018-07-01,8.72083333333333
"63",2018-07-02,9.08045833333333
"64",2018-07-03,10.135125
"65",2018-07-04,10.2695416666667
"66",2018-07-05,9.60895833333333
