"site","year","medianfDOM","medianNO3","medianSPC","medianTURB","avg_medianfDOM","avg_medianNO3","avg_medianSPC","avg_medianTURB"
"CARI","2018",76.359,28.3,67.9453333333333,-1.90383333333333,54.5260666666667,27.4,77.2434333333333,0.7709
"CARI","2019",43.1206666666667,28.7,88.0143333333333,1.2805,54.5260666666667,27.4,77.2434333333333,0.7709
"CARI","2020",68.662,27,62.5816666666667,0.89,54.5260666666667,27.4,77.2434333333333,0.7709
"CARI","2021",40.9106666666667,28.6,82.9005,1.64683333333333,54.5260666666667,27.4,77.2434333333333,0.7709
"CARI","2022",43.578,24.4,84.7753333333333,1.941,54.5260666666667,27.4,77.2434333333333,0.7709
"FRCH","2015",101.946633269687,17.7424315811373,76,13.77,71.6426408984833,25.9011585102761,85.8188377777778,14.5653661616162
"FRCH","2018",91.9366666666667,28.6099523809524,79.6666666666667,13.6608333333334,71.6426408984833,25.9011585102761,85.8188377777778,14.5653661616162
"FRCH","2019",65.198,21.3133333333333,87.31,22.88,71.6426408984833,25.9011585102761,85.8188377777778,14.5653661616162
"FRCH","2020",69.1227272727273,38.0221428571429,76.9727272727273,15.4063636363636,71.6426408984833,25.9011585102761,85.8188377777778,14.5653661616162
"FRCH","2021",44.3836363636364,22.2236363636364,97.4545454545455,16.6572727272727,71.6426408984833,25.9011585102761,85.8188377777778,14.5653661616162
"FRCH","2022",57.2681818181818,27.4954545454545,97.5090872727273,5.01772727272728,71.6426408984833,25.9011585102761,85.8188377777778,14.5653661616162
"MOOS","2015",158.902187980135,21.036755913595,93.1,5.92,128.234834360325,24.0185056152288,112.958327272727,9.32962121212121
"MOOS","2018",131.13,25.6172222222222,104.35,10.5,128.234834360325,24.0185056152288,112.958327272727,9.32962121212121
"MOOS","2019",108.325,24.8601111111111,120.686363636363,6.62818181818182,128.234834360325,24.0185056152288,112.958327272727,9.32962121212121
"MOOS","2020",122,25.2575,103.213636363637,20.1813636363636,128.234834360325,24.0185056152288,112.958327272727,9.32962121212121
"MOOS","2021",104.573636363636,24.9244444444444,127.145418181818,7.65727272727273,128.234834360325,24.0185056152288,112.958327272727,9.32962121212121
"MOOS","2022",144.478181818182,22.415,129.254545454545,5.09090909090909,128.234834360325,24.0185056152288,112.958327272727,9.32962121212121
"POKE","2019",33.5318181818182,35.1528571428571,119.1,3.64,31.5660227272727,32.2368388278388,117.457045454545,5.61509090909091
"POKE","2020",42.3795454545455,29.8193333333333,94.032727272727,9.57181818181818,31.5660227272727,32.2368388278388,117.457045454545,5.61509090909091
"POKE","2021",21.7863636363636,34.9228571428571,125.872727272727,5.87809090909091,31.5660227272727,32.2368388278388,117.457045454545,5.61509090909091
"POKE","2022",28.5663636363636,29.0523076923077,130.822727272727,3.37045454545455,31.5660227272727,32.2368388278388,117.457045454545,5.61509090909091
"VAUL","2019",214.3,33.2025,417.245454545454,8.48181818181818,229.186477272727,35.4776715686274,443.775020454545,19.1765909090909
"VAUL","2020",227.404545454545,34.6675,252.081818181818,18.5572727272727,229.186477272727,35.4776715686274,443.775020454545,19.1765909090909
"VAUL","2021",226.42,37.9883333333333,380.536445454545,19.5363636363636,229.186477272727,35.4776715686274,443.775020454545,19.1765909090909
"VAUL","2022",248.621363636363,36.0523529411765,725.236363636364,30.1309090909091,229.186477272727,35.4776715686274,443.775020454545,19.1765909090909
"STRT","2019",51.13,17.2771428571429,132.413636363636,6.29,58.0170454545454,24.938907967033,131.569306818182,6.46909090909091
"STRT","2020",69.0163636363636,30.7528571428571,114.672727272727,9.95909090909091,58.0170454545454,24.938907967033,131.569306818182,6.46909090909091
"STRT","2021",55.9163636363636,27.6467857142857,139.227272727273,6.9840909090909,58.0170454545454,24.938907967033,131.569306818182,6.46909090909091
"STRT","2022",56.0054545454545,24.0788461538462,139.963590909091,2.64318181818181,58.0170454545454,24.938907967033,131.569306818182,6.46909090909091
