"","site.ID","datetimeAK","Q","day","fDOM","SPC","Turb","NO3","ABS_254","DateTime","MeanDischarge","nitrateuM","fDOM.QSU.mn","SpCond.uScm.mn","Turbidity.FNU.mn"
"5380","VAUL",2019-08-02 13:30:00,107.358870560869,"2019-08-02",248.689675945148,448.6625,6.35375,11.8524234632703,0.596016666666667,2019-08-02 13:30:00,107.358870560869,11.8524234632703,248.689675945148,448.6625,6.35375
"5381","VAUL",2019-08-02 13:45:00,107.158199774773,"2019-08-02",248.546712490322,448.05,6.3,11.7811876763865,0.595308333333333,2019-08-02 13:45:00,107.158199774773,11.7811876763865,248.546712490322,448.05,6.3
"5382","VAUL",2019-08-02 14:00:00,107.559541346964,"2019-08-02",248.451789618747,447.45,6.29875,11.8848033663992,0.594641666666667,2019-08-02 14:00:00,107.559541346964,11.8848033663992,248.451789618747,447.45,6.29875
"5383","VAUL",2019-08-02 14:15:00,107.760212133059,"2019-08-02",248.360834109538,446.925,6.30625,11.8471249336673,0.5961,2019-08-02 14:15:00,107.760212133059,11.8471249336673,248.360834109538,446.925,6.30625
"5384","VAUL",2019-08-02 14:30:00,107.760212133059,"2019-08-02",248.427594743148,446.4,6.36875,11.8971666021394,0.598241666666667,2019-08-02 14:30:00,107.760212133059,11.8971666021394,248.427594743148,446.4,6.36875
"5385","VAUL",2019-08-02 14:45:00,108.362224491344,"2019-08-02",248.397003330724,445.9375,6.4775,11.8170999325841,0.598216666666667,2019-08-02 14:45:00,108.362224491344,11.8170999325841,248.397003330724,445.9375,6.4775
"5386","VAUL",2019-08-02 15:00:00,108.763566063534,"2019-08-02",248.483795597423,445.525,6.23875,11.8594881694075,0.600208333333333,2019-08-02 15:00:00,108.763566063534,11.8594881694075,248.483795597423,445.525,6.23875
"5387","VAUL",2019-08-02 15:15:00,108.964236849629,"2019-08-02",248.104352294171,445.1625,6.4,11.8377053254844,0.595016666666667,2019-08-02 15:15:00,108.964236849629,11.8377053254844,248.104352294171,445.1625,6.4
"5388","VAUL",2019-08-02 15:30:00,108.964236849629,"2019-08-02",248.033237349526,444.775,6.53375,11.9230705246426,0.596491666666667,2019-08-02 15:30:00,108.964236849629,11.9230705246426,248.033237349526,444.775,6.53375
"5389","VAUL",2019-08-02 15:45:00,109.76691999401,"2019-08-02",247.773829720979,444,6.53125,11.8530121887817,0.595258333333333,2019-08-02 15:45:00,109.76691999401,11.8530121887817,247.773829720979,444,6.53125
"5390","VAUL",2019-08-02 16:00:00,109.76691999401,"2019-08-02",247.767478580937,443.4625,6.5925,11.8165112070727,0.598525,2019-08-02 16:00:00,109.76691999401,11.8165112070727,247.767478580937,443.4625,6.5925
"5391","VAUL",2019-08-02 16:15:00,109.76691999401,"2019-08-02",245.656125471529,442.775,7.7475,11.744097969166,0.598508333333333,2019-08-02 16:15:00,109.76691999401,11.744097969166,245.656125471529,442.775,7.7475
"5392","VAUL",2019-08-02 16:30:00,110.368932352295,"2019-08-02",243.344140300989,442.2625,9.63,11.6734509077936,0.606341666666667,2019-08-02 16:30:00,110.368932352295,11.6734509077936,243.344140300989,442.2625,9.63
"5393","VAUL",2019-08-02 16:45:00,110.56960313839,"2019-08-02",243.415739370167,441.975,9.10625,11.6063361994899,0.606983333333333,2019-08-02 16:45:00,110.56960313839,11.6063361994899,243.415739370167,441.975,9.10625
"5394","VAUL",2019-08-02 17:00:00,111.572957068865,"2019-08-02",243.549528278301,441.4875,8.725,11.5127288431715,0.601833333333333,2019-08-02 17:00:00,111.572957068865,11.5127288431715,243.549528278301,441.4875,8.725
"5395","VAUL",2019-08-02 17:15:00,111.572957068865,"2019-08-02",243.720746719258,440.775,8.6025,11.340820993832,0.602816666666667,2019-08-02 17:15:00,111.572957068865,11.340820993832,243.720746719258,440.775,8.6025
"5396","VAUL",2019-08-02 17:30:00,112.375640213246,"2019-08-02",242.93447774812,440,8.75875,11.3437646213892,0.604341666666667,2019-08-02 17:30:00,112.375640213246,11.3437646213892,242.93447774812,440,8.75875
"5397","VAUL",2019-08-02 17:45:00,112.375640213246,"2019-08-02",242.555734000494,439.3875,8.525,11.207180302736,0.599825,2019-08-02 17:45:00,112.375640213246,11.207180302736,242.555734000494,439.3875,8.525
"5398","VAUL",2019-08-02 18:00:00,113.579664929816,"2019-08-02",242.521501144297,439,8.87875,11.2389714803536,0.60225,2019-08-02 18:00:00,113.579664929816,11.2389714803536,242.521501144297,439,8.87875
"5399","VAUL",2019-08-02 18:15:00,113.981006502006,"2019-08-02",242.639564452195,438.7625,8.705,11.0058361778248,0.60865,2019-08-02 18:15:00,113.981006502006,11.0058361778248,242.639564452195,438.7625,8.705
"5400","VAUL",2019-08-02 18:30:00,114.783689646387,"2019-08-02",241.537866485076,438.4375,9.33625,10.9422538225897,0.607075,2019-08-02 18:30:00,114.783689646387,10.9422538225897,241.537866485076,438.4375,9.33625
