"","column_label","HI","Q_interval","storm.ID","site.ID","storm.num","month","day","response"
"Interpolated HI for 2% discharge...1","1",-0.266878802373998,2,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 4% discharge...2","1",-0.172675523948585,4,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 6% discharge...3","1",-0.166822116357126,6,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 8% discharge...4","1",-0.126579939165686,8,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 10% discharge...5","1",-0.456931630109775,10,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 12% discharge...6","1",-0.575097295862773,12,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 14% discharge...7","1",-0.580401946492547,14,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 16% discharge...8","1",-0.475955204782083,16,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 18% discharge...9","1",-0.474857690858684,18,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 20% discharge...10","1",-0.568878050296815,20,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 22% discharge...11","1",-0.514551111088379,22,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 24% discharge...12","1",-0.409738531403479,24,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 26% discharge...13","1",-0.341509749165293,26,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 28% discharge...14","1",-0.368033002314204,28,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 30% discharge...15","1",-0.41175064026309,30,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 32% discharge...16","1",-0.497173807301186,32,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 34% discharge...17","1",-0.468089688331075,34,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 36% discharge...18","1",-0.404616799760951,36,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 38% discharge...19","1",-0.359618728901482,38,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 40% discharge...20","1",-0.326144554237681,40,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 42% discharge...21","1",-0.310047683361105,42,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 44% discharge...22","1",-0.356326187131254,44,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 46% discharge...23","1",-0.398214635207777,46,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 48% discharge...24","1",-0.398763392169461,48,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 50% discharge...25","1",-0.350472779539795,50,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 52% discharge...26","1",-0.324315364365349,52,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 54% discharge...27","1",-0.277853941607983,54,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 56% discharge...28","1",-0.231026680876153,56,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 58% discharge...29","1",-0.158224923957123,58,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 60% discharge...30","1",-0.175785146731565,60,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 62% discharge...31","1",-0.113775610059338,62,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
"Interpolated HI for 64% discharge...32","1",-0.0301816328935401,64,"STRT_storm1_05_31_NO3","STRT","storm1","05","31","NO3"
