"","site.ID","storm.num","storm_start","storm_end","duration_days","total_storm_ppt","intensity","prev7","prev30"
"1","STRT","storm1",2019-05-31,2019-06-07,8,55.4,6.925,2.2,12.6
"2","STRT","storm2",2019-07-13,2019-07-16,4,12.8,3.2,3.6,61.2
"3","STRT","storm3a",2019-07-26,2019-08-05,11,77.8,7.07272727272727,0.800000000000001,22
"4","STRT","storm3b",2019-08-05,2019-08-08,4,47.4,11.85,53.4,95
"5","STRT","storm3c",2019-08-13,2019-08-15,3,32.6,10.8666666666667,49.2,132.4
"6","STRT","storm4",2019-08-16,2019-08-20,5,51.2,10.24,34.4,160.4
"7","STRT","storm5",2019-08-21,2019-08-22,2,7.8,3.9,66.6,211
"8","STRT","storm6",2019-09-21,2019-09-23,3,18.6,6.2,8,15.6
"9","STRT","storm7a",2019-10-01,2019-10-04,4,25.6,6.4,6.8,37.2
"10","STRT","storm7b",2019-10-04,2019-10-07,4,9.4,2.35,26.6,60.2
"11","STRT","storm7c",2019-10-09,2019-10-12,4,5,1.25,34.8,73.6
