"","site.ID","storm.num","storm_start","storm_end","duration_days","total_storm_ppt","intensity","prev7","prev30"
"1","FRCH","storm1",2019-05-31,2019-06-11,12,58.6,4.88333333333333,2.2,12.6
"2","FRCH","storm10a",2019-08-01,2019-08-06,6,56,9.33333333333333,36.6,53.6
"3","FRCH","storm11",2019-08-06,2019-08-11,6,49.2,8.2,52.8,95
"4","FRCH","storm12a",2019-08-13,2019-08-15,3,32.6,10.8666666666667,49.2,132.4
"5","FRCH","storm12c",2019-08-16,2019-08-30,15,62.8,4.18666666666667,34.4,160.4
"6","FRCH","storm13",2019-09-21,2019-09-25,5,21.4,4.28,8,15.6
"7","FRCH","storm14",2019-10-02,2019-10-08,7,34.8,4.97142857142857,8.4,38.8
"8","FRCH","storm2",2019-06-15,2019-06-17,3,11,3.66666666666667,3.2,70.8
"9","FRCH","storm3",2019-06-18,2019-06-20,3,5.8,1.93333333333333,11.4,79.2
"10","FRCH","storm4",2019-06-21,2019-06-23,3,36,12,16.8,81.6
"11","FRCH","storm5",2019-06-23,2019-06-24,2,13.4,6.7,39.4,100.2
"12","FRCH","storm6",2019-07-12,2019-07-15,4,9.4,2.35,2.4,60
