"","site.ID","storm.num","storm_start","storm_end","duration_days","total_storm_ppt","intensity","prev7","prev30"
"1","MOOS","storm1",2019-06-01,2019-06-08,8,56.8,7.1,2,12.6
"2","MOOS","storm3",2019-07-13,2019-07-15,3,8.2,2.73333333333333,3.6,61.2
"3","MOOS","storm4",2019-07-26,2019-07-28,3,24.4,8.13333333333333,0.800000000000001,22
"4","MOOS","storm5",2019-07-29,2019-08-01,4,22.4,5.6,24.6,46.4
"5","MOOS","storm6a",2019-08-01,2019-08-06,6,56,9.33333333333333,36.6,53.6
"6","MOOS","storm6d",2019-08-06,2019-08-11,6,49.2,8.2,52.8,95
"7","MOOS","storm7a",2019-08-13,2019-08-15,3,32.6,10.8666666666667,49.2,132.4
"8","MOOS","storm7b",2019-08-15,2019-08-16,2,43.2,21.6,28,158.6
"9","MOOS","storm7c",2019-08-16,2019-08-20,5,51.2,10.24,34.4,160.4
"10","MOOS","storm8",2019-09-21,2019-09-23,3,18.6,6.2,8,15.6
"11","MOOS","storm9",2019-10-02,2019-10-07,6,30.8,5.13333333333333,8.4,38.8
