"","storm.num","storm_start","storm_end","duration_days","total_storm_ppt","intensity","prev7","prev30"
"1","storm1",2022-08-01,2022-08-03,3,7.62,2.54,8.382,45.593
"2","storm2",2022-09-14,2022-09-22,9,21.971,2.44122222222222,13.462,48.261
