"","site.ID","storm.num","storm_start","storm_end","duration_days","total_storm_ppt","intensity","prev7","prev30"
"1","VAUL","storm10",2020-08-25,2020-08-27,3,8.8,2.93333333333333,18.6,148.1
"2","VAUL","storm11",2020-08-27,2020-08-31,5,13.8,2.76,26.2,144.3
"3","VAUL","storm12",2020-09-01,2020-09-03,3,15.1,5.03333333333333,21.4,155.9
"4","VAUL","storm13",2020-09-03,2020-09-05,3,34.3,11.4333333333333,28.9,112.8
"5","VAUL","storm14",2020-09-07,2020-09-09,3,22.3,7.43333333333333,50.6,144.9
"6","VAUL","storm1a",2020-06-19,2020-06-20,2,12.8,6.4,18,18.2
"7","VAUL","storm1b",2020-06-20,2020-06-23,4,85.2,21.3,26.6,26.8
"8","VAUL","storm1c",2020-06-23,2020-06-27,5,39.9,7.98,67.5,85.1
"9","VAUL","storm3",2020-07-09,2020-07-13,5,33.1,6.62,52,194.1
"10","VAUL","storm4",2020-07-13,2020-07-16,4,39.4,9.85,71.7,213.6
"11","VAUL","storm6a",2020-08-02,2020-08-03,2,58.2,29.1,13.6,194.7
"12","VAUL","storm6b",2020-08-03,2020-08-08,6,30.4,5.06666666666667,45.2,228.5
"13","VAUL","storm8",2020-08-11,2020-08-12,2,24.7,12.35,27.8,209
