"","storm.num","storm_start","storm_end","duration_days","total_storm_ppt","intensity","prev7","prev30"
"1","storm1",2022-07-11,2022-07-13,3,3.556,1.18533333333333,7.62,21.336
"2","storm2",2022-08-05,2022-08-08,4,28.575,7.14375,11.303,52.705
"3","storm3",2022-09-14,2022-09-17,4,14.097,3.52425,13.462,48.261
"4","storm4",2022-09-19,2022-09-21,3,5.207,1.73566666666667,15.367,49.276
