"","storm.num","storm_start","storm_end","duration_days","total_storm_ppt","intensity","prev7","prev30"
"1","storm1",2018-06-10,2018-06-14,5,6.096,1.2192,4.318,30.988
"2","storm10",2018-08-30,2018-09-02,4,26.67,6.6675,20.32,99.822
"3","storm11",2018-09-02,2018-09-04,3,6.858,2.286,33.02,120.904
"4","storm12a",2018-09-21,2018-09-25,5,36.068,7.2136,5.842,55.88
"5","storm12b",2018-09-25,2018-10-01,7,4.572,0.653142857142857,37.592,79.248
"6","storm2",2018-06-22,2018-06-24,3,6.096,2.032,3.302,30.48
"7","storm3",2018-06-29,2018-06-30,2,6.35,3.175,7.366,25.4
"8","storm4a",2018-06-30,2018-07-03,4,15.748,3.937,4.572,28.702
"9","storm5a",2018-08-04,2018-08-12,9,41.148,4.572,0.254,34.798
"10","storm6",2018-08-14,2018-08-20,7,27.432,3.91885714285714,8.382,62.23
"11","storm7",2018-08-21,2018-08-23,3,3.81,1.27,27.432,82.55
"12","storm8",2018-08-24,2018-08-26,3,12.446,4.14866666666667,5.08,86.36
"13","storm9",2018-08-26,2018-08-30,5,30.988,6.1976,10.668,93.218
