"","site.ID","storm.num","storm_start","storm_end","duration_days","total_storm_ppt","intensity","prev7","prev30"
"1","POKE","storm11",2020-07-18,2020-07-20,3,10.922,3.64066666666667,32.131,132.463
"2","POKE","storm12",2020-07-21,2020-07-24,4,25.019,6.25475,28.448,103.379
"3","POKE","storm13",2020-07-24,2020-07-25,2,10.033,5.0165,33.147,98.553
"4","POKE","storm14",2020-07-27,2020-07-31,5,18.034,3.6068,26.416,99.95
"5","POKE","storm15",2020-08-03,2020-08-06,4,44.069,11.01725,32.258,121.413
"6","POKE","storm19",2020-08-27,2020-08-29,3,7.366,2.45533333333333,21.209,94.869
"7","POKE","storm20",2020-09-02,2020-09-03,2,9.779,4.8895,18.669,88.773
"8","POKE","storm21",2020-09-04,2020-09-06,3,7.366,2.45533333333333,16.383,54.483
"9","POKE","storm22a",2020-09-08,2020-09-09,2,23.241,11.6205,31.75,69.977
"10","POKE","storm22b",2020-09-09,2020-09-11,3,13.462,4.48733333333333,38.481,80.01
"11","POKE","storm3",2020-06-15,2020-06-16,2,6.096,3.048,21.967,40.255
"12","POKE","storm4a",2020-06-19,2020-06-20,2,36.196,18.098,23.366,50.161
"13","POKE","storm4b",2020-06-20,2020-06-21,2,25.146,12.573,33.402,71.625
"14","POKE","storm4c",2020-06-21,2020-06-23,3,21.209,7.06966666666667,47.626,86.357
"15","POKE","storm5",2020-06-23,2020-06-25,3,16.637,5.54566666666667,53.722,99.565
"16","POKE","storm7",2020-07-04,2020-07-05,2,8.256,4.128,10.795,112.519
"17","POKE","storm8",2020-07-09,2020-07-10,2,11.43,5.715,8.256,116.584
"18","POKE","storm9",2020-07-13,2020-07-15,3,20.32,6.77333333333333,11.43,108.46
