"","site.ID","storm.num","storm_start","storm_end","duration_days","total_storm_ppt","intensity","prev7","prev30"
"1","POKE","storm1",2019-06-30,2019-07-01,2,9.779,4.8895,4.191,22.987
"2","POKE","storm2",2019-07-12,2019-07-13,2,9.906,4.953,0,23.876
"3","POKE","storm3",2019-07-26,2019-07-27,2,19.813,9.9065,0.126999999999999,25.654
"4","POKE","storm4",2019-08-01,2019-08-02,2,47.498,23.749,27.56,43.308
"5","POKE","storm5a",2019-08-02,2019-08-05,4,87.249,21.81225,35.18,50.928
"6","POKE","storm5c",2019-08-05,2019-08-07,3,17.018,5.67266666666667,94.361,130.811
"7","POKE","storm5d",2019-08-10,2019-08-11,2,5.08,2.54,61.849,152.655
"8","POKE","storm6a",2019-08-13,2019-08-16,4,47.117,11.77925,19.939,148.21
"9","POKE","storm7",2019-08-16,2019-08-18,3,17.272,5.75733333333333,40.513,178.436
"10","POKE","storm8",2019-09-29,2019-09-30,2,10.795,5.3975,1.143,12.065
"11","POKE","storm9",2019-10-04,2019-10-06,3,8.636,2.87866666666667,17.526,29.464
