"","site.ID","storm.num","storm_start","storm_end","duration_days","total_storm_ppt","intensity","prev7","prev30"
"1","STRT","storm10",2020-09-24,2020-09-26,3,9,3,3.2,64.2
"2","STRT","storm1a",2020-06-19,2020-06-29,11,97.4,8.85454545454546,18,18.2
"3","STRT","storm2",2020-07-09,2020-07-11,3,10.8,3.6,52,172.2
"4","STRT","storm3",2020-07-21,2020-07-25,5,39.8,7.96,33,186
"5","STRT","storm4a",2020-08-01,2020-08-03,3,26.8,8.93333333333333,10,146
"6","STRT","storm4b",2020-08-03,2020-08-06,4,16.2,4.05,20.6,159.4
"7","STRT","storm5",2020-08-09,2020-08-12,4,15.6,3.9,31.2,122.4
"8","STRT","storm6",2020-08-12,2020-08-13,2,9.8,4.9,14.8,126
"9","STRT","storm7a",2020-08-20,2020-08-21,2,18.8,9.4,5.8,101.8
"10","STRT","storm8",2020-08-28,2020-08-30,3,8.8,2.93333333333333,39.4,93.2
"11","STRT","storm9a",2020-09-03,2020-09-06,4,12.8,3.2,13.4,78.2
"12","STRT","storm9b",2020-09-07,2020-09-08,2,7.8,3.9,17,88.2
"13","STRT","storm9c",2020-09-09,2020-09-14,6,20,3.33333333333333,24.2,94.2
