"","site.ID","storm.num","storm_start","storm_end","duration_days","total_storm_ppt","intensity","prev7","prev30"
"1","CARI","storm1",2020-06-15,2020-06-17,3,6.096,2.032,21.967,40.255
"2","CARI","storm2a",2020-06-19,2020-06-20,2,36.196,18.098,23.366,50.161
"3","CARI","storm2b",2020-06-20,2020-06-23,4,35.941,8.98525,33.402,71.625
"4","CARI","storm3",2020-06-23,2020-06-26,4,16.637,4.15925,53.722,99.565
"5","CARI","storm4",2020-07-09,2020-07-11,3,11.43,3.81,8.256,116.584
"6","CARI","storm5",2020-07-13,2020-07-15,3,20.32,6.77333333333333,11.43,108.46
"7","CARI","storm6",2020-07-24,2020-07-26,3,10.033,3.34433333333333,33.147,98.553
"8","CARI","storm7",2020-07-27,2020-07-30,4,18.034,4.5085,26.416,99.95
"9","CARI","storm8a",2020-08-02,2020-08-03,2,52.705,26.3525,22.352,111.507
"10","CARI","storm8b",2020-08-03,2020-08-08,6,46.228,7.70466666666667,32.258,121.413
"11","CARI","storm9",2020-09-07,2020-09-08,2,21.336,10.668,23.368,61.849
