"","storm.num","storm_start","storm_end","duration_days","total_storm_ppt","intensity","prev7","prev30"
"1","storm1",2018-06-21,2018-06-24,4,6.35,1.5875,3.048,30.226
"2","storm10",2018-09-02,2018-09-16,15,8.636,0.575733333333333,33.02,120.904
"3","storm11a",2018-09-23,2018-09-30,8,17.526,2.19075,24.638,73.152
"4","storm2a",2018-07-01,2018-07-08,8,16.256,2.032,7.62,30.226
"5","storm3",2018-07-11,2018-07-15,5,19.558,3.9116,3.556,33.528
"6","storm4a",2018-07-15,2018-07-17,3,6.858,2.286,18.542,51.816
"7","storm4b",2018-07-17,2018-07-20,4,4.826,1.2065,20.828,53.086
"8","storm5",2018-08-05,2018-08-12,8,28.702,3.58775,12.7,43.688
"9","storm6",2018-08-13,2018-08-20,8,35.814,4.47675,8.128,53.848
"10","storm7",2018-08-24,2018-08-27,4,16.256,4.064,5.08,86.36
"11","storm8a",2018-08-27,2018-08-30,4,25.4,6.35,16.256,93.472
"12","storm9",2018-08-30,2018-09-01,3,21.082,7.02733333333333,20.32,99.822
