"","site.ID","storm.num","storm_start","storm_end","duration_days","total_storm_ppt","intensity","prev7","prev30"
"1","FRCH","storm1",2020-06-13,2020-06-18,6,18,3,0.2,0.2
"2","FRCH","storm10a",2020-08-10,2020-08-12,3,27,9,14.6,111.8
"3","FRCH","storm10b",2020-08-13,2020-08-14,2,3.2,1.6,28.6,137.8
"4","FRCH","storm11",2020-08-21,2020-08-22,2,6.2,3.1,1.4,79
"5","FRCH","storm2",2020-06-19,2020-06-20,2,12.8,6.4,18,18.2
"6","FRCH","storm3a",2020-06-20,2020-07-05,16,93.4,5.8375,26.6,26.8
"7","FRCH","storm4a",2020-07-08,2020-07-10,3,61.4,20.4666666666667,1.6,121.6
"8","FRCH","storm4b",2020-07-10,2020-07-12,3,8,2.66666666666667,54.8,175
"9","FRCH","storm5",2020-07-16,2020-07-17,2,12.2,6.1,15.8,170.4
"10","FRCH","storm6",2020-07-19,2020-07-20,2,5.4,2.7,28.6,193.4
"11","FRCH","storm7",2020-07-21,2020-07-24,4,39.2,9.8,33,186
"12","FRCH","storm8",2020-07-27,2020-07-31,5,6.8,1.36,42,151.8
"13","FRCH","storm9a",2020-08-02,2020-08-03,2,27,13.5,9,145.6
"14","FRCH","storm9b",2020-08-03,2020-08-06,4,14.2,3.55,21.2,160
