"","storm.num","storm_start","storm_end","duration_days","total_storm_ppt","intensity","prev7","prev30"
"1","storm10",2018-09-02,2018-09-11,10,8.636,0.8636,33.02,120.904
"2","storm11a",2018-09-22,2018-10-01,10,26.67,2.667,15.494,65.532
"3","storm2a",2018-06-30,2018-07-09,10,19.304,1.9304,4.572,28.702
"4","storm3",2018-07-11,2018-07-15,5,19.558,3.9116,3.556,33.528
"5","storm5",2018-08-05,2018-08-11,7,28.702,4.10028571428571,12.7,43.688
"6","storm6",2018-08-14,2018-08-21,8,29.718,3.71475,8.382,62.23
"7","storm7",2018-08-23,2018-08-27,5,17.78,3.556,3.556,84.836
"8","storm8a",2018-08-27,2018-08-30,4,25.4,6.35,16.256,93.472
"9","storm9",2018-08-31,2018-09-02,3,7.62,2.54,37.846,118.872
