"","site.ID","storm.num","storm_start","storm_end","duration_days","total_storm_ppt","intensity","prev7","prev30"
"1","MOOS","storm1",2020-06-21,2020-06-28,8,81.6,10.2,30.8,31
"2","MOOS","storm2",2020-06-28,2020-07-02,5,13,2.6,76.2,107.2
"3","MOOS","storm3",2020-07-18,2020-07-20,3,16.8,5.6,17.2,182
"4","MOOS","storm4",2020-07-20,2020-07-24,5,39.2,7.84,34,190.2
"5","MOOS","storm5",2020-07-27,2020-07-29,3,6.8,2.26666666666667,42,151.8
"6","MOOS","storm6a",2020-08-02,2020-08-03,2,27,13.5,9,145.6
"7","MOOS","storm6b",2020-08-03,2020-08-06,4,14.2,3.55,21.2,160
"8","MOOS","storm7a",2020-08-09,2020-08-12,4,27,6.75,29,119.8
"9","MOOS","storm7b",2020-08-12,2020-08-14,3,6.4,2.13333333333333,25.4,135.6
"10","MOOS","storm8",2020-09-07,2020-09-09,3,12.2,4.06666666666667,7.4,55.8
"11","MOOS","storm9",2020-09-09,2020-09-13,5,4,0.8,15.6,63.6
