"","site.ID","storm.num","storm_start","storm_end","duration_days","total_storm_ppt","intensity","prev7","prev30"
"1","CARI","storm1",2021-05-16,2021-05-18,3,9.525,3.175,0.508,1.651
"2","CARI","storm10",2021-08-22,2021-08-24,3,13.716,4.572,83.312,159.385
"3","CARI","storm2",2021-08-27,2021-08-28,2,14.351,7.1755,40.894,154.432
"4","CARI","storm3",2021-06-02,2021-08-29,89,1.651,0.0185505617977528,6.477,18.923
"5","CARI","storm4",2021-06-02,2021-06-20,19,3.175,0.167105263157895,6.477,18.923
"6","CARI","storm5",2021-06-20,2021-07-29,40,29.591,0.739775,11.811,35.687
"7","CARI","storm6",2021-07-29,2021-08-10,13,20.828,1.60215384615385,38.354,54.229
"8","CARI","storm7",2021-08-09,2021-08-17,9,90.932,10.1035555555556,10.414,49.53
"9","CARI","storm8",2021-08-16,2021-08-21,6,59.69,9.94833333333333,53.213,102.108
"10","CARI","storm9",2021-08-21,2021-08-22,2,2.667,1.3335,81.915,159.004
