"","Hyst_index","HI_ymin","HI_ymax","site.ID","storm.ID","month","day","response_var","year","X1","Parameter","Beta_index","SE","CI","Beta_ymin","Beta_ymax","t","df","p","HI","precip","temp","precip.week","precip.month","ThreeMonth","doy","date","TimeSinceChena"
"1",0.516452371216314,0.490108244119388,0.54141130581883,"FRCH","storm1","07","10","NO3","2022",20,"Q.norm",-0.385845349859784,0.0631488576997005,0.95,-0.514812522586769,-0.256878177132799,-6.11009231068979,30,1.02535744978071e-06,0.516452371216314,3.937,NA,6.096,19.812,43.053,190.65625,2022-07-10,58.65625
"2",-0.680252710804198,-0.729127616409087,-0.643956138719226,"FRCH","storm1","07","10","fDOM","2022",72,"Q.norm",0.897226309128807,0.085802886714136,0.95,0.721739701840502,1.07271291641711,10.4568312732652,29,2.37258458753703e-11,-0.680252710804198,3.937,NA,6.096,19.812,43.053,190.65625,2022-07-10,58.65625
"3",0.68515283842795,0.675545851528385,0.70938864628821,"FRCH","storm1","07","10","SPC","2022",122,"Q.norm",-0.273937347696682,0.0392898814714026,0.95,-0.354177990437067,-0.193696704956296,-6.97221109959492,30,9.56344591397569e-08,0.68515283842795,3.937,NA,6.096,19.812,43.053,190.65625,2022-07-10,58.65625
"4",0.0487927096443384,-0.00229571621684614,0.0717906586491395,"FRCH","storm1","07","10","turb","2022",172,"Q.norm",0.647823660531998,0.0851115349043526,0.95,0.472874394968021,0.822772926095975,7.61146725012086,26,4.44110776124199e-08,0.0487927096443384,3.937,NA,6.096,19.812,43.053,190.65625,2022-07-10,58.65625
"5",-0.666316593392617,-0.68542172346237,-0.613531080584332,"FRCH","storm1","07","10","abs","2022",204,"Q.norm",1.14656062615744,0.0865723779589351,0.95,0.969500232565915,1.32362101974897,13.2439544019607,29,7.95538482900983e-14,-0.666316593392617,3.937,NA,6.096,19.812,43.053,190.65625,2022-07-10,58.65625
"6",0.872452902729737,0.540155228758208,0.89965397923875,"FRCH","storm2","08","05","NO3","2022",22,"Q.norm",-0.133721184562184,0.0171138964749953,0.95,-0.16806273024589,-0.099379638878478,-7.81360251638548,52,2.51098878359002e-10,0.872452902729737,13.716,NA,14.605,57.15,73.914,216.489583333333,2022-08-05,84.4895833333321
"7",-0.47207051025552,-0.479546573865166,-0.450664646371619,"FRCH","storm2","08","05","fDOM","2022",74,"Q.norm",1.7850343875308,0.0568022128440986,0.95,1.67099918690697,1.89906958815464,31.425437463679,51,4.79283022881479e-35,-0.47207051025552,13.716,NA,14.605,57.15,73.914,216.489583333333,2022-08-05,84.4895833333321
"8",-0.191823899371085,-0.21069182389938,-0.155660377358565,"FRCH","storm2","08","05","SPC","2022",124,"Q.norm",-0.0615885497511521,0.140228693403432,0.95,-0.343109398760477,0.219932299258173,-0.439200767377648,51,0.662371371321012,-0.191823899371085,13.716,NA,14.605,57.15,73.914,216.489583333333,2022-08-05,84.4895833333321
"9",-0.165209400757406,-0.181192916016929,-0.127506126085987,"FRCH","storm2","08","05","turb","2022",174,"Q.norm",0.884092649159913,0.068219452832267,0.95,0.747136382834027,1.0210489154858,12.9595388478658,51,9.23453142954061e-18,-0.165209400757406,13.716,NA,14.605,57.15,73.914,216.489583333333,2022-08-05,84.4895833333321
"10",-0.449428142329018,-0.465515249537894,-0.424431030499077,"FRCH","storm2","08","05","abs","2022",206,"Q.norm",1.2474477394493,0.0418119356751613,0.95,1.16350677598236,1.33138870291624,29.834728273304,51,5.92725973850389e-34,-0.449428142329018,13.716,NA,14.605,57.15,73.914,216.489583333333,2022-08-05,84.4895833333321
"11",0.616500369549158,0.539541759053958,0.679508499630466,"FRCH","storm3","09","14","NO3","2022",24,"Q.norm",-0.237050318202633,0.0103766798228957,0.95,-0.257632413430972,-0.216468222974294,-22.8445246695954,102,6.65666090965552e-42,0.616500369549158,5.588,NA,21.717,51.689,146.051,256.489583333333,2022-09-14,124.489583333332
"12",-0.537336849256256,-0.628570545427172,-0.448778064877893,"FRCH","storm3","09","14","fDOM","2022",76,"Q.norm",0.753097364088799,0.0250113151771256,0.95,0.70348164274724,0.802713085430357,30.1102664436276,101,2.96986157418156e-52,-0.537336849256256,5.588,NA,21.717,51.689,146.051,256.489583333333,2022-09-14,124.489583333332
"13",0.881400208986417,0.874608150470219,0.885057471264363,"FRCH","storm3","09","14","SPC","2022",126,"Q.norm",-0.118418229687006,0.0129189889145972,0.95,-0.144042982944536,-0.0927934764294757,-9.16621497779941,102,5.69323823517562e-15,0.881400208986417,5.588,NA,21.717,51.689,146.051,256.489583333333,2022-09-14,124.489583333332
"14",-0.250629614790222,-0.28783412512163,-0.168679526071776,"FRCH","storm3","09","14","turb","2022",176,"Q.norm",0.735617070225837,0.0316144681937062,0.95,0.672894865756255,0.798339274695419,23.2683676890786,100,3.80062098659569e-42,-0.250629614790222,5.588,NA,21.717,51.689,146.051,256.489583333333,2022-09-14,124.489583333332
"15",-0.616334999528435,-0.689333207582762,-0.512673300009432,"FRCH","storm3","09","14","abs","2022",208,"Q.norm",0.802356137234158,0.0293832762594094,0.95,0.744053342387092,0.860658932081225,27.3065579940978,99,6.96653726139589e-48,-0.616334999528435,5.588,NA,21.717,51.689,146.051,256.489583333333,2022-09-14,124.489583333332
"16",0.675197889182056,0.458047493403639,0.774538258575203,"FRCH","storm4","09","19","NO3","2022",26,"Q.norm",-0.365596841542835,0.0192868975010742,0.95,-0.403875994199492,-0.327317688886178,-18.9557102961984,97,2.19815918834446e-34,0.675197889182056,5.461,NA,16.637,50.927,153.925,261.614583333333,2022-09-19,129.614583333332
