"","Hyst_index","HI_ymin","HI_ymax","site.ID","storm.ID","month.x","day.x","response_var","Flush_index","FI_ymin","FI_ymax","month.y","day.y","year","X1","Parameter","Beta_index","SE","CI","Beta_ymin","Beta_ymax","t","df","p","X1_1","HI","precip","temp","precip.week","precip.month","ThreeMonth","temp.week","TOTAL.TIME","Intensity","doy","burn","pf","date","TimeSinceChena"
"16",0.770899471,0.7540707671,0.8056878305,"FRCH","storm5a","08","15","SPC",NA,NA,NA,"08","15","2021",99,"Q.norm",0.380393211,0.043034763,0.95,0.2952016,0.465584821,8.839207854,122,8.8e-15,25,0.770899470899476,34.6,5.89865942028985,5.6,44.8,81.4,7.09488169642857,41,0.84390243902439,226.107638888889,"unburned","medium",2021-08-15,99.1076388888905
"17",-0.199815683,-0.2146040365,-0.17215692,"FRCH","storm5a","08","15","turb",NA,NA,NA,"08","15","2021",279,"Q.norm",0.799827698,0.023722053,0.95,0.752867524,0.846787872,33.71663015,122,1.12e-63,34,-0.199815683019657,34.6,5.89865942028985,5.6,44.8,81.4,7.09488169642857,41,0.84390243902439,226.107638888889,"unburned","medium",2021-08-15,99.1076388888905
"18",-0.4521525215,-0.513284133,-0.4012915125,"FRCH","storm5b","08","17","NO3",-0.2789,-0.3057,-0.2415,"08","17","2021",32,"Q.norm",2.238051285,0.128451534,0.95,1.978825595,2.497276975,17.42331303,42,7.82e-21,6,-0.452152521525209,7.2,4.58973461538462,39.2,65.4,116,5.82658110119048,64,0.1125,228.024305555556,"unburned","medium",2021-08-17,101.024305555555
"19",-0.5779740765,-0.674266615,-0.52974574,"FRCH","storm5b","08","17","fDOM",NA,NA,NA,"08","17","2021",191,"Q.norm",-1.337706502,0.114228035,0.95,-1.568228009,-1.107184996,-11.71084232,42,8.2e-15,17,-0.577974076616232,7.2,4.58973461538462,39.2,65.4,116,5.82658110119048,64,0.1125,228.024305555556,"unburned","medium",2021-08-17,101.024305555555
"20",0.387632979,0.343971631,0.407801418,"FRCH","storm5b","08","17","SPC",NA,NA,NA,"08","17","2021",101,"Q.norm",0.617056904,0.271374156,0.95,0.069401685,1.164712123,2.273823392,42,0.028150566,26,0.387632978723413,7.2,4.58973461538462,39.2,65.4,116,5.82658110119048,64,0.1125,228.024305555556,"unburned","medium",2021-08-17,101.024305555555
"21",0.059166749,-0.0056023915,0.1214474655,"FRCH","storm5b","08","17","turb",NA,NA,NA,"08","17","2021",281,"Q.norm",0.644956996,0.166939187,0.95,0.308060076,0.981853916,3.863424794,42,0.000380779,35,0.0591667491558606,7.2,4.58973461538462,39.2,65.4,116,5.82658110119048,64,0.1125,228.024305555556,"unburned","medium",2021-08-17,101.024305555555
"22",0.732060185,0.706886574,0.7974537035,"FRCH","storm6a","08","19","NO3",-0.0935,-0.2243,0.0166,"08","19","2021",34,"Q.norm",0.011312329,0.032486299,0.95,-0.053765548,0.076390207,0.348218463,56,0.728981782,7,0.732060185185134,6.2,5.47701636904762,7.2,51.6,124.6,4.571578125,21,0.295238095238095,230.774305555556,"unburned","medium",2021-08-19,103.774305555555
"23",-0.051885989,-0.088970645,0.0096042135,"FRCH","storm6a","08","19","fDOM",NA,NA,NA,"08","19","2021",193,"Q.norm",-0.064386035,0.017838252,0.95,-0.100120347,-0.028651723,-3.609436386,56,0.000655725,18,-0.0518859886918157,6.2,5.47701636904762,7.2,51.6,124.6,4.571578125,21,0.295238095238095,230.774305555556,"unburned","medium",2021-08-19,103.774305555555
"24",0.2312423125,0.167896679,0.2601476015,"FRCH","storm6a","08","19","SPC",NA,NA,NA,"08","19","2021",103,"Q.norm",0.320545351,0.085445244,0.95,0.149377959,0.491712744,3.751470947,56,0.000419037,27,0.231242312423127,6.2,5.47701636904762,7.2,51.6,124.6,4.571578125,21,0.295238095238095,230.774305555556,"unburned","medium",2021-08-19,103.774305555555
"25",-0.17862269,-0.1899042825,-0.1630718615,"FRCH","storm6a","08","19","turb",NA,NA,NA,"08","19","2021",283,"Q.norm",0.342130946,0.025698861,0.95,0.290649942,0.39361195,13.31307832,56,5.42e-19,36,-0.178622690289054,6.2,5.47701636904762,7.2,51.6,124.6,4.571578125,21,0.295238095238095,230.774305555556,"unburned","medium",2021-08-19,103.774305555555
"26",-0.006378157,-0.454330808,0.014451875,"FRCH","storm6b","08","20","NO3",NA,NA,NA,"08","20","2021",36,"Q.norm",-0.068347599,0.001396628,0.95,-0.071168146,-0.065527052,-48.93759259,41,5.4e-38,8,-0.00637815738598482,3.8,6.72226335470085,12.4,56,113.8,5.32004315476191,77,0.0493506493506494,231.940972222222,"unburned","medium",2021-08-20,104.940972222223
"27",0.1256545555,-0.0064409875,0.269182198,"FRCH","storm6b","08","20","fDOM",NA,NA,NA,"08","20","2021",195,"Q.norm",-0.436422496,0.044537114,0.95,-0.526367023,-0.346477969,-9.799074363,41,2.65e-12,19,0.125654555545724,3.8,6.72226335470085,12.4,56,113.8,5.32004315476191,77,0.0493506493506494,231.940972222222,"unburned","medium",2021-08-20,104.940972222223
"28",0.30853563,0.2394283475,0.329678935,"FRCH","storm6b","08","20","SPC",NA,NA,NA,"08","20","2021",105,"Q.norm",-0.686302213,0.064596829,0.95,-0.816758157,-0.55584627,-10.62439471,41,2.41e-13,28,0.308535630383714,3.8,6.72226335470085,12.4,56,113.8,5.32004315476191,77,0.0493506493506494,231.940972222222,"unburned","medium",2021-08-20,104.940972222223
"29",-0.0213245025,-0.036701707,-0.003530042,"FRCH","storm6b","08","20","turb",NA,NA,NA,"08","20","2021",285,"Q.norm",0.80545794,0.174105019,0.95,0.453845721,1.157070158,4.626276403,41,3.7e-05,37,-0.0213245025902787,3.8,6.72226335470085,12.4,56,113.8,5.32004315476191,77,0.0493506493506494,231.940972222222,"unburned","medium",2021-08-20,104.940972222223
"30",-0.008899676,-0.033441208,0.014832794,"FRCH","storm7","08","25","NO3",-0.7609,-0.797,-0.7291,"08","25","2021",38,"Q.norm",0.773864911,0.058367142,0.95,0.657152597,0.890577225,13.25857126,61,1.27e-19,9,-0.0088996763753772,5.8,4.95733452380952,12.8,36.8,108.6,7.57998809523809,NA,NA,236.565972222222,"unburned","medium",2021-08-25,109.565972222223
"31",-0.6886304405,-0.778459734,-0.5097993225,"FRCH","storm7","08","25","fDOM",0.5893,0.5847,0.5931,"08","25","2021",197,"Q.norm",-0.217361219,0.020033202,0.95,-0.257407018,-0.17731542,-10.850049,62,5.8e-16,20,-0.688630440448268,5.8,4.95733452380952,12.8,36.8,108.6,7.57998809523809,NA,NA,236.565972222222,"unburned","medium",2021-08-25,109.565972222223
"32",0.6382823875,0.5573144105,0.716157205,"FRCH","storm7","08","25","SPC",-0.786,-0.7973,-0.7784,"08","25","2021",107,"Q.norm",0.447784793,0.032340045,0.95,0.383137964,0.512431621,13.84614016,62,1.24e-20,29,0.638282387190683,5.8,4.95733452380952,12.8,36.8,108.6,7.57998809523809,NA,NA,236.565972222222,"unburned","medium",2021-08-25,109.565972222223
"33",-0.015133376,-0.095526579,0.024285522,"FRCH","storm7","08","25","turb",0.0035,-0.0286,0.0313,"08","25","2021",287,"Q.norm",0.187546675,0.05913915,0.95,0.069329198,0.305764151,3.171277811,62,0.00235995,38,-0.0151333756442808,5.8,4.95733452380952,12.8,36.8,108.6,7.57998809523809,NA,NA,236.565972222222,"unburned","medium",2021-08-25,109.565972222223
"34",-0.0658829295,-0.1147579765,-0.0394651885,"FRCH","storm8","08","27","NO3",-0.0151,-0.0162,-0.014,"08","27","2021",40,"Q.norm",0.504476421,0.080605366,0.95,0.34415559,0.664797252,6.258596006,83,1.62e-08,12,-0.0658829292187117,6.6,4.81587749287749,12.6,33.4,115.2,5.81315848214286,7,0.942857142857143,238.065972222222,"unburned","medium",2021-08-27,111.065972222223
"35",-0.147444308,-0.263646176,0.005839056,"FRCH","storm8","08","27","fDOM",-0.0865,-0.0876,-0.0851,"08","27","2021",199,"Q.norm",-0.269800057,0.017627893,0.95,-0.304855056,-0.234745058,-15.30529211,84,5.09e-26,21,-0.147444307967172,6.6,4.81587749287749,12.6,33.4,115.2,5.81315848214286,7,0.942857142857143,238.065972222222,"unburned","medium",2021-08-27,111.065972222223
"36",0.6520489755,0.552973513,0.690029985,"FRCH","storm8","08","27","SPC",-0.1023,-0.1028,-0.102,"08","27","2021",109,"Q.norm",-0.122384928,0.016883965,0.95,-0.155960544,-0.088809312,-7.248589282,84,1.89e-10,30,0.652048975512244,6.6,4.81587749287749,12.6,33.4,115.2,5.81315848214286,7,0.942857142857143,238.065972222222,"unburned","medium",2021-08-27,111.065972222223
"37",-0.2515289645,-0.3759843215,-0.182260196,"FRCH","storm8","08","27","turb",0.2562,0.2202,0.3013,"08","27","2021",289,"Q.norm",0.714633122,0.043939194,0.95,0.627255217,0.802011027,16.26413834,84,1.1e-27,39,-0.251528964444053,6.6,4.81587749287749,12.6,33.4,115.2,5.81315848214286,7,0.942857142857143,238.065972222222,"unburned","medium",2021-08-27,111.065972222223
"38",-0.0408075605,-0.132738819925,0.0021716305,"MOOS","storm1","07","23","fDOM",NA,NA,NA,"07","23","2021",201,"Q.norm",0.11071074,0.059672645,0.95,-0.010431169,0.231852649,1.855301384,35,0.071991354,1,-0.0408075601374571,4.8,11.7661137152778,17,17,29.2,16.6055870535714,47.8333333333333,0.100348432055749,203.940972222222,"unburned","medium",2021-07-23,76.9409722222226
"39",0.559782609,0.391304348,0.612137681,"MOOS","storm1","07","23","SPC",NA,NA,NA,"07","23","2021",111,"Q.norm",-0.81052477,0.196192288,0.95,-1.209235471,-0.411814069,-4.131277412,34,0.000221919,11,0.559782608695596,4.8,11.7661137152778,17,17,29.2,16.6055870535714,47.8333333333333,0.100348432055749,203.940972222222,"unburned","medium",2021-07-23,76.9409722222226
"40",-0.0067783815,-0.05419686,0.0185688405,"MOOS","storm1","07","23","turb",NA,NA,NA,"07","23","2021",291,"Q.norm",1.320997815,0.153082407,0.95,1.010224007,1.631771623,8.62932483,35,3.46e-10,21,-0.006778381642512,4.8,11.7661137152778,17,17,29.2,16.6055870535714,47.8333333333333,0.100348432055749,203.940972222222,"unburned","medium",2021-07-23,76.9409722222226
"41",0.2318977425,0.212907908,0.3799936335,"MOOS","storm2","07","27","fDOM",-0.5351,-0.5385,-0.5326,"07","27","2021",203,"Q.norm",0.005005024,0.00229808,0.95,0.000447845,0.009562203,2.177915511,104,0.031671975,2,0.231897742478525,11.8,12.029212962963,3,24.8,30.4,13.0837410714286,62.8333333333333,0.187798408488064,207.482638888889,"unburned","medium",2021-07-27,80.4826388888905
"42",0.1995172125,0.192170445,0.3075146935,"MOOS","storm2","07","27","SPC",NA,NA,NA,"07","27","2021",113,"Q.norm",0.051472076,0.004241074,0.95,0.043061868,0.059882285,12.13656671,104,1.21e-21,12,0.199517212426527,11.8,12.029212962963,3,24.8,30.4,13.0837410714286,62.8333333333333,0.187798408488064,207.482638888889,"unburned","medium",2021-07-27,80.4826388888905
