"","Hyst_index","HI_ymin","HI_ymax","site.ID","storm.ID","month.x","day.x","response_var","Flush_index","FI_ymin","FI_ymax","month.y","day.y","year","X1","Parameter","Beta_index","SE","CI","Beta_ymin","Beta_ymax","t","df","p","HI","precip","temp","precip.week","precip.month","ThreeMonth","temp.week","TOTAL.TIME","Intensity","doy","burn","pf","date","TimeSinceChena"
"1",0.454189954109604,0.385559702158813,0.547865774826538,"FRCH","storm1","06","13","NO3",-0.1362,-0.1371,-0.1353,"06","13","2020",22,"Q.norm",-0.288087956264239,0.0157362360089302,0.95,-0.319158298686174,-0.257017613842304,-18.3072976346282,165,1.39424426035928e-41,0.454189954109604,18,15.1629788251366,0.2,0.2,0.2,13.7757117117117,121.5,0.148148148148148,164.114583333333,"unburned","medium","2020-06-13",35.1145833333321
"2",-0.437122794871111,-0.463890902522883,-0.397569139047367,"FRCH","storm1","06","13","fDOM",0.3996,0.3994,0.3999,"06","13","2020",180,"Q.norm",0.881642072727899,0.0538153421728068,0.95,0.77526570572599,0.988018439729808,16.3827272508433,143,1.26408279575355e-34,-0.437122794871111,18,15.1629788251366,0.2,0.2,0.2,13.7757117117117,121.5,0.148148148148148,164.114583333333,"unburned","medium","2020-06-13",35.1145833333321
"3",-0.333423326133909,-0.506344492440603,0.0882829373650116,"FRCH","storm1","06","13","SPC",-0.0583,-0.0586,-0.0581,"06","13","2020",340,"Q.norm",-0.172285151836008,0.00627543885789748,0.95,-0.18468688313492,-0.159883420537095,-27.453881033227,147,9.80158034267574e-60,-0.333423326133909,18,15.1629788251366,0.2,0.2,0.2,13.7757117117117,121.5,0.148148148148148,164.114583333333,"unburned","medium","2020-06-13",35.1145833333321
"4",-0.0045752453262658,-0.0772747892939853,0.039589451567462,"FRCH","storm1","06","13","turb",0.1904,0.1686,0.2089,"06","13","2020",496,"Q.norm",0.84456151640496,0.0340388043113351,0.95,0.777285196123231,0.911837836686689,24.8117268949931,145,4.78835493830434e-54,-0.0045752453262658,18,15.1629788251366,0.2,0.2,0.2,13.7757117117117,121.5,0.148148148148148,164.114583333333,"unburned","medium","2020-06-13",35.1145833333321
"5",-0.338505250826519,-0.476112366452744,-0.222957548873434,"FRCH","storm1","06","13","abs",NA,NA,NA,NA,NA,"2020",634,"Q.norm",1.23713838226477,0.0450189786099812,0.95,1.1482548123342,1.32602195219534,27.4803742879783,166,1.15489927769279e-63,-0.338505250826519,18,15.1629788251366,0.2,0.2,0.2,NA,121.5,0.148148148148148,164.114583333333,"unburned","medium","2020-06-13",35.1145833333321
"6",0.686632578524467,0.66453615777941,0.749634769905038,"FRCH","storm2","06","18","NO3",-0.3607,-0.3771,-0.3453,"06","18","2020",30,"Q.norm",-0.294579232020108,0.0119510231412131,0.95,-0.318308268621277,-0.270850195418939,-24.6488713593275,94,8.25133960780818e-43,0.686632578524467,8.2,11.0747956989247,18.6,18.8,18.8,15.0523107638889,30.5,0.268852459016394,169.947916666667,"unburned","medium","2020-06-18",40.9479166666679
"7",-0.320331018793867,-0.381409291408658,-0.188181304190076,"FRCH","storm2","06","18","fDOM",0.6821,0.6798,0.684,"06","18","2020",188,"Q.norm",1.01091543432155,0.0806434212754791,0.95,0.850773582037648,1.17105728660545,12.5356218564717,93,1.08045605935374e-21,-0.320331018793867,8.2,11.0747956989247,18.6,18.8,18.8,15.0523107638889,30.5,0.268852459016394,169.947916666667,"unburned","medium","2020-06-18",40.9479166666679
"8",0.601328903654492,0.574750830564782,0.64451827242525,"FRCH","storm2","06","18","SPC",-0.8214,-0.8377,-0.8084,"06","18","2020",348,"Q.norm",-0.131600663632134,0.0248044455441541,0.95,-0.180850471722555,-0.082350855541712,-5.30552732565107,94,7.45050659106699e-07,0.601328903654492,8.2,11.0747956989247,18.6,18.8,18.8,15.0523107638889,30.5,0.268852459016394,169.947916666667,"unburned","medium","2020-06-18",40.9479166666679
"9",-0.118971583220568,-0.152072733423545,-0.103193504736131,"FRCH","storm2","06","18","turb",0.0761,0.0646,0.0917,"06","18","2020",504,"Q.norm",0.400735201962827,0.0481138835221745,0.95,0.30519056476927,0.496279839156385,8.32888914024448,93,6.93674303533734e-13,-0.118971583220568,8.2,11.0747956989247,18.6,18.8,18.8,15.0523107638889,30.5,0.268852459016394,169.947916666667,"unburned","medium","2020-06-18",40.9479166666679
"10",-0.348731343283582,-0.388582089552239,-0.267798507462687,"FRCH","storm2","06","18","abs",NA,NA,NA,NA,NA,"2020",642,"Q.norm",0.695409343449703,0.0736279208855623,0.95,0.549198884568642,0.841619802330763,9.44491349321892,93,3.05646793572958e-15,-0.348731343283582,8.2,11.0747956989247,18.6,18.8,18.8,NA,30.5,0.268852459016394,169.947916666667,"unburned","medium","2020-06-18",40.9479166666679
"11",-0.532781919833565,-0.563907333424729,-0.486906267007372,"FRCH","storm3a","06","20","NO3",-0.0746,-0.1625,-0.045,"06","20","2020",32,"Q.norm",-0.060393500598199,0.00427316537008165,0.95,-0.0688610630430364,-0.0519259381533615,-14.1331999508002,111,1.44200412494986e-26,-0.532781919833565,93.6000000000003,11.162418715847,26.6,26.8,26.8,14.5348725198413,365.5,0.25608755129959,171.239583333333,"unburned","medium","2020-06-20",42.2395833333321
