"","datetimeAK","site.ID","fDOM","SPC","Turb","NO3","ABS_254","Q"
"10407",2015-08-30 16:00:00,"FRCH",126.717944671219,58.5,37.49,NA,NA,3209.57046788361
"10408",2015-08-30 16:15:00,"FRCH",126.653157141027,58.6,28.5,NA,NA,NA
"10409",2015-08-30 16:30:00,"FRCH",126.181585100086,58.7,38.49,NA,NA,NA
"10410",2015-08-30 16:45:00,"FRCH",126.432152518801,58.8,33.93,NA,NA,NA
"10411",2015-08-30 17:00:00,"FRCH",127.261312122124,58.9,26.43,NA,NA,3262.31355365158
"10412",2015-08-30 17:15:00,"FRCH",130.046885452213,59,33.45,NA,NA,NA
"10413",2015-08-30 17:30:00,"FRCH",130.759022641441,59.1,35.51,NA,NA,NA
"10414",2015-08-30 17:45:00,"FRCH",130.771469896845,59.2,47.21,NA,NA,NA
"10415",2015-08-30 18:00:00,"FRCH",131.090551765605,59.2,104.87,NA,NA,3268.92159610362
"10416",2015-08-30 18:15:00,"FRCH",131.569186383096,59.3,42.97,NA,NA,NA
"10417",2015-08-30 18:30:00,"FRCH",131.963967147836,59.4,38.57,NA,NA,NA
"10418",2015-08-30 18:45:00,"FRCH",132.396623010181,59.5,37.4,NA,NA,NA
"10419",2015-08-30 19:00:00,"FRCH",129.541262862306,59.6,33.81,NA,NA,3244.08303926278
"10420",2015-08-30 19:15:00,"FRCH",130.117766610963,59.6,39.5,NA,NA,NA
"10421",2015-08-30 19:30:00,"FRCH",129.867623519016,59.6,49.19,NA,NA,NA
"10422",2015-08-30 19:45:00,"FRCH",130.312610658067,59.7,28.55,NA,NA,NA
"10423",2015-08-30 20:00:00,"FRCH",130.213216283042,59.7,50.29,NA,NA,3299.57144581293
"10424",2015-08-30 20:15:00,"FRCH",130.495280395187,59.7,33.71,NA,NA,NA
"10425",2015-08-30 20:30:00,"FRCH",129.836080739679,59.7,35.92,NA,NA,NA
"10426",2015-08-30 20:45:00,"FRCH",130.404827341314,59.6,30.88,NA,NA,NA
"10427",2015-08-30 21:00:00,"FRCH",131.273818200718,59.6,39.9,NA,NA,3269.10182727594
"10428",2015-08-30 21:15:00,"FRCH",131.270881598571,59.5,33.07,NA,NA,NA
"10429",2015-08-30 21:30:00,"FRCH",131.216623044134,59.5,42.19,NA,NA,NA
"10430",2015-08-30 21:45:00,"FRCH",132.263934375057,59.4,56.73,NA,NA,NA
"10431",2015-08-30 22:00:00,"FRCH",131.217177733825,59.4,37.06,NA,NA,3208.76584115649
"10432",2015-08-30 22:15:00,"FRCH",131.460516088426,59.4,35.17,NA,NA,NA
"10433",2015-08-30 22:30:00,"FRCH",131.32619043832,59.4,30.58,NA,NA,NA
"10434",2015-08-30 22:45:00,"FRCH",130.543691186476,59.3,32.98,NA,NA,NA
"10435",2015-08-30 23:00:00,"FRCH",130.781468039974,59.3,38.49,NA,NA,3227.10097460679
"10436",2015-08-30 23:15:00,"FRCH",130.895462779484,59.3,40.52,NA,NA,NA
"10437",2015-08-30 23:30:00,"FRCH",130.563088515363,59.3,37.89,NA,NA,NA
"10438",2015-08-30 23:45:00,"FRCH",130.828547884589,59.4,34.68,NA,NA,NA
"10439",2015-08-31 00:00:00,"FRCH",130.904986121915,59.4,31.25,NA,NA,3201.54319216664
"10440",2015-08-31 00:15:00,"FRCH",130.724625810253,59.4,40.37,NA,NA,NA
"10441",2015-08-31 00:30:00,"FRCH",131.440528713235,59.4,30.6,NA,NA,NA
"10442",2015-08-31 00:45:00,"FRCH",131.574217630894,59.3,38.29,NA,NA,NA
"10443",2015-08-31 01:00:00,"FRCH",132.062152261306,59.3,32.6,NA,NA,3188.82672141611
"10444",2015-08-31 01:15:00,"FRCH",132.656355970948,59.3,54.08,NA,NA,NA
"10445",2015-08-31 01:30:00,"FRCH",132.224554183057,59.4,35.07,NA,NA,NA
"10446",2015-08-31 01:45:00,"FRCH",132.927462870913,59.4,34.95,NA,NA,NA
"10447",2015-08-31 02:00:00,"FRCH",133.234143029898,59.5,46.25,NA,NA,3140.30377387261
"10448",2015-08-31 02:15:00,"FRCH",132.454362466707,59.6,33.52,NA,NA,NA
"10449",2015-08-31 02:30:00,"FRCH",132.229017746501,59.6,51.77,NA,NA,NA
"10450",2015-08-31 02:45:00,"FRCH",132.072538686172,59.7,36.14,NA,NA,NA
"10451",2015-08-31 03:00:00,"FRCH",132.087826859309,59.7,36.78,NA,NA,3134.17102593183
"10452",2015-08-31 03:15:00,"FRCH",132.237919517017,59.7,35.02,NA,NA,NA
"10453",2015-08-31 03:30:00,"FRCH",131.574738958606,59.8,32.09,NA,NA,NA
"10454",2015-08-31 03:45:00,"FRCH",131.285285769346,59.8,47.28,NA,NA,NA
"10455",2015-08-31 04:00:00,"FRCH",130.781779490514,59.8,34.92,NA,NA,3074.94172199106
"10456",2015-08-31 04:15:00,"FRCH",130.782264174695,59.9,32.92,NA,NA,NA
"10457",2015-08-31 04:30:00,"FRCH",131.330232769684,59.9,33.13,NA,NA,NA
"10458",2015-08-31 04:45:00,"FRCH",130.961865593812,60,32.85,NA,NA,NA
"10459",2015-08-31 05:00:00,"FRCH",130.626626230143,60,31.73,NA,NA,3073.04562011899
"10460",2015-08-31 05:15:00,"FRCH",130.742874111237,60,45.41,NA,NA,NA
"10461",2015-08-31 05:30:00,"FRCH",130.997875523562,60.1,37.68,NA,NA,NA
"10462",2015-08-31 05:45:00,"FRCH",131.36622139905,60.1,35.26,NA,NA,NA
"10463",2015-08-31 06:00:00,"FRCH",131.165598458916,60.1,38.68,NA,NA,2998.61141064206
"10464",2015-08-31 06:15:00,"FRCH",130.682314716488,60.2,40.87,NA,NA,NA
"10465",2015-08-31 06:30:00,"FRCH",130.422804385651,60.2,38.59,NA,NA,NA
"10466",2015-08-31 06:45:00,"FRCH",129.992104919082,60.3,35.64,NA,NA,NA
"10467",2015-08-31 07:00:00,"FRCH",129.845291083453,60.3,37.18,NA,NA,2929.63858078838
"10468",2015-08-31 07:15:00,"FRCH",129.816987343666,60.3,34.57,NA,NA,NA
"10469",2015-08-31 07:30:00,"FRCH",129.387915793412,60.3,35.37,NA,NA,NA
"10470",2015-08-31 07:45:00,"FRCH",129.49392413899,60.4,35.98,NA,NA,NA
"10471",2015-08-31 08:00:00,"FRCH",130.489941845201,60.4,41.51,NA,NA,2916.00086830675
"10472",2015-08-31 08:15:00,"FRCH",130.285318318818,60.4,34.29,NA,NA,NA
"10473",2015-08-31 08:30:00,"FRCH",130.230595551672,60.5,37.82,NA,NA,NA
"10474",2015-08-31 08:45:00,"FRCH",130.129169434029,60.5,70.46,NA,NA,NA
"10475",2015-08-31 09:00:00,"FRCH",130.02027936173,60.5,33.01,NA,NA,2854.42971424801
"10476",2015-08-31 09:15:00,"FRCH",130.121375070218,60.5,31.04,NA,NA,NA
"10477",2015-08-31 09:30:00,"FRCH",129.611611127581,60.6,38.11,NA,NA,NA
"10478",2015-08-31 09:45:00,"FRCH",128.036684539559,60.6,35.03,NA,NA,NA
"10479",2015-08-31 10:00:00,"FRCH",128.111704418428,60.6,38.81,NA,NA,2832.29243330601
"10480",2015-08-31 10:15:00,"FRCH",128.685911748105,60.6,31.91,NA,NA,NA
"10481",2015-08-31 10:30:00,"FRCH",128.340021413464,60.7,29.88,NA,NA,NA
"10482",2015-08-31 10:45:00,"FRCH",128.495360130597,60.7,35.5,21.6460696667825,0.627366666666667,NA
"10483",2015-08-31 11:00:00,"FRCH",128.300799250956,60.8,50.15,21.6398241549712,0.6251,2830.52034063085
"10484",2015-08-31 11:15:00,"FRCH",128.300956830212,60.8,34.08,21.677297225839,0.623966666666667,NA
"10485",2015-08-31 11:30:00,"FRCH",128.46394892356,60.8,39.51,21.6117193518203,0.6237,NA
"10486",2015-08-31 11:45:00,"FRCH",127.966194712326,60.8,36.05,21.7085247848955,0.622133333333333,NA
"10487",2015-08-31 12:00:00,"FRCH",127.382369040371,60.9,33.64,21.605473840009,0.623,2769.41552187094
"10488",2015-08-31 12:15:00,"FRCH",127.114622477864,60.9,33.44,21.5992283281977,0.622533333333333,NA
"10489",2015-08-31 12:30:00,"FRCH",126.57742808213,60.9,34.98,21.7491206116691,0.622233333333333,NA
"10490",2015-08-31 12:45:00,"FRCH",126.448448477444,61,32.01,21.7085247848955,0.620233333333333,NA
"10491",2015-08-31 13:00:00,"FRCH",126.149075813415,61,32.15,21.7085247848955,0.619533333333333,2715.93084979229
"10492",2015-08-31 13:15:00,"FRCH",126.063288431291,61,30.19,21.6991565171786,0.6184,NA
"10493",2015-08-31 13:30:00,"FRCH",126.007268407339,61.1,31.09,21.8365577770274,0.617766666666667,NA
