DateTime,inst_rainfall_mm,Site
2020-06-11T15:00:00Z,0.2,STRT
2020-06-13T16:15:00Z,1.4000000000000001,STRT
2020-06-13T16:30:00Z,4.4,STRT
2020-06-14T09:30:00Z,0.2,STRT
2020-06-14T09:45:00Z,0.6000000000000001,STRT
2020-06-14T10:00:00Z,0.8,STRT
2020-06-14T10:15:00Z,2,STRT
2020-06-14T10:30:00Z,1,STRT
2020-06-14T10:45:00Z,1.2000000000000002,STRT
2020-06-14T11:00:00Z,1.4000000000000001,STRT
2020-06-14T11:15:00Z,0.8,STRT
2020-06-14T11:30:00Z,0.2,STRT
2020-06-14T11:45:00Z,1.2000000000000002,STRT
2020-06-14T12:00:00Z,1,STRT
2020-06-14T12:15:00Z,1,STRT
2020-06-14T12:30:00Z,0.2,STRT
2020-06-15T17:30:00Z,0.2,STRT
2020-06-15T17:45:00Z,0.2,STRT
2020-06-15T18:30:00Z,0.2,STRT
2020-06-18T22:30:00Z,0.4,STRT
2020-06-18T22:45:00Z,0.2,STRT
2020-06-18T23:00:00Z,0.2,STRT
2020-06-18T23:15:00Z,0.2,STRT
2020-06-18T23:45:00Z,0.2,STRT
2020-06-19T04:45:00Z,0.2,STRT
2020-06-19T05:00:00Z,0.2,STRT
2020-06-19T05:45:00Z,0.2,STRT
2020-06-19T06:00:00Z,0.2,STRT
2020-06-19T06:15:00Z,0.2,STRT
2020-06-19T07:00:00Z,0.2,STRT
2020-06-19T08:45:00Z,0.2,STRT
2020-06-19T09:00:00Z,0.2,STRT
2020-06-19T09:30:00Z,0.2,STRT
2020-06-19T09:45:00Z,0.2,STRT
2020-06-19T10:00:00Z,0.2,STRT
2020-06-19T10:15:00Z,0.2,STRT
2020-06-19T10:45:00Z,0.2,STRT
2020-06-19T11:00:00Z,0.4,STRT
2020-06-19T11:15:00Z,0.4,STRT
2020-06-19T11:30:00Z,0.4,STRT
2020-06-19T11:45:00Z,0.2,STRT
2020-06-19T12:00:00Z,0.4,STRT
2020-06-19T12:15:00Z,0.2,STRT
2020-06-19T12:30:00Z,0.4,STRT
2020-06-19T12:45:00Z,0.2,STRT
2020-06-19T13:00:00Z,0.4,STRT
