"","Date","ppt_tot","ppt_cum"
"1",2022-04-01,0,0
"2",2022-04-02,0,0
"3",2022-04-03,0.762,0.762
"4",2022-04-04,0.127,0.889
"5",2022-04-05,0,0.889
"6",2022-04-06,0.127,1.016
"7",2022-04-07,0,1.016
"8",2022-04-08,0,1.016
"9",2022-04-09,0,1.016
"10",2022-04-10,1.016,2.032
"11",2022-04-11,0,2.032
"12",2022-04-12,0,2.032
"13",2022-04-13,0,2.032
"14",2022-04-14,0,2.032
"15",2022-04-15,0,2.032
"16",2022-04-16,0,2.032
"17",2022-04-17,0,2.032
"18",2022-04-18,0,2.032
"19",2022-04-19,0,2.032
"20",2022-04-20,0,2.032
"21",2022-04-21,0,2.032
"22",2022-04-22,0,2.032
"23",2022-04-23,0,2.032
"24",2022-04-24,0,2.032
"25",2022-04-25,0,2.032
"26",2022-04-26,0,2.032
"27",2022-04-27,0,2.032
"28",2022-04-28,0,2.032
"29",2022-04-29,0,2.032
"30",2022-04-30,0,2.032
"31",2022-05-01,0,2.032
"32",2022-05-02,0,2.032
"33",2022-05-03,0,2.032
"34",2022-05-04,0,2.032
"35",2022-05-05,0.508,2.54
"36",2022-05-06,1.397,3.937
"37",2022-05-07,2.286,6.223
"38",2022-05-08,1.27,7.493
"39",2022-05-09,10.541,18.034
"40",2022-05-10,2.159,20.193
"41",2022-05-11,0,20.193
"42",2022-05-12,12.446,32.639
"43",2022-05-13,8.509,41.148
"44",2022-05-14,0.127,41.275
"45",2022-05-15,0.508,41.783
"46",2022-05-16,1.143,42.926
"47",2022-05-17,0,42.926
"48",2022-05-18,0,42.926
"49",2022-05-19,0,42.926
"50",2022-05-20,0,42.926
"51",2022-05-21,0,42.926
"52",2022-05-22,0,42.926
"53",2022-05-23,0,42.926
"54",2022-05-24,0,42.926
"55",2022-05-25,0,42.926
"56",2022-05-26,0,42.926
"57",2022-05-27,0,42.926
"58",2022-05-28,0,42.926
"59",2022-05-29,0,42.926
"60",2022-05-30,0,42.926
"61",2022-05-31,0,42.926
"62",2022-06-01,0,42.926
"63",2022-06-02,0,42.926
"64",2022-06-03,0,42.926
"65",2022-06-04,0,42.926
"66",2022-06-05,0,42.926
"67",2022-06-06,0,42.926
"68",2022-06-07,0,42.926
"69",2022-06-08,0,42.926
"70",2022-06-09,0,42.926
"71",2022-06-10,0,42.926
"72",2022-06-11,0,42.926
"73",2022-06-12,0,42.926
"74",2022-06-13,0,42.926
"75",2022-06-14,0,42.926
"76",2022-06-15,2.032,44.958
"77",2022-06-16,1.143,46.101
"78",2022-06-17,0,46.101
"79",2022-06-18,2.286,48.387
"80",2022-06-19,3.302,51.689
"81",2022-06-20,0.127,51.816
"82",2022-06-21,3.175,54.991
"83",2022-06-22,0,54.991
"84",2022-06-23,0.381,55.372
"85",2022-06-24,0,55.372
"86",2022-06-25,0,55.372
"87",2022-06-26,0,55.372
"88",2022-06-27,0,55.372
"89",2022-06-28,0,55.372
"90",2022-06-29,0,55.372
"91",2022-06-30,0,55.372
"92",2022-07-01,0,55.372
"93",2022-07-02,0,55.372
"94",2022-07-03,1.27,56.642
"95",2022-07-04,0,56.642
"96",2022-07-05,0,56.642
"97",2022-07-06,0,56.642
"98",2022-07-07,0,56.642
"99",2022-07-08,0,56.642
"100",2022-07-09,4.191,60.833
"101",2022-07-10,3.429,64.262
"102",2022-07-11,2.286,66.548
"103",2022-07-12,0,66.548
"104",2022-07-13,1.27,67.818
"105",2022-07-14,0,67.818
"106",2022-07-15,8.509,76.327
"107",2022-07-16,4.064,80.391
"108",2022-07-17,1.778,82.169
"109",2022-07-18,2.54,84.709
"110",2022-07-19,7.366,92.075
"111",2022-07-20,0,92.075
"112",2022-07-21,0,92.075
"113",2022-07-22,0.508,92.583
"114",2022-07-23,0,92.583
"115",2022-07-24,0,92.583
"116",2022-07-25,0,92.583
"117",2022-07-26,4.826,97.409
"118",2022-07-27,0.381,97.79
"119",2022-07-28,0.254,98.044
"120",2022-07-29,0,98.044
"121",2022-07-30,1.143,99.187
"122",2022-07-31,1.778,100.965
"123",2022-08-01,5.08,106.045
"124",2022-08-02,2.159,108.204
"125",2022-08-03,0.381,108.585
"126",2022-08-04,0.762,109.347
"127",2022-08-05,6.858,116.205
"128",2022-08-06,9.017,125.222
"129",2022-08-07,1.016,126.238
"130",2022-08-08,11.684,137.922
"131",2022-08-09,3.048,140.97
"132",2022-08-10,0,140.97
"133",2022-08-11,0,140.97
"134",2022-08-12,0,140.97
"135",2022-08-13,0,140.97
"136",2022-08-14,0,140.97
"137",2022-08-15,6.351,147.321
"138",2022-08-16,0,147.321
"139",2022-08-17,0.508,147.829
"140",2022-08-18,1.27,149.099
"141",2022-08-19,5.969,155.068
"142",2022-08-20,0,155.068
"143",2022-08-21,0,155.068
"144",2022-08-22,0.254,155.322
"145",2022-08-23,0,155.322
"146",2022-08-24,0,155.322
"147",2022-08-25,0.381,155.703
"148",2022-08-26,0,155.703
"149",2022-08-27,4.064,159.767
"150",2022-08-28,2.667,162.434
"151",2022-08-29,2.286,164.72
"152",2022-08-30,0,164.72
"153",2022-08-31,0,164.72
"154",2022-09-01,1.27,165.99
"155",2022-09-02,0.381,166.371
"156",2022-09-03,1.27,167.641
"157",2022-09-04,7.112,174.753
"158",2022-09-05,0,174.753
"159",2022-09-06,1.016,175.769
"160",2022-09-07,0,175.769
"161",2022-09-08,0.381,176.15
"162",2022-09-09,8.255,184.405
"163",2022-09-10,4.572,188.977
"164",2022-09-11,0,188.977
"165",2022-09-12,0,188.977
"166",2022-09-13,0.254,189.231
"167",2022-09-14,12.192,201.423
"168",2022-09-15,0.635,202.058
"169",2022-09-16,0.508,202.566
"170",2022-09-17,0.762,203.328
"171",2022-09-18,1.016,204.344
"172",2022-09-19,3.048,207.392
"173",2022-09-20,2.159,209.551
"174",2022-09-21,0,209.551
"175",2022-09-22,1.651,211.202
"176",2022-09-23,0,211.202
"177",2022-09-24,0,211.202
"178",2022-09-25,0,211.202
"179",2022-09-26,0.254,211.456
"180",2022-09-27,2.286,213.742
"181",2022-09-28,0,213.742
"182",2022-09-29,0,213.742
"183",2022-09-30,0,213.742
"184",2022-10-01,0.889,214.631
"185",2022-10-02,2.667,217.298
"186",2022-10-03,1.27,218.568
"187",2022-10-04,0,218.568
"188",2022-10-05,0,218.568
"189",2022-10-06,0,218.568
"190",2022-10-07,3.683,222.251
"191",2022-10-08,1.524,223.775
"192",2022-10-09,2.54,226.315
"193",2022-10-10,1.143,227.458
"194",2022-10-11,0,227.458
"195",2022-10-12,0,227.458
"196",2022-10-13,0,227.458
"197",2022-10-14,0.508,227.966
"198",2022-10-15,0,227.966
"199",2022-10-16,4.191,232.157
"200",2022-10-17,0,232.157
"201",2022-10-18,0.127,232.284
"202",2022-10-19,0,232.284
"203",2022-10-20,0.889,233.173
"204",2022-10-21,0.889,234.062
"205",2022-10-22,0.127,234.189
"206",2022-10-23,0,234.189
"207",2022-10-24,0,234.189
"208",2022-10-25,0,234.189
"209",2022-10-26,0,234.189
"210",2022-10-27,0,234.189
"211",2022-10-28,0,234.189
"212",2022-10-29,0,234.189
"213",2022-10-30,0,234.189
"214",2022-10-31,0,234.189
"215",2022-11-01,0,234.189
"216",2022-11-02,0,234.189
"217",2022-11-03,0,234.189
"218",2022-11-04,0,234.189
"219",2022-11-05,0,234.189
"220",2022-11-06,0,234.189
"221",2022-11-07,0,234.189
"222",NA,7.239,241.428
