"inst_rainfall_mm","Datetime","Site"
0.2,2019-07-12 05:37:00,"FRCH"
0.2,2019-07-12 06:22:00,"FRCH"
0.2,2019-07-12 06:37:00,"FRCH"
0.2,2019-07-12 07:22:00,"FRCH"
0.2,2019-07-12 07:37:00,"FRCH"
1.4,2019-07-12 08:52:00,"FRCH"
1.4,2019-07-12 09:07:00,"FRCH"
0.2,2019-07-12 09:22:00,"FRCH"
0.2,2019-07-12 12:07:00,"FRCH"
0.2,2019-07-12 18:52:00,"FRCH"
1,2019-07-12 19:07:00,"FRCH"
2.8,2019-07-12 19:22:00,"FRCH"
0.2,2019-07-12 19:37:00,"FRCH"
0.2,2019-07-12 20:52:00,"FRCH"
0.2,2019-07-12 21:22:00,"FRCH"
0.2,2019-07-12 21:37:00,"FRCH"
0.2,2019-07-12 22:07:00,"FRCH"
0.2,2019-07-15 22:22:00,"FRCH"
0.2,2019-07-15 22:52:00,"FRCH"
0.2,2019-07-15 23:07:00,"FRCH"
0.2,2019-07-16 00:22:00,"FRCH"
0.2,2019-07-16 00:37:00,"FRCH"
0.2,2019-07-16 02:22:00,"FRCH"
0.2,2019-07-16 02:37:00,"FRCH"
0.2,2019-07-16 02:52:00,"FRCH"
0.4,2019-07-16 03:07:00,"FRCH"
0.4,2019-07-16 03:22:00,"FRCH"
0.6,2019-07-16 03:37:00,"FRCH"
0.8,2019-07-16 03:52:00,"FRCH"
0.2,2019-07-16 04:07:00,"FRCH"
0.2,2019-07-16 04:22:00,"FRCH"
0.2,2019-07-16 04:52:00,"FRCH"
0.2,2019-07-16 05:07:00,"FRCH"
0.2,2019-07-18 19:07:00,"FRCH"
0.2,2019-07-18 19:22:00,"FRCH"
0.2,2019-07-18 20:07:00,"FRCH"
0.2,2019-07-24 21:37:00,"FRCH"
0.2,2019-07-25 18:37:00,"FRCH"
0.2,2019-07-25 18:52:00,"FRCH"
0.6,2019-07-25 19:22:00,"FRCH"
1.4,2019-07-25 19:37:00,"FRCH"
1,2019-07-25 19:52:00,"FRCH"
1.2,2019-07-25 20:07:00,"FRCH"
1,2019-07-25 20:22:00,"FRCH"
0.6,2019-07-25 20:37:00,"FRCH"
0.6,2019-07-25 20:52:00,"FRCH"
0.4,2019-07-25 21:07:00,"FRCH"
0.4,2019-07-25 21:22:00,"FRCH"
0.2,2019-07-25 21:37:00,"FRCH"
0.2,2019-07-25 21:52:00,"FRCH"
0.2,2019-07-25 22:52:00,"FRCH"
0.2,2019-07-25 23:37:00,"FRCH"
0.6,2019-07-25 23:52:00,"FRCH"
0.8,2019-07-26 00:07:00,"FRCH"
0.6,2019-07-26 00:22:00,"FRCH"
0.4,2019-07-26 00:37:00,"FRCH"
0.4,2019-07-26 00:52:00,"FRCH"
0.6,2019-07-26 01:07:00,"FRCH"
1,2019-07-26 01:22:00,"FRCH"
0.2,2019-07-26 01:37:00,"FRCH"
0.2,2019-07-26 05:07:00,"FRCH"
0.2,2019-07-26 05:37:00,"FRCH"
0.2,2019-07-26 06:52:00,"FRCH"
0.6,2019-07-27 07:22:00,"FRCH"
0.4,2019-07-27 07:37:00,"FRCH"
0.2,2019-07-27 07:52:00,"FRCH"
3.4,2019-07-28 03:07:00,"FRCH"
1,2019-07-28 03:22:00,"FRCH"
3.4,2019-07-28 04:22:00,"FRCH"
0.4,2019-07-28 04:52:00,"FRCH"
0.6,2019-07-28 05:07:00,"FRCH"
0.2,2019-07-28 05:22:00,"FRCH"
0.2,2019-07-28 05:37:00,"FRCH"
0.2,2019-07-28 05:52:00,"FRCH"
0.2,2019-07-28 06:52:00,"FRCH"
0.2,2019-07-29 02:37:00,"FRCH"
0.2,2019-07-29 03:07:00,"FRCH"
0.2,2019-07-29 03:22:00,"FRCH"
2.4,2019-07-29 09:37:00,"FRCH"
3.4,2019-07-29 09:52:00,"FRCH"
0.2,2019-07-29 22:37:00,"FRCH"
0.4,2019-07-29 22:52:00,"FRCH"
0.6,2019-07-29 23:07:00,"FRCH"
1.2,2019-07-29 23:22:00,"FRCH"
1.4,2019-07-29 23:37:00,"FRCH"
0.8,2019-07-29 23:52:00,"FRCH"
0.4,2019-07-30 00:22:00,"FRCH"
0.2,2019-07-30 00:37:00,"FRCH"
0.2,2019-07-30 00:52:00,"FRCH"
0.2,2019-07-30 01:07:00,"FRCH"
0.2,2019-07-31 16:37:00,"FRCH"
0.2,2019-07-31 17:22:00,"FRCH"
0.2,2019-07-31 17:37:00,"FRCH"
0.4,2019-07-31 17:52:00,"FRCH"
0.2,2019-07-31 18:07:00,"FRCH"
0.2,2019-07-31 18:22:00,"FRCH"
0.2,2019-07-31 18:37:00,"FRCH"
0.4,2019-07-31 19:07:00,"FRCH"
0.2,2019-07-31 19:22:00,"FRCH"
0.2,2019-07-31 19:37:00,"FRCH"
0.2,2019-07-31 19:52:00,"FRCH"
0.2,2019-07-31 20:52:00,"FRCH"
0.4,2019-07-31 21:22:00,"FRCH"
0.2,2019-07-31 21:37:00,"FRCH"
0.4,2019-07-31 21:52:00,"FRCH"
0.2,2019-07-31 22:07:00,"FRCH"
0.4,2019-07-31 22:22:00,"FRCH"
0.4,2019-07-31 22:52:00,"FRCH"
0.6,2019-07-31 23:07:00,"FRCH"
0.8,2019-07-31 23:22:00,"FRCH"
0.2,2019-07-31 23:52:00,"FRCH"
0.2,2019-08-01 00:22:00,"FRCH"
0.2,2019-08-01 01:37:00,"FRCH"
0.2,2019-08-01 02:07:00,"FRCH"
0.2,2019-08-01 02:37:00,"FRCH"
0.6,2019-08-01 02:52:00,"FRCH"
0.2,2019-08-01 03:07:00,"FRCH"
0.4,2019-08-01 04:22:00,"FRCH"
0.6,2019-08-01 04:37:00,"FRCH"
0.2,2019-08-01 04:52:00,"FRCH"
1,2019-08-01 05:37:00,"FRCH"
