"","Site","Date","precip_mm_mean","ppt_tot","ppt_cum"
"1","C2 (5% permafrost)",2017-06-06,0,0,0
"2","C2 (5% permafrost)",2017-06-07,0,0,0
"3","C2 (5% permafrost)",2017-06-08,0,0,0
"4","C2 (5% permafrost)",2017-06-09,0,0,0
"5","C2 (5% permafrost)",2017-06-10,0.0251354166666667,0.0251354166666667,0.0251354166666667
"6","C2 (5% permafrost)",2017-06-11,0.133614583333333,0.133614583333333,0.15875
"7","C2 (5% permafrost)",2017-06-12,0.280458333333333,0.280458333333333,0.439208333333333
"8","C2 (5% permafrost)",2017-06-13,0,0,0.439208333333333
"9","C2 (5% permafrost)",2017-06-14,0,0,0.439208333333333
"10","C2 (5% permafrost)",2017-06-15,0,0,0.439208333333333
"11","C2 (5% permafrost)",2017-06-16,0.264583333333333,0.264583333333333,0.703791666666666
"12","C2 (5% permafrost)",2017-06-17,0.28575,0.28575,0.989541666666666
"13","C2 (5% permafrost)",2017-06-18,0.037703125,0.037703125,1.02724479166667
"14","C2 (5% permafrost)",2017-06-19,0.025796875,0.025796875,1.05304166666667
"15","C2 (5% permafrost)",2017-06-20,0.0370416666666667,0.0370416666666667,1.09008333333333
"16","C2 (5% permafrost)",2017-06-21,0,0,1.09008333333333
"17","C2 (5% permafrost)",2017-06-22,0,0,1.09008333333333
"18","C2 (5% permafrost)",2017-06-23,0.137583333333333,0.137583333333333,1.22766666666667
"19","C2 (5% permafrost)",2017-06-24,0,0,1.22766666666667
"20","C2 (5% permafrost)",2017-06-25,0.0846666666666667,0.0846666666666667,1.31233333333333
"21","C2 (5% permafrost)",2017-06-26,0,0,1.31233333333333
"22","C2 (5% permafrost)",2017-06-27,0.148166666666667,0.148166666666667,1.4605
"23","C2 (5% permafrost)",2017-06-28,0.00529166666666667,0.00529166666666667,1.46579166666667
"24","C2 (5% permafrost)",2017-06-29,0,0,1.46579166666667
"25","C2 (5% permafrost)",2017-06-30,0,0,1.46579166666667
"26","C2 (5% permafrost)",2017-07-01,0,0,1.46579166666667
"27","C2 (5% permafrost)",2017-07-02,0.4445,0.4445,1.91029166666667
"28","C2 (5% permafrost)",2017-07-03,0.09525,0.09525,2.00554166666667
"29","C2 (5% permafrost)",2017-07-04,0.0529166666666667,0.0529166666666667,2.05845833333333
"30","C2 (5% permafrost)",2017-07-05,0,0,2.05845833333333
"31","C2 (5% permafrost)",2017-07-06,0,0,2.05845833333333
"32","C2 (5% permafrost)",2017-07-07,0.534375,0.534375,2.59283333333333
"33","C2 (5% permafrost)",2017-07-08,0.001984375,0.001984375,2.59481770833333
"34","C2 (5% permafrost)",2017-07-09,0.156765625,0.156765625,2.75158333333333
"35","C2 (5% permafrost)",2017-07-10,0.629708333333333,0.629708333333333,3.38129166666667
"36","C2 (5% permafrost)",2017-07-11,0.0582083333333333,0.0582083333333333,3.4395
"37","C2 (5% permafrost)",2017-07-12,0,0,3.4395
"38","C2 (5% permafrost)",2017-07-13,0,0,3.4395
"39","C2 (5% permafrost)",2017-07-14,0,0,3.4395
"40","C2 (5% permafrost)",2017-07-15,0,0,3.4395
"41","C2 (5% permafrost)",2017-07-16,0.264583333333333,0.264583333333333,3.70408333333333
"42","C2 (5% permafrost)",2017-07-17,0.111125,0.111125,3.81520833333333
"43","C2 (5% permafrost)",2017-07-18,0,0,3.81520833333333
"44","C2 (5% permafrost)",2017-07-19,0,0,3.81520833333333
"45","C2 (5% permafrost)",2017-07-20,0.181901041666667,0.181901041666667,3.997109375
"46","C2 (5% permafrost)",2017-07-21,0.0244739583333333,0.0244739583333333,4.02158333333333
"47","C2 (5% permafrost)",2017-07-22,0,0,4.02158333333333
"48","C2 (5% permafrost)",2017-07-23,0.0105833333333333,0.0105833333333333,4.03216666666666
"49","C2 (5% permafrost)",2017-07-24,0.132291666666667,0.132291666666667,4.16445833333333
"50","C2 (5% permafrost)",2017-07-25,0,0,4.16445833333333
"51","C2 (5% permafrost)",2017-07-26,0.349333333333333,0.349333333333333,4.51379166666666
"52","C2 (5% permafrost)",2017-07-27,0.03175,0.03175,4.54554166666666
"53","C2 (5% permafrost)",2017-07-28,0.211666666666667,0.211666666666667,4.75720833333333
"54","C2 (5% permafrost)",2017-07-29,0.100541666666667,0.100541666666667,4.85775
"55","C2 (5% permafrost)",2017-07-30,0,0,4.85775
"56","C2 (5% permafrost)",2017-07-31,0,0,4.85775
"57","C2 (5% permafrost)",2017-08-01,0.0264583333333333,0.0264583333333333,4.88420833333333
"58","C2 (5% permafrost)",2017-08-02,0.0740833333333333,0.0740833333333333,4.95829166666666
"59","C2 (5% permafrost)",2017-08-03,0.0370416666666667,0.0370416666666667,4.99533333333333
"60","C2 (5% permafrost)",2017-08-04,0.201083333333333,0.201083333333333,5.19641666666667
"61","C2 (5% permafrost)",2017-08-05,0,0,5.19641666666667
"62","C2 (5% permafrost)",2017-08-06,0,0,5.19641666666667
"63","C2 (5% permafrost)",2017-08-07,0,0,5.19641666666667
"64","C2 (5% permafrost)",2017-08-08,0.00529166666666667,0.00529166666666667,5.20170833333333
"65","C2 (5% permafrost)",2017-08-09,0,0,5.20170833333333
"66","C2 (5% permafrost)",2017-08-10,0,0,5.20170833333333
"67","C2 (5% permafrost)",2017-08-11,0,0,5.20170833333333
"68","C2 (5% permafrost)",2017-08-12,0.0846666666666667,0.0846666666666667,5.286375
"69","C2 (5% permafrost)",2017-08-13,0.312208333333333,0.312208333333333,5.59858333333333
"70","C2 (5% permafrost)",2017-08-14,0.502708333333333,0.502708333333333,6.10129166666666
"71","C2 (5% permafrost)",2017-08-15,0.139567708333333,0.139567708333333,6.240859375
"72","C2 (5% permafrost)",2017-08-16,0.0562239583333333,0.0562239583333333,6.29708333333333
"73","C2 (5% permafrost)",2017-08-17,0.269875,0.269875,6.56695833333333
"74","C2 (5% permafrost)",2017-08-18,0.0601927083333333,0.0601927083333333,6.62715104166666
"75","C2 (5% permafrost)",2017-08-19,0.225557291666667,0.225557291666667,6.85270833333333
"76","C2 (5% permafrost)",2017-08-20,0.100541666666667,0.100541666666667,6.95325
"77","C2 (5% permafrost)",2017-08-21,0.142875,0.142875,7.096125
"78","C2 (5% permafrost)",2017-08-22,0,0,7.096125
"79","C3 (57% permafrost)",2017-06-06,0,0,0
"80","C3 (57% permafrost)",2017-06-07,0,0,0
"81","C3 (57% permafrost)",2017-06-08,0,0,0
"82","C3 (57% permafrost)",2017-06-09,0,0,0
"83","C3 (57% permafrost)",2017-06-10,0.0251354166666667,0.0251354166666667,0.0251354166666667
"84","C3 (57% permafrost)",2017-06-11,0.133614583333333,0.133614583333333,0.15875
"85","C3 (57% permafrost)",2017-06-12,0.280458333333333,0.280458333333333,0.439208333333333
"86","C3 (57% permafrost)",2017-06-13,0,0,0.439208333333333
"87","C3 (57% permafrost)",2017-06-14,0,0,0.439208333333333
"88","C3 (57% permafrost)",2017-06-15,0,0,0.439208333333333
"89","C3 (57% permafrost)",2017-06-16,0.264583333333333,0.264583333333333,0.703791666666666
"90","C3 (57% permafrost)",2017-06-17,0.28575,0.28575,0.989541666666666
"91","C3 (57% permafrost)",2017-06-18,0.037703125,0.037703125,1.02724479166667
"92","C3 (57% permafrost)",2017-06-19,0.025796875,0.025796875,1.05304166666667
"93","C3 (57% permafrost)",2017-06-20,0.0370416666666667,0.0370416666666667,1.09008333333333
"94","C3 (57% permafrost)",2017-06-21,0,0,1.09008333333333
