"","Date","ppt_tot","ppt_cum"
"1",2018-05-01,3.302,3.302
"2",2018-05-02,0,3.302
"3",2018-05-03,0,3.302
"4",2018-05-04,0,3.302
"5",2018-05-05,0,3.302
"6",2018-05-06,0,3.302
"7",2018-05-07,0,3.302
"8",2018-05-08,0,3.302
"9",2018-05-09,0,3.302
"10",2018-05-10,0,3.302
"11",2018-05-11,0,3.302
"12",2018-05-12,0,3.302
"13",2018-05-13,0,3.302
"14",2018-05-14,0,3.302
"15",2018-05-15,0.254,3.556
"16",2018-05-16,0,3.556
"17",2018-05-17,0,3.556
"18",2018-05-18,0.508,4.064
"19",2018-05-19,0.254,4.318
"20",2018-05-20,0.254,4.572
"21",2018-05-21,8.636,13.208
"22",2018-05-22,0,13.208
"23",2018-05-23,3.81,17.018
"24",2018-05-24,5.588,22.606
"25",2018-05-25,0,22.606
"26",2018-05-26,0.508,23.114
"27",2018-05-27,0,23.114
"28",2018-05-28,0,23.114
"29",2018-05-29,2.54,25.654
"30",2018-05-30,0,25.654
"31",2018-05-31,1.524,27.178
"32",2018-06-01,2.794,29.972
"33",2018-06-02,0,29.972
"34",2018-06-03,0,29.972
"35",2018-06-04,1.524,31.496
"36",2018-06-05,2.032,33.528
"37",2018-06-06,0,33.528
"38",2018-06-07,0,33.528
"39",2018-06-08,0,33.528
"40",2018-06-09,0.762,34.29
"41",2018-06-10,5.842,40.132
"42",2018-06-11,0.254,40.386
"43",2018-06-12,0,40.386
"44",2018-06-13,0,40.386
"45",2018-06-14,0,40.386
"46",2018-06-15,0.508,40.894
"47",2018-06-16,0.508,41.402
"48",2018-06-17,0.762,42.164
"49",2018-06-18,0,42.164
"50",2018-06-19,1.27,43.434
"51",2018-06-20,0,43.434
"52",2018-06-21,0.254,43.688
"53",2018-06-22,6.096,49.784
"54",2018-06-23,0,49.784
"55",2018-06-24,0,49.784
"56",2018-06-25,0,49.784
"57",2018-06-26,0.254,50.038
"58",2018-06-27,0.762,50.8
"59",2018-06-28,0.254,51.054
"60",2018-06-29,3.302,54.356
"61",2018-06-30,3.048,57.404
"62",2018-07-01,12.7,70.104
"63",2018-07-02,0,70.104
"64",2018-07-03,0,70.104
"65",2018-07-04,0,70.104
"66",2018-07-05,3.556,73.66
"67",2018-07-06,0,73.66
"68",2018-07-07,0,73.66
"69",2018-07-08,0,73.66
"70",2018-07-09,0,73.66
"71",2018-07-10,0,73.66
"72",2018-07-11,18.288,91.948
"73",2018-07-12,0.254,92.202
"74",2018-07-13,0,92.202
"75",2018-07-14,0,92.202
"76",2018-07-15,1.016,93.218
"77",2018-07-16,1.27,94.488
"78",2018-07-17,4.572,99.06
"79",2018-07-18,0,99.06
"80",2018-07-19,0.254,99.314
"81",2018-07-20,0,99.314
"82",2018-07-21,0,99.314
"83",2018-07-22,0,99.314
"84",2018-07-23,0,99.314
"85",2018-07-24,0,99.314
"86",2018-07-25,0,99.314
"87",2018-07-26,0,99.314
"88",2018-07-27,5.334,104.648
"89",2018-07-28,0,104.648
"90",2018-07-29,0,104.648
"91",2018-07-30,0,104.648
"92",2018-07-31,0,104.648
"93",2018-08-01,0,104.648
"94",2018-08-02,0,104.648
"95",2018-08-03,0.254,104.902
"96",2018-08-04,12.446,117.348
"97",2018-08-05,20.574,137.922
"98",2018-08-06,8.128,146.05
"99",2018-08-07,0,146.05
"100",2018-08-08,0,146.05
"101",2018-08-09,0,146.05
"102",2018-08-10,0,146.05
"103",2018-08-11,0,146.05
"104",2018-08-12,0,146.05
"105",2018-08-13,8.382,154.432
"106",2018-08-14,23.114,177.546
"107",2018-08-15,3.048,180.594
"108",2018-08-16,0,180.594
"109",2018-08-17,1.27,181.864
"110",2018-08-18,0,181.864
"111",2018-08-19,0,181.864
"112",2018-08-20,0,181.864
"113",2018-08-21,2.286,184.15
"114",2018-08-22,0,184.15
"115",2018-08-23,1.524,185.674
"116",2018-08-24,6.604,192.278
"117",2018-08-25,0.254,192.532
"118",2018-08-26,5.588,198.12
"119",2018-08-27,3.81,201.93
"120",2018-08-28,2.286,204.216
"121",2018-08-29,0.254,204.47
"122",2018-08-30,19.05,223.52
"123",2018-08-31,0.508,224.028
"124",2018-09-01,1.524,225.552
"125",2018-09-02,5.588,231.14
"126",2018-09-03,0,231.14
"127",2018-09-04,1.27,232.41
"128",2018-09-05,0,232.41
"129",2018-09-06,1.778,234.188
"130",2018-09-07,0,234.188
"131",2018-09-08,0,234.188
"132",2018-09-09,0,234.188
"133",2018-09-10,0,234.188
"134",2018-09-11,0,234.188
"135",2018-09-12,0,234.188
"136",2018-09-13,0,234.188
"137",2018-09-14,0,234.188
"138",2018-09-15,0,234.188
"139",2018-09-16,0,234.188
"140",2018-09-17,0,234.188
"141",2018-09-18,0.254,234.442
"142",2018-09-19,3.302,237.744
"143",2018-09-20,2.286,240.03
"144",2018-09-21,9.652,249.682
"145",2018-09-22,9.144,258.826
"146",2018-09-23,10.922,269.748
"147",2018-09-24,2.032,271.78
"148",2018-09-25,4.318,276.098
"149",2018-09-26,0,276.098
"150",2018-09-27,0,276.098
"151",2018-09-28,0.254,276.352
"152",2018-09-29,0,276.352
"153",2018-09-30,0,276.352
"154",2018-10-01,0,276.352
"155",2018-10-02,0,276.352
"156",2018-10-03,0,276.352
"157",2018-10-04,0,276.352
"158",2018-10-05,0,276.352
"159",2018-10-06,0,276.352
"160",2018-10-07,0,276.352
"161",2018-10-08,0,276.352
"162",2018-10-09,0,276.352
"163",2018-10-10,0,276.352
"164",2018-10-11,3.302,279.654
"165",2018-10-12,0.254,279.908
"166",2018-10-13,1.524,281.432
"167",2018-10-14,0.254,281.686
"168",2018-10-15,2.54,284.226
"169",2018-10-16,5.08,289.306
"170",2018-10-17,0,289.306
"171",2018-10-18,0.254,289.56
"172",2018-10-19,0.508,290.068
"173",2018-10-20,3.048,293.116
"174",2018-10-21,0.254,293.37
"175",2018-10-22,0,293.37
"176",2018-10-23,0.762,294.132
"177",2018-10-24,0,294.132
"178",2018-10-25,0,294.132
"179",2018-10-26,0,294.132
"180",2018-10-27,0,294.132
"181",2018-10-28,0,294.132
"182",2018-10-29,0,294.132
"183",2018-10-30,0,294.132
"184",2018-10-31,0,294.132
