"inst_rainfall_mm","DateTime","Site"
0.4,2019-05-31 06:30:00,"VAUL"
0.2,2019-05-31 06:45:00,"VAUL"
0.8,2019-05-31 07:00:00,"VAUL"
0.4,2019-05-31 07:15:00,"VAUL"
0.4,2019-05-31 07:30:00,"VAUL"
0.4,2019-05-31 09:45:00,"VAUL"
0.4,2019-05-31 10:00:00,"VAUL"
0.2,2019-05-31 10:30:00,"VAUL"
0.2,2019-05-31 13:15:00,"VAUL"
0.2,2019-05-31 13:45:00,"VAUL"
0.2,2019-05-31 15:30:00,"VAUL"
0.2,2019-05-31 15:45:00,"VAUL"
0.2,2019-05-31 18:15:00,"VAUL"
0.2,2019-05-31 18:30:00,"VAUL"
0.2,2019-05-31 19:15:00,"VAUL"
0.2,2019-05-31 20:30:00,"VAUL"
0.2,2019-05-31 22:15:00,"VAUL"
0.4,2019-06-06 10:45:00,"VAUL"
0.2,2019-06-06 11:15:00,"VAUL"
0.8,2019-06-07 04:30:00,"VAUL"
1.2,2019-06-07 04:45:00,"VAUL"
0.2,2019-06-07 05:00:00,"VAUL"
1.2,2019-06-07 05:15:00,"VAUL"
0.8,2019-06-07 05:30:00,"VAUL"
0.2,2019-06-07 05:45:00,"VAUL"
0.2,2019-06-07 06:15:00,"VAUL"
0.4,2019-06-07 06:30:00,"VAUL"
0.4,2019-06-09 07:30:00,"VAUL"
0.2,2019-06-09 07:45:00,"VAUL"
0.2,2019-06-10 10:45:00,"VAUL"
0.8,2019-06-14 06:45:00,"VAUL"
0.2,2019-06-17 07:00:00,"VAUL"
1.6,2019-06-19 06:15:00,"VAUL"
0.2,2019-06-19 06:30:00,"VAUL"
1.2,2019-06-19 06:45:00,"VAUL"
0.4,2019-06-19 07:00:00,"VAUL"
0.2,2019-06-22 17:15:00,"VAUL"
0.4,2019-06-22 17:30:00,"VAUL"
0.6,2019-06-22 17:45:00,"VAUL"
1.4,2019-06-22 18:00:00,"VAUL"
0.6,2019-06-22 18:15:00,"VAUL"
0.4,2019-06-22 18:30:00,"VAUL"
0.2,2019-06-22 18:45:00,"VAUL"
0.4,2019-06-22 19:15:00,"VAUL"
0.2,2019-06-22 19:45:00,"VAUL"
0.2,2019-06-22 21:30:00,"VAUL"
0.2,2019-06-23 08:15:00,"VAUL"
0.2,2019-06-23 16:45:00,"VAUL"
0.2,2019-06-23 17:00:00,"VAUL"
0.2,2019-06-23 17:30:00,"VAUL"
0.2,2019-06-23 18:15:00,"VAUL"
0.6,2019-06-23 18:30:00,"VAUL"
0.6,2019-06-23 18:45:00,"VAUL"
0.2,2019-06-29 21:00:00,"VAUL"
0.2,2019-06-30 00:30:00,"VAUL"
0.2,2019-06-30 05:45:00,"VAUL"
0.2,2019-06-30 06:00:00,"VAUL"
0.2,2019-06-30 08:15:00,"VAUL"
0.6,2019-06-30 08:30:00,"VAUL"
0.8,2019-06-30 09:45:00,"VAUL"
0.2,2019-06-30 11:15:00,"VAUL"
0.6,2019-06-30 11:30:00,"VAUL"
0.4,2019-06-30 11:45:00,"VAUL"
0.2,2019-06-30 12:15:00,"VAUL"
0.2,2019-06-30 13:15:00,"VAUL"
0.2,2019-06-30 15:15:00,"VAUL"
0.6,2019-07-11 19:45:00,"VAUL"
0.2,2019-07-11 20:00:00,"VAUL"
0.4,2019-07-11 20:45:00,"VAUL"
0.2,2019-07-11 21:00:00,"VAUL"
0.2,2019-07-11 23:30:00,"VAUL"
0.2,2019-07-12 02:00:00,"VAUL"
0.2,2019-07-12 02:30:00,"VAUL"
0.4,2019-07-12 03:00:00,"VAUL"
0.2,2019-07-12 04:45:00,"VAUL"
0.2,2019-07-12 05:00:00,"VAUL"
0.2,2019-07-12 05:30:00,"VAUL"
0.2,2019-07-12 05:45:00,"VAUL"
0.2,2019-07-12 06:00:00,"VAUL"
0.2,2019-07-12 06:15:00,"VAUL"
0.2,2019-07-12 06:30:00,"VAUL"
0.2,2019-07-12 06:45:00,"VAUL"
0.2,2019-07-12 07:30:00,"VAUL"
3.2,2019-07-13 08:30:00,"VAUL"
2,2019-07-13 08:45:00,"VAUL"
1.2,2019-07-13 09:00:00,"VAUL"
