"","Date","Site","ppt_tot"
"1",2015-05-01,"Poker (25% permafrost)",0
"2",2015-05-02,"Poker (25% permafrost)",0
"3",2015-05-03,"Poker (25% permafrost)",0
"4",2015-05-04,"Poker (25% permafrost)",0
"5",2015-05-05,"Poker (25% permafrost)",0
"6",2015-05-06,"Poker (25% permafrost)",0
"7",2015-05-07,"Poker (25% permafrost)",0
"8",2015-05-08,"Poker (25% permafrost)",0
"9",2015-05-09,"Poker (25% permafrost)",5.461
"10",2015-05-10,"Poker (25% permafrost)",0.127
"11",2015-05-11,"Poker (25% permafrost)",0
"12",2015-05-12,"Poker (25% permafrost)",0
"13",2015-05-13,"French (33% permafrost)",0
"14",2015-05-13,"Poker (25% permafrost)",0
"15",2015-05-14,"French (33% permafrost)",0
"16",2015-05-14,"Moose (38% permafrost)",3.048
"17",2015-05-14,"Poker (25% permafrost)",0
"18",2015-05-15,"French (33% permafrost)",0
"19",2015-05-15,"Moose (38% permafrost)",0
"20",2015-05-15,"Poker (25% permafrost)",0
"21",2015-05-16,"French (33% permafrost)",0
"22",2015-05-16,"Moose (38% permafrost)",0
"23",2015-05-16,"Poker (25% permafrost)",0
"24",2015-05-17,"French (33% permafrost)",0
"25",2015-05-17,"Moose (38% permafrost)",0
"26",2015-05-17,"Poker (25% permafrost)",0
"27",2015-05-18,"French (33% permafrost)",0
"28",2015-05-18,"Moose (38% permafrost)",0
"29",2015-05-18,"Poker (25% permafrost)",0
"30",2015-05-19,"French (33% permafrost)",0
"31",2015-05-19,"Moose (38% permafrost)",0
"32",2015-05-19,"Poker (25% permafrost)",0
"33",2015-05-20,"French (33% permafrost)",0
"34",2015-05-20,"Moose (38% permafrost)",0
"35",2015-05-20,"Poker (25% permafrost)",0
"36",2015-05-21,"French (33% permafrost)",0
"37",2015-05-21,"Moose (38% permafrost)",0
"38",2015-05-21,"Poker (25% permafrost)",0
"39",2015-05-22,"French (33% permafrost)",0
"40",2015-05-22,"Moose (38% permafrost)",0
"41",2015-05-22,"Poker (25% permafrost)",0
"42",2015-05-23,"French (33% permafrost)",0
"43",2015-05-23,"Moose (38% permafrost)",0
"44",2015-05-23,"Poker (25% permafrost)",0
"45",2015-05-24,"French (33% permafrost)",0
"46",2015-05-24,"Moose (38% permafrost)",0
"47",2015-05-24,"Poker (25% permafrost)",0.381
"48",2015-05-25,"French (33% permafrost)",1.27
"49",2015-05-25,"Moose (38% permafrost)",1.524
"50",2015-05-25,"Poker (25% permafrost)",1.016
"51",2015-05-26,"French (33% permafrost)",0
"52",2015-05-26,"Moose (38% permafrost)",0
"53",2015-05-26,"Poker (25% permafrost)",0.127
"54",2015-05-27,"French (33% permafrost)",0
"55",2015-05-27,"Moose (38% permafrost)",4.064
"56",2015-05-27,"Poker (25% permafrost)",0.127
"57",2015-05-28,"French (33% permafrost)",0
"58",2015-05-28,"Moose (38% permafrost)",0
"59",2015-05-28,"Poker (25% permafrost)",1.651
"60",2015-05-29,"French (33% permafrost)",0.508
"61",2015-05-29,"Moose (38% permafrost)",0.254
"62",2015-05-29,"Poker (25% permafrost)",0
"63",2015-05-30,"French (33% permafrost)",0
"64",2015-05-30,"Moose (38% permafrost)",0
"65",2015-05-30,"Poker (25% permafrost)",0
