"","Site","Date","ppt_tot","ppt_cum"
"1","FRCH",2021-05-20,1.8,1.8
"2","FRCH",2021-05-21,0,1.8
"3","FRCH",2021-05-22,1.2,3
"4","FRCH",2021-05-23,0.4,3.4
"5","FRCH",2021-05-24,0,3.4
"6","FRCH",2021-05-25,0,3.4
"7","FRCH",2021-05-26,0,3.4
"8","FRCH",2021-05-27,1.6,5
"9","FRCH",2021-05-28,0,5
"10","FRCH",2021-05-29,0,5
"11","FRCH",2021-05-30,0,5
"12","FRCH",2021-05-31,0,5
"13","FRCH",2021-06-01,3.8,8.8
"14","FRCH",2021-06-02,0,8.8
"15","FRCH",2021-06-03,0,8.8
"16","FRCH",2021-06-04,1.2,10
"17","FRCH",2021-06-05,0,10
"18","FRCH",2021-06-06,0,10
"19","FRCH",2021-06-07,1.6,11.6
"20","FRCH",2021-06-08,1.4,13
"21","FRCH",2021-06-09,4,17
"22","FRCH",2021-06-10,0,17
"23","FRCH",2021-06-11,0,17
"24","FRCH",2021-06-12,0,17
"25","FRCH",2021-06-13,1,18
"26","FRCH",2021-06-14,0,18
"27","FRCH",2021-06-15,0,18
"28","FRCH",2021-06-16,0,18
"29","FRCH",2021-06-17,1.2,19.2
"30","FRCH",2021-06-18,0,19.2
"31","FRCH",2021-06-19,0.8,20
"32","FRCH",2021-06-20,2,22
"33","FRCH",2021-06-21,1.4,23.4
"34","FRCH",2021-06-22,0,23.4
"35","FRCH",2021-06-23,0,23.4
"36","FRCH",2021-06-24,0,23.4
"37","FRCH",2021-06-25,2.2,25.6
"38","FRCH",2021-06-26,0,25.6
"39","FRCH",2021-06-27,0,25.6
"40","FRCH",2021-06-28,0,25.6
"41","FRCH",2021-06-29,0,25.6
"42","FRCH",2021-06-30,0,25.6
"43","FRCH",2021-07-01,0,25.6
"44","FRCH",2021-07-02,0,25.6
"45","FRCH",2021-07-03,0.2,25.8
"46","FRCH",2021-07-04,0,25.8
"47","FRCH",2021-07-05,0,25.8
"48","FRCH",2021-07-06,0.6,26.4
"49","FRCH",2021-07-07,2.6,29
"50","FRCH",2021-07-08,0,29
"51","FRCH",2021-07-09,1.8,30.8
"52","FRCH",2021-07-10,0,30.8
"53","FRCH",2021-07-11,0,30.8
"54","FRCH",2021-07-12,0,30.8
"55","FRCH",2021-07-13,0,30.8
"56","FRCH",2021-07-14,0.4,31.2
"57","FRCH",2021-07-15,0,31.2
"58","FRCH",2021-07-16,0,31.2
"59","FRCH",2021-07-17,0,31.2
"60","FRCH",2021-07-18,0,31.2
"61","FRCH",2021-07-19,0,31.2
"62","FRCH",2021-07-20,0,31.2
"63","FRCH",2021-07-21,0,31.2
"64","FRCH",2021-07-22,0,31.2
"65","FRCH",2021-07-23,1.6,32.8
"66","FRCH",2021-07-24,20.2,53
"67","FRCH",2021-07-25,0,53
"68","FRCH",2021-07-26,0,53
"69","FRCH",2021-07-27,0.4,53.4
"70","FRCH",2021-07-28,13.8,67.2
"71","FRCH",2021-07-29,0,67.2
"72","FRCH",2021-07-30,0,67.2
"73","FRCH",2021-07-31,0,67.2
"74","FRCH",2021-08-01,0,67.2
"75","FRCH",2021-08-02,0,67.2
"76","FRCH",2021-08-03,0,67.2
"77","FRCH",2021-08-04,0,67.2
"78","FRCH",2021-08-05,0,67.2
"79","FRCH",2021-08-06,10.4,77.6
"80","FRCH",2021-08-07,3.6,81.2
"81","FRCH",2021-08-08,0,81.2
"82","FRCH",2021-08-09,19.4,100.6
"83","FRCH",2021-08-10,1.2,101.8
"84","FRCH",2021-08-11,2.6,104.4
"85","FRCH",2021-08-12,0.6,105
"86","FRCH",2021-08-13,1.4,106.4
"87","FRCH",2021-08-14,0,106.4
"88","FRCH",2021-08-15,8.2,114.6
"89","FRCH",2021-08-16,23.6,138.2
"90","FRCH",2021-08-17,8.2,146.4
"91","FRCH",2021-08-18,1.2,147.6
"92","FRCH",2021-08-19,1.2,148.8
"93","FRCH",2021-08-20,8.2,157
"94","FRCH",2021-08-21,4,161
"95","FRCH",2021-08-22,0,161
"96","FRCH",2021-08-23,0.6,161.6
"97","FRCH",2021-08-24,3.2,164.8
"98","FRCH",2021-08-25,7,171.8
"99","FRCH",2021-08-26,8,179.8
"100","FRCH",2021-08-27,3.6,183.4
"101","FRCH",2021-08-28,3.6,187
"102","FRCH",2021-08-29,0,187
"103","FRCH",2021-08-30,0.4,187.4
"104","FRCH",2021-08-31,0,187.4
"105","FRCH",2021-09-01,0,187.4
"106","FRCH",2021-09-02,1.6,189
"107","FRCH",2021-09-03,0.4,189.4
"108","FRCH",2021-09-04,0,189.4
"109","FRCH",2021-09-05,0,189.4
"110","FRCH",2021-09-06,0.4,189.8
"111","FRCH",2021-09-07,0,189.8
"112","FRCH",2021-09-08,0,189.8
"113","FRCH",2021-09-09,0,189.8
"114","FRCH",2021-09-10,0,189.8
"115","FRCH",2021-09-11,1.6,191.4
"116","FRCH",2021-09-12,0,191.4
"117","FRCH",2021-09-13,0,191.4
"118","FRCH",2021-09-14,0,191.4
"119","FRCH",2021-09-15,0,191.4
"120","FRCH",2021-09-16,0,191.4
"121","FRCH",2021-09-17,0,191.4
"122","FRCH",2021-09-18,0,191.4
"123","FRCH",2021-09-19,0,191.4
"124","FRCH",2021-09-20,4.6,196
"125","FRCH",2021-09-21,0,196
"126","FRCH",2021-09-22,0,196
"127","FRCH",2021-09-23,0,196
"128","FRCH",2021-09-24,1.6,197.6
"129","FRCH",2021-09-25,5.4,203
"130","FRCH",2021-09-26,1.8,204.8
"131","FRCH",2021-09-27,0,204.8
"132","FRCH",2021-09-28,0,204.8
"133","FRCH",2021-09-29,0,204.8
"134","FRCH",2021-09-30,1.2,206
"135","FRCH",NA,2.4,208.4
"136","MOOS",2021-05-20,1.8,1.8
"137","MOOS",2021-05-21,0,1.8
"138","MOOS",2021-05-22,1.2,3
"139","MOOS",2021-05-23,0.4,3.4
"140","MOOS",2021-05-24,0,3.4
"141","MOOS",2021-05-25,0,3.4
"142","MOOS",2021-05-26,0,3.4
"143","MOOS",2021-05-27,1.6,5
"144","MOOS",2021-05-28,0,5
"145","MOOS",2021-05-29,0,5
"146","MOOS",2021-05-30,0,5
"147","MOOS",2021-05-31,0,5
"148","MOOS",2021-06-01,3.8,8.8
"149","MOOS",2021-06-02,0,8.8
"150","MOOS",2021-06-03,0,8.8
"151","MOOS",2021-06-04,1.2,10
"152","MOOS",2021-06-05,0,10
"153","MOOS",2021-06-06,0,10
"154","MOOS",2021-06-07,1.6,11.6
"155","MOOS",2021-06-08,1.4,13
"156","MOOS",2021-06-09,4,17
"157","MOOS",2021-06-10,0,17
"158","MOOS",2021-06-11,0,17
"159","MOOS",2021-06-12,0,17
"160","MOOS",2021-06-13,1,18
"161","MOOS",2021-06-14,0,18
"162","MOOS",2021-06-15,0,18
