"","datetimeAK","CARI","CRREL","month","mean"
"1",2015-05-01 00:00:00,0,0,"05",0
"2",2015-05-01 01:00:00,0,0,"05",0
"3",2015-05-01 02:00:00,0,0,"05",0
"4",2015-05-01 03:00:00,0,0,"05",0
"5",2015-05-01 04:00:00,0,0,"05",0
"6",2015-05-01 05:00:00,0,0,"05",0
"7",2015-05-01 06:00:00,0,0,"05",0
"8",2015-05-01 07:00:00,0,0,"05",0
"9",2015-05-01 08:00:00,0,0,"05",0
"10",2015-05-01 09:00:00,0,0,"05",0
"11",2015-05-01 10:00:00,0,0,"05",0
"12",2015-05-01 11:00:00,0,0,"05",0
"13",2015-05-01 12:00:00,0,0,"05",0
"14",2015-05-01 13:00:00,0,0,"05",0
"15",2015-05-01 14:00:00,0,0,"05",0
"16",2015-05-01 15:00:00,0,0,"05",0
"17",2015-05-01 16:00:00,0,0,"05",0
"18",2015-05-01 17:00:00,0,0,"05",0
"19",2015-05-01 18:00:00,0,0,"05",0
"20",2015-05-01 19:00:00,0,0,"05",0
"21",2015-05-01 20:00:00,0,0,"05",0
"22",2015-05-01 21:00:00,0,0,"05",0
"23",2015-05-01 22:00:00,0,0,"05",0
"24",2015-05-01 23:00:00,0,0,"05",0
"25",2015-05-02 00:00:00,0,0,"05",0
"26",2015-05-02 01:00:00,0,0,"05",0
"27",2015-05-02 02:00:00,0,0,"05",0
"28",2015-05-02 03:00:00,0,0,"05",0
"29",2015-05-02 04:00:00,0,0,"05",0
"30",2015-05-02 05:00:00,0,0,"05",0
"31",2015-05-02 06:00:00,0,0,"05",0
"32",2015-05-02 07:00:00,0,0,"05",0
"33",2015-05-02 08:00:00,0,0,"05",0
"34",2015-05-02 09:00:00,0,0,"05",0
"35",2015-05-02 10:00:00,0,0,"05",0
"36",2015-05-02 11:00:00,0,0,"05",0
"37",2015-05-02 12:00:00,0,0,"05",0
"38",2015-05-02 13:00:00,0,0,"05",0
"39",2015-05-02 14:00:00,0,0,"05",0
"40",2015-05-02 15:00:00,0,0,"05",0
"41",2015-05-02 16:00:00,0,0,"05",0
"42",2015-05-02 17:00:00,0,0,"05",0
"43",2015-05-02 18:00:00,0,0,"05",0
"44",2015-05-02 19:00:00,0,0,"05",0
"45",2015-05-02 20:00:00,0,0,"05",0
"46",2015-05-02 21:00:00,0,0,"05",0
"47",2015-05-02 22:00:00,0,0,"05",0
"48",2015-05-02 23:00:00,0,0,"05",0
"49",2015-05-03 00:00:00,0,0,"05",0
"50",2015-05-03 01:00:00,0,0,"05",0
"51",2015-05-03 02:00:00,0,0,"05",0
"52",2015-05-03 03:00:00,0,0,"05",0
"53",2015-05-03 04:00:00,0,0,"05",0
"54",2015-05-03 05:00:00,0,0,"05",0
"55",2015-05-03 06:00:00,0,0,"05",0
"56",2015-05-03 07:00:00,0,0,"05",0
"57",2015-05-03 08:00:00,0,0,"05",0
"58",2015-05-03 09:00:00,0,0,"05",0
"59",2015-05-03 10:00:00,0,0,"05",0
"60",2015-05-03 11:00:00,0,0,"05",0
"61",2015-05-03 12:00:00,0,0,"05",0
"62",2015-05-03 13:00:00,0,0,"05",0
"63",2015-05-03 14:00:00,0,0,"05",0
"64",2015-05-03 15:00:00,0,0,"05",0
"65",2015-05-03 16:00:00,0,0,"05",0
"66",2015-05-03 17:00:00,0,0,"05",0
"67",2015-05-03 18:00:00,0,0,"05",0
"68",2015-05-03 19:00:00,0,0,"05",0
"69",2015-05-03 20:00:00,0,0,"05",0
"70",2015-05-03 21:00:00,0,0,"05",0
"71",2015-05-03 22:00:00,0,0,"05",0
"72",2015-05-03 23:00:00,0,0,"05",0
"73",2015-05-04 00:00:00,0,0,"05",0
"74",2015-05-04 01:00:00,0,0,"05",0
"75",2015-05-04 02:00:00,0,0,"05",0
"76",2015-05-04 03:00:00,0,0,"05",0
"77",2015-05-04 04:00:00,0,0,"05",0
"78",2015-05-04 05:00:00,0,0,"05",0
"79",2015-05-04 06:00:00,0,0,"05",0
"80",2015-05-04 07:00:00,0,0,"05",0
"81",2015-05-04 08:00:00,0,0,"05",0
"82",2015-05-04 09:00:00,0,0,"05",0
"83",2015-05-04 10:00:00,0,0,"05",0
"84",2015-05-04 11:00:00,0,0,"05",0
"85",2015-05-04 12:00:00,0,0,"05",0
"86",2015-05-04 13:00:00,0,0,"05",0
"87",2015-05-04 14:00:00,0,0,"05",0
"88",2015-05-04 15:00:00,0,0,"05",0
"89",2015-05-04 16:00:00,0,0,"05",0
"90",2015-05-04 17:00:00,0,0,"05",0
"91",2015-05-04 18:00:00,0,0,"05",0
"92",2015-05-04 19:00:00,0,0,"05",0
"93",2015-05-04 20:00:00,0,0,"05",0
"94",2015-05-04 21:00:00,0,0,"05",0
"95",2015-05-04 22:00:00,0,0,"05",0
"96",2015-05-04 23:00:00,0,0,"05",0
"97",2015-05-05 00:00:00,0,0,"05",0
"98",2015-05-05 01:00:00,0,0,"05",0
"99",2015-05-05 02:00:00,0,0,"05",0
"100",2015-05-05 03:00:00,0,0,"05",0
"101",2015-05-05 04:00:00,0,0,"05",0
"102",2015-05-05 05:00:00,0,0,"05",0
"103",2015-05-05 06:00:00,0,0,"05",0
"104",2015-05-05 07:00:00,0,0,"05",0
"105",2015-05-05 08:00:00,0,0,"05",0
"106",2015-05-05 09:00:00,0,0,"05",0
"107",2015-05-05 10:00:00,0,0,"05",0
"108",2015-05-05 11:00:00,0,0,"05",0
"109",2015-05-05 12:00:00,0,0,"05",0
"110",2015-05-05 13:00:00,0,0,"05",0
"111",2015-05-05 14:00:00,0,0,"05",0
"112",2015-05-05 15:00:00,0,0,"05",0
"113",2015-05-05 16:00:00,0,0,"05",0
"114",2015-05-05 17:00:00,0,0,"05",0
"115",2015-05-05 18:00:00,0,0,"05",0
"116",2015-05-05 19:00:00,0,0,"05",0
"117",2015-05-05 20:00:00,0,0,"05",0
"118",2015-05-05 21:00:00,0,0,"05",0
"119",2015-05-05 22:00:00,0,0,"05",0
"120",2015-05-05 23:00:00,0,0,"05",0
"121",2015-05-06 00:00:00,0,0,"05",0
"122",2015-05-06 01:00:00,0,0,"05",0
"123",2015-05-06 02:00:00,0,0,"05",0
"124",2015-05-06 03:00:00,0,0,"05",0
"125",2015-05-06 04:00:00,0,0,"05",0
"126",2015-05-06 05:00:00,0,0,"05",0
"127",2015-05-06 06:00:00,0,0,"05",0
"128",2015-05-06 07:00:00,0,0,"05",0
"129",2015-05-06 08:00:00,0,0,"05",0
"130",2015-05-06 09:00:00,0,0,"05",0
"131",2015-05-06 10:00:00,0,0,"05",0
"132",2015-05-06 11:00:00,0,0,"05",0
"133",2015-05-06 12:00:00,0,0,"05",0
"134",2015-05-06 13:00:00,0,0,"05",0
"135",2015-05-06 14:00:00,0,0,"05",0
"136",2015-05-06 15:00:00,0,0,"05",0
"137",2015-05-06 16:00:00,0,0,"05",0
"138",2015-05-06 17:00:00,0,0,"05",0
"139",2015-05-06 18:00:00,0,0,"05",0
"140",2015-05-06 19:00:00,0,0,"05",0
"141",2015-05-06 20:00:00,0,0,"05",0
"142",2015-05-06 21:00:00,0,0,"05",0
"143",2015-05-06 22:00:00,0,0,"05",0
"144",2015-05-06 23:00:00,0,0,"05",0
"145",2015-05-07 00:00:00,0,0,"05",0
"146",2015-05-07 01:00:00,0,0,"05",0
"147",2015-05-07 02:00:00,0,0,"05",0
"148",2015-05-07 03:00:00,0,0,"05",0
"149",2015-05-07 04:00:00,0,0,"05",0
"150",2015-05-07 05:00:00,0,0,"05",0
"151",2015-05-07 06:00:00,0,0,"05",0
"152",2015-05-07 07:00:00,0,0,"05",0
"153",2015-05-07 08:00:00,0,0,"05",0
"154",2015-05-07 09:00:00,0,0,"05",0
"155",2015-05-07 10:00:00,0,0,"05",0
"156",2015-05-07 11:00:00,0,0,"05",0
"157",2015-05-07 12:00:00,0,0,"05",0
"158",2015-05-07 13:00:00,0,0,"05",0
"159",2015-05-07 14:00:00,0,0,"05",0
"160",2015-05-07 15:00:00,0,0,"05",0
"161",2015-05-07 16:00:00,0,0,"05",0
"162",2015-05-07 17:00:00,0,0,"05",0
"163",2015-05-07 18:00:00,0,0,"05",0
"164",2015-05-07 19:00:00,0,0,"05",0
"165",2015-05-07 20:00:00,0,0,"05",0
"166",2015-05-07 21:00:00,0,0,"05",0
"167",2015-05-07 22:00:00,0,0,"05",0
"168",2015-05-07 23:00:00,0,0,"05",0
"169",2015-05-08 00:00:00,0,0,"05",0
"170",2015-05-08 01:00:00,0,0,"05",0
"171",2015-05-08 02:00:00,0,0,"05",0
"172",2015-05-08 03:00:00,0,0,"05",0
"173",2015-05-08 04:00:00,0,0,"05",0
"174",2015-05-08 05:00:00,0,0,"05",0
"175",2015-05-08 06:00:00,0,0,"05",0
"176",2015-05-08 07:00:00,0,0,"05",0
"177",2015-05-08 08:00:00,0,0,"05",0
"178",2015-05-08 09:00:00,0,0,"05",0
"179",2015-05-08 10:00:00,0,0,"05",0
"180",2015-05-08 11:00:00,0,0,"05",0
"181",2015-05-08 12:00:00,0,0,"05",0
"182",2015-05-08 13:00:00,0,0,"05",0
