"","site.ID","year","storm.num","response","HI","precip","temp","precip.week","precip.month","ThreeMonth","doy","date","TimeSinceChena"
"41","FRCH","2015","storm5b","abs",-0.0385409497591207,0.254,NA,25.781,103.251,172.341,231.197916666667,2015-08-20,100.197916666668
"42","FRCH","2015","storm7","abs",-0.469336854460094,26.924,NA,13.208,105.664,243.461,255.822916666667,2015-09-13,124.822916666668
"43","MOOS","2015","storm1","NO3",0.0679012345679016,0.508,NA,9.144,17.653,26.797,181.947916666667,2015-07-01,50.9479166666679
"44","MOOS","2015","storm2","NO3",-0.15236051502145,11.938,NA,29.974,41.912,59.565,198.947916666667,2015-07-18,67.9479166666679
"45","MOOS","2015","storm3a","NO3",0.560985797827901,13.589,NA,23.874,65.786,92.075,207.197916666667,2015-07-27,76.1979166666679
"46","MOOS","2015","storm4","NO3",0.575581395348814,13.208,NA,25.146,91.44,154.688,227.572916666667,2015-08-16,96.5729166666679
"47","MOOS","2015","storm6","NO3",0.742705570291792,2.54,NA,38.227,128.778,267.337,256.739583333333,2015-09-14,125.739583333332
"48","MOOS","2015","storm1","fDOM",-0.450587819385383,0.508,NA,9.144,17.653,26.797,181.947916666667,2015-07-01,50.9479166666679
"49","MOOS","2015","storm2","fDOM",-0.269061382303243,11.938,NA,29.974,41.912,59.565,198.947916666667,2015-07-18,67.9479166666679
"50","MOOS","2015","storm3a","fDOM",-0.334209069832049,13.589,NA,23.874,65.786,92.075,207.197916666667,2015-07-27,76.1979166666679
"51","MOOS","2015","storm3b","fDOM",-0.262895028850724,20.576,NA,34.161,79.375,105.664,208.572916666667,2015-07-28,77.5729166666679
"52","MOOS","2015","storm4","fDOM",-0.303843692276828,13.208,NA,25.146,91.44,154.688,227.572916666667,2015-08-16,96.5729166666679
"53","MOOS","2015","storm5","fDOM",0.314948259609062,57.277,NA,17.907,81.155,181.993,236.822916666667,2015-08-25,105.822916666668
"54","MOOS","2015","storm6","fDOM",-0.436439637527499,2.54,NA,38.227,128.778,267.337,256.739583333333,2015-09-14,125.739583333332
"55","MOOS","2015","storm1","SPC",0.78781847133758,0.508,NA,9.144,17.653,26.797,181.947916666667,2015-07-01,50.9479166666679
"56","MOOS","2015","storm2","SPC",0.706147540983607,11.938,NA,29.974,41.912,59.565,198.947916666667,2015-07-18,67.9479166666679
"57","MOOS","2015","storm4","SPC",0.750000000000001,13.208,NA,25.146,91.44,154.688,227.572916666667,2015-08-16,96.5729166666679
"58","MOOS","2015","storm5","SPC",0.785814606741573,57.277,NA,17.907,81.155,181.993,236.822916666667,2015-08-25,105.822916666668
"59","MOOS","2015","storm6","SPC",0.771052631578947,2.54,NA,38.227,128.778,267.337,256.739583333333,2015-09-14,125.739583333332
"60","MOOS","2015","storm1","turb",-0.26901364764268,0.508,NA,9.144,17.653,26.797,181.947916666667,2015-07-01,50.9479166666679
"61","MOOS","2015","storm2","turb",-0.264714354296687,11.938,NA,29.974,41.912,59.565,198.947916666667,2015-07-18,67.9479166666679
"62","MOOS","2015","storm4","turb",-0.17102615694165,13.208,NA,25.146,91.44,154.688,227.572916666667,2015-08-16,96.5729166666679
"63","MOOS","2015","storm5","turb",-0.136213195398973,57.277,NA,17.907,81.155,181.993,236.822916666667,2015-08-25,105.822916666668
"64","MOOS","2015","storm6","turb",-0.185084108804581,2.54,NA,38.227,128.778,267.337,256.739583333333,2015-09-14,125.739583333332
"65","MOOS","2015","storm1","abs",-0.474787594114803,0.508,NA,9.144,17.653,26.797,181.947916666667,2015-07-01,50.9479166666679
"66","MOOS","2015","storm3a","abs",-0.418966051774919,13.589,NA,23.874,65.786,92.075,207.197916666667,2015-07-27,76.1979166666679
"67","MOOS","2015","storm4","abs",-0.404432989690722,13.208,NA,25.146,91.44,154.688,227.572916666667,2015-08-16,96.5729166666679
"68","MOOS","2015","storm6","abs",-0.594752736881842,2.54,NA,38.227,128.778,267.337,256.739583333333,2015-09-14,125.739583333332
