"","Site","DateTime","Discharge","NO3","fDOM","SpCond","Turb","day"
"7838","CARI",2018-08-21 16:15:00,451.244,27.5,70.0186666666667,75.0206666666667,NA,2018-08-21
"7839","CARI",2018-08-21 16:30:00,452.934666666667,27.6,69.9726666666667,74.9906666666667,NA,2018-08-21
"7840","CARI",2018-08-21 16:45:00,451.303333333333,27.5,70.0146666666667,74.9666666666667,NA,2018-08-21
"7841","CARI",2018-08-21 17:00:00,450.248666666667,27.5,69.972,74.9376666666667,NA,2018-08-21
"7842","CARI",2018-08-21 17:15:00,451.774666666667,27.5,69.9193333333333,74.9123333333333,NA,2018-08-21
"7843","CARI",2018-08-21 17:30:00,454.118666666667,27.5,69.6913333333333,74.8923333333333,NA,2018-08-21
"7844","CARI",2018-08-21 17:45:00,457.714,27.4,69.1986666666667,74.859,NA,2018-08-21
"7845","CARI",2018-08-21 18:00:00,453.756,27.4,69.3633333333333,74.8266666666667,NA,2018-08-21
"7846","CARI",2018-08-21 18:15:00,451.122,27.4,69.3186666666667,74.8076666666667,NA,2018-08-21
"7847","CARI",2018-08-21 18:30:00,456.884666666667,27.4,69.358,74.7713333333333,NA,2018-08-21
"7848","CARI",2018-08-21 18:45:00,455.163333333333,27.3,69.4173333333333,74.753,NA,2018-08-21
"7849","CARI",2018-08-21 19:00:00,452.842666666667,27.3,69.2946666666667,74.73,NA,2018-08-21
"7850","CARI",2018-08-21 19:15:00,460.537333333333,27.3,69.3566666666667,74.7053333333333,NA,2018-08-21
"7851","CARI",2018-08-21 19:30:00,455.736666666667,27.3,69.3673333333333,74.6893333333333,NA,2018-08-21
"7852","CARI",2018-08-21 19:45:00,457.266,27.3,69.1973333333333,74.66,NA,2018-08-21
"7853","CARI",2018-08-21 20:00:00,449.834,27.3,69.2373333333333,74.6366666666667,NA,2018-08-21
"7854","CARI",2018-08-21 20:15:00,455.428666666667,27.2,69.3433333333333,74.5966666666667,NA,2018-08-21
"7855","CARI",2018-08-21 20:30:00,458.216,27.2,69.04,74.5496666666667,NA,2018-08-21
"7856","CARI",2018-08-21 20:45:00,462.002666666667,27.2,69.1306666666667,74.5183333333333,NA,2018-08-21
"7857","CARI",2018-08-21 21:00:00,466.638666666667,27.1,69.2853333333333,74.505,NA,2018-08-21
"7858","CARI",2018-08-21 21:15:00,467.006,27.1,69.2853333333333,74.49,NA,2018-08-21
"7859","CARI",2018-08-21 21:30:00,469.196666666667,27.1,69.4613333333333,74.4463333333333,NA,2018-08-21
"7860","CARI",2018-08-21 21:45:00,465.185333333333,27.1,69.31,74.424,NA,2018-08-21
"7861","CARI",2018-08-21 22:00:00,460.822,27,69.2986666666667,74.4066666666667,NA,2018-08-21
"7862","CARI",2018-08-21 22:15:00,469.894666666667,27,69.3086666666667,74.3736666666667,NA,2018-08-21
"7863","CARI",2018-08-21 22:30:00,468.252,27,69.3266666666667,74.311,NA,2018-08-21
"7864","CARI",2018-08-21 22:45:00,466.357333333333,27,69.342,74.2656666666667,NA,2018-08-21
"7865","CARI",2018-08-21 23:00:00,470.976,26.9,69.386,74.2866666666667,NA,2018-08-21
"7866","CARI",2018-08-21 23:15:00,474.233333333333,26.9,69.37,74.305,NA,2018-08-21
"7867","CARI",2018-08-21 23:30:00,467.335333333333,26.9,69.4013333333333,74.314,NA,2018-08-21
"7868","CARI",2018-08-21 23:45:00,468.108,26.8,69.4466666666667,74.309,NA,2018-08-21
"7869","CARI",2018-08-22 00:00:00,473.785333333333,26.9,69.4013333333333,74.2843333333333,NA,2018-08-22
"7870","CARI",2018-08-22 00:15:00,479.052666666667,26.8,69.438,74.2163333333333,NA,2018-08-22
"7871","CARI",2018-08-22 00:30:00,475.174666666667,26.8,69.5213333333333,74.1563333333333,NA,2018-08-22
"7872","CARI",2018-08-22 00:45:00,475.676,26.8,69.5573333333333,74.132,NA,2018-08-22
"7873","CARI",2018-08-22 01:00:00,481.342,26.7,69.6346666666667,74.127,NA,2018-08-22
"7874","CARI",2018-08-22 01:15:00,479.290666666667,26.7,69.6466666666667,74.1146666666667,NA,2018-08-22
"7875","CARI",2018-08-22 01:30:00,479.268,26.7,69.72,74.1223333333333,NA,2018-08-22
"7876","CARI",2018-08-22 01:45:00,480.844666666667,26.6,69.674,74.127,NA,2018-08-22
"7877","CARI",2018-08-22 02:00:00,477.244,26.7,69.5766666666667,74.1056666666667,NA,2018-08-22
"7878","CARI",2018-08-22 02:15:00,473.579333333333,26.6,69.442,74.064,NA,2018-08-22
"7879","CARI",2018-08-22 02:30:00,474.031333333333,26.6,69.5433333333333,74.0186666666667,NA,2018-08-22
"7880","CARI",2018-08-22 02:45:00,475.720666666667,26.6,69.81,73.9846666666667,NA,2018-08-22
"7881","CARI",2018-08-22 03:00:00,482.266666666667,26.6,69.7813333333333,73.948,NA,2018-08-22
"7882","CARI",2018-08-22 03:15:00,480.346666666667,26.5,69.8526666666667,73.934,NA,2018-08-22
"7883","CARI",2018-08-22 03:30:00,476.072,26.6,70.0066666666667,73.9356666666667,NA,2018-08-22
"7884","CARI",2018-08-22 03:45:00,477.144,26.6,70.0633333333333,73.901,NA,2018-08-22
"7885","CARI",2018-08-22 04:00:00,475.658,26.6,70.162,73.8796666666667,NA,2018-08-22
"7886","CARI",2018-08-22 04:15:00,479.709333333333,26.5,70.1213333333333,73.857,NA,2018-08-22
"7887","CARI",2018-08-22 04:30:00,481.344666666667,26.5,70.18,73.845,NA,2018-08-22
"7888","CARI",2018-08-22 04:45:00,484.609333333333,26.6,70.2386666666667,73.864,NA,2018-08-22
"7889","CARI",2018-08-22 05:00:00,480.684666666667,26.6,70.2986666666667,73.859,NA,2018-08-22
"7890","CARI",2018-08-22 05:15:00,482.31,26.5,70.2193333333333,73.8333333333333,NA,2018-08-22
"7891","CARI",2018-08-22 05:30:00,479.802666666667,26.6,70.0966666666667,73.833,NA,2018-08-22
"7892","CARI",2018-08-22 05:45:00,478.626666666667,26.6,70.2033333333333,73.854,NA,2018-08-22
"7893","CARI",2018-08-22 06:00:00,477.498,26.7,70.416,73.8693333333333,NA,2018-08-22
"7894","CARI",2018-08-22 06:15:00,476.452,26.6,70.4546666666667,73.8836666666667,NA,2018-08-22
"7895","CARI",2018-08-22 06:30:00,476.558666666667,26.7,70.4973333333333,73.8906666666667,NA,2018-08-22
"7896","CARI",2018-08-22 06:45:00,475.66,26.7,70.4213333333333,73.892,NA,2018-08-22
"7897","CARI",2018-08-22 07:00:00,472.894,26.7,70.4493333333333,73.903,NA,2018-08-22
"7898","CARI",2018-08-22 07:15:00,478.083333333333,26.7,70.5393333333333,73.9113333333333,NA,2018-08-22
"7899","CARI",2018-08-22 07:30:00,478.463333333333,26.7,70.606,73.9036666666667,NA,2018-08-22
"7900","CARI",2018-08-22 07:45:00,480.803333333333,26.8,70.722,73.9036666666667,NA,2018-08-22
"7901","CARI",2018-08-22 08:00:00,477.234666666667,26.8,70.6086666666667,73.9193333333333,NA,2018-08-22
"7902","CARI",2018-08-22 08:15:00,475.92,26.8,70.3386666666667,73.9336666666667,NA,2018-08-22
"7903","CARI",2018-08-22 08:30:00,477.206666666667,26.8,NA,73.951,NA,2018-08-22
"7904","CARI",2018-08-22 08:45:00,483.593333333333,26.8,NA,73.9786666666667,NA,2018-08-22
"7905","CARI",2018-08-22 09:00:00,481.979333333333,26.8,NA,74.01,NA,2018-08-22
"7906","CARI",2018-08-22 09:15:00,477.700666666667,26.8,NA,74.023,NA,2018-08-22
"7907","CARI",2018-08-22 09:30:00,476.450666666667,26.9,NA,74.038,NA,2018-08-22
"7908","CARI",2018-08-22 09:45:00,482.201333333333,26.9,NA,74.041,NA,2018-08-22
"7909","CARI",2018-08-22 10:00:00,483.740666666667,26.9,NA,74.0226666666667,NA,2018-08-22
"7910","CARI",2018-08-22 10:15:00,480.034,27,NA,74.0316666666667,NA,2018-08-22
"7911","CARI",2018-08-22 10:30:00,471.767333333333,26.9,NA,74.0306666666667,NA,2018-08-22
"7912","CARI",2018-08-22 10:45:00,484.43,27,NA,74.0176666666667,NA,2018-08-22
"7913","CARI",2018-08-22 11:00:00,474.600666666667,27,NA,74.0113333333333,NA,2018-08-22
"7914","CARI",2018-08-22 11:15:00,475.636666666667,27,NA,74.0173333333333,NA,2018-08-22
"7915","CARI",2018-08-22 11:30:00,476.016,27,NA,74.014,NA,2018-08-22
"7916","CARI",2018-08-22 11:45:00,474.861333333333,27,NA,73.993,NA,2018-08-22
"7917","CARI",2018-08-22 12:00:00,476.218666666667,27,NA,73.962,NA,2018-08-22
"7918","CARI",2018-08-22 12:15:00,476.262,27,NA,73.9316666666667,NA,2018-08-22
"7919","CARI",2018-08-22 12:30:00,478.564666666667,27,NA,73.89,NA,2018-08-22
"7920","CARI",2018-08-22 12:45:00,482.673333333333,27,NA,73.872,NA,2018-08-22
"7921","CARI",2018-08-22 13:00:00,474.61,27.1,NA,73.8403333333333,NA,2018-08-22
"7922","CARI",2018-08-22 13:15:00,474.251333333333,27,NA,73.845,NA,2018-08-22
"7923","CARI",2018-08-22 13:30:00,476.316666666667,27.1,NA,73.8493333333333,NA,2018-08-22
"7924","CARI",2018-08-22 13:45:00,470.244,27.1,NA,73.8346666666667,NA,2018-08-22
"7925","CARI",2018-08-22 14:00:00,480.644,27.1,NA,73.81,NA,2018-08-22
"7926","CARI",2018-08-22 14:15:00,470.206,27.1,NA,73.7996666666667,NA,2018-08-22
"7927","CARI",2018-08-22 14:30:00,474.048666666667,27.1,NA,73.7783333333333,NA,2018-08-22
"7928","CARI",2018-08-22 14:45:00,474.823333333333,27.1,NA,73.785,NA,2018-08-22
"7929","CARI",2018-08-22 15:00:00,474.338666666667,27.1,NA,73.796,NA,2018-08-22
"7930","CARI",2018-08-22 15:15:00,470.292,27.1,NA,73.783,NA,2018-08-22
"7931","CARI",2018-08-22 15:30:00,473.860666666667,27.1,NA,73.763,NA,2018-08-22
"7932","CARI",2018-08-22 15:45:00,466.586666666667,27.1,NA,73.7486666666667,NA,2018-08-22
"7933","CARI",2018-08-22 16:00:00,473.138666666667,27.1,NA,73.724,NA,2018-08-22
"7934","CARI",2018-08-22 16:15:00,465.776666666667,27.1,NA,73.6996666666667,NA,2018-08-22
"7935","CARI",2018-08-22 16:30:00,471.296666666667,27.1,NA,73.6656666666667,NA,2018-08-22
"7936","CARI",2018-08-22 16:45:00,467.396666666667,27.1,NA,73.657,NA,2018-08-22
"7937","CARI",2018-08-22 17:00:00,465.719333333333,27.1,NA,73.6343333333333,NA,2018-08-22
"7938","CARI",2018-08-22 17:15:00,459.403333333333,27.1,NA,73.6143333333333,NA,2018-08-22
"7939","CARI",2018-08-22 17:30:00,469.174666666667,27.1,NA,73.5763333333333,NA,2018-08-22
"7940","CARI",2018-08-22 17:45:00,464.024,27,NA,73.535,NA,2018-08-22
"7941","CARI",2018-08-22 18:00:00,470.224,27,NA,73.5096666666667,NA,2018-08-22
"7942","CARI",2018-08-22 18:15:00,467.955333333333,26.9,NA,73.4666666666667,NA,2018-08-22
"7943","CARI",2018-08-22 18:30:00,482.893333333333,26.9,NA,73.4423333333333,NA,2018-08-22
"7944","CARI",2018-08-22 18:45:00,474.076,26.9,NA,73.4016666666667,NA,2018-08-22
"7945","CARI",2018-08-22 19:00:00,466.255333333333,26.9,NA,73.372,NA,2018-08-22
"7946","CARI",2018-08-22 19:15:00,468.890666666667,26.9,NA,73.3536666666667,NA,2018-08-22
"7947","CARI",2018-08-22 19:30:00,465.366,26.8,NA,73.331,NA,2018-08-22
"7948","CARI",2018-08-22 19:45:00,461.203333333333,26.8,NA,73.3083333333333,NA,2018-08-22
"7949","CARI",2018-08-22 20:00:00,466.417333333333,26.7,NA,73.277,NA,2018-08-22
"7950","CARI",2018-08-22 20:15:00,460.977333333333,26.8,NA,73.2363333333333,NA,2018-08-22
"7951","CARI",2018-08-22 20:30:00,464.733333333333,26.7,NA,73.1776666666667,NA,2018-08-22
"7952","CARI",2018-08-22 20:45:00,462.058666666667,26.7,NA,73.1563333333333,NA,2018-08-22
