column_label,HI_mean_Interp,HI_sd_with_Interp,N.S.,Max_width_Interp,Min_response,Max_response,Peak_Q,ShapiroTest.W,ShapiroTest.p,t.test.stat,t.test.p,t.test.CIlow,t.test.CIhigh,wilcox.test.stat,wilcox.test.p,storm.ID,site.ID
1,0.5416314199395942,0.14607789469889243,-0.255790533736155,0.762839879154091,15.4706697220654,18.4203004091566,2249.91845218733,0.9451,0.0215,25.9548,0,0.4997,0.5836,1275,0,MOOS_storm1_07_10_NO3,MOOS
2,-0.5097172802645331,0.1403300844370637,0.700186231048712,-0.812664124140911,104.982632462099,135.594696215259,2249.91845218733,0.9224,0.0029,-25.4259,0,-0.55,-0.4694,0,0,MOOS_storm1_07_10_fDOM,MOOS
3,0.3740655339805879,0.13676232565232294,0.40898058252423,0.58373786407764,127.981818181818,135.472727272727,2249.91845218733,0.9368,0.0101,19.1461,0,0.3348,0.4133,1274,0,MOOS_storm1_07_10_SPC,MOOS
4,-0.1019612280455814,0.06637457531282166,0.39587046642501,-0.195552039733243,2.84181818181818,48.2354545454545,2249.91845218733,0.8092,0,-10.753,0,-0.121,-0.0829,59,0,MOOS_storm1_07_10_turb,MOOS
5,-0.4039972394755004,0.14843014215020384,0.954313319530711,-0.551690821256039,0.1767,0.357825,2249.91845218733,0.8411,0,-19.0526,0,-0.4466,-0.3614,0,0,MOOS_storm1_07_10_abs,MOOS
6,0.5938977955911784,0.18856033165727887,-0.865731462925861,0.794589178356708,16.5489335079809,19.5134163133355,1343.33084125059,0.8519,0,22.0475,0,0.5398,0.648,1275,0,MOOS_storm2a_08_05_NO3,MOOS
7,-0.5308514445419363,0.2232727530551636,0.459680349235381,-0.86036815041267,129.605299484516,179.001020016505,1343.33084125059,0.8602,0,-16.6431,0,-0.5949,-0.4668,1,0,MOOS_storm2a_08_05_fDOM,MOOS
8,0.7815410958904431,0.2249253410255684,-0.849315068493138,0.972174657534248,124.036363636364,134.654545454545,1343.33084125059,0.7371,0,24.3227,0,0.717,0.8461,1275,0,MOOS_storm2a_08_05_SPC,MOOS
9,-0.29645812229020574,0.106989720829414,0.929494712103407,-0.494185339762551,5.21636363636364,27.6518181818182,1343.33084125059,0.9761,0.4032,-19.3963,0,-0.3272,-0.2657,1,0,MOOS_storm2a_08_05_turb,MOOS
10,-0.5912183816713018,0.18790648756179176,0.782810223811416,-0.925043040656867,0.298675,0.48745,1343.33084125059,0.8774,1e-4,-22.0244,0,-0.6452,-0.5373,0,0,MOOS_storm2a_08_05_abs,MOOS
11,0.6143448275861931,0.22570472013152407,-0.527586206896461,0.968965517241368,17.7935410184454,18.6549638777168,864.018669131622,0.8393,0,19.0533,0,0.5495,0.6791,1275,0,MOOS_storm3_08_19_NO3,MOOS
12,0.2524135680117868,0.17256678950390072,-0.520690444763401,0.517362850035804,148.260161200076,154.462975555232,864.018669131622,0.9588,0.0792,10.2389,0,0.2029,0.302,1238,0,MOOS_storm3_08_19_fDOM,MOOS
13,0.5452034261242283,0.32832769755586694,0.0214132762314809,0.952890792291214,135.218181818182,139.463636363636,864.018669131622,0.8815,1e-4,11.6238,0,0.4509,0.6395,1275,0,MOOS_storm3_08_19_SPC,MOOS
14,-0.461313052925655,0.2571817262732276,0.223187955921155,-0.860934347353716,3.15181818181818,9.00909090909091,864.018669131622,0.8793,1e-4,-12.5561,0,-0.5351,-0.3875,3,0,MOOS_storm3_08_19_turb,MOOS
15,-0.3441774891774905,0.22614826860284704,0.0844155844155825,-0.793290043290045,0.345075,0.368175,864.018669131622,0.9141,0.0015,-10.6534,0,-0.4091,-0.2793,47,0,MOOS_storm3_08_19_abs,MOOS
16,0.34596816976126976,0.18565976810760296,-0.879310344827566,0.543766578249325,15.3043259975164,17.544025431622,1367.26496644483,0.8295,0,13.0442,0,0.2927,0.3993,1262,0,MOOS_storm4_09_15_NO3,MOOS
17,-0.5931055766240256,0.2350636115924352,0.374945117901793,-0.89111924608495,146.948295641533,221.422315106512,1367.26496644483,0.8428,0,-17.6622,0,-0.6606,-0.5256,0,0,MOOS_storm4_09_15_fDOM,MOOS
18,0.797655601659758,0.17489770897649037,-0.351867219917015,0.951867219917033,122.954545454545,144.863636363636,1367.26496644483,0.7735,0,31.9249,0,0.7474,0.8479,1275,0,MOOS_storm4_09_15_SPC,MOOS
19,-0.23839105320746123,0.19055420928955497,0.620346573704167,-0.663910023155806,2.83909090909091,38.5654545454545,1367.26496644483,0.7853,0,-8.7573,0,-0.2931,-0.1837,0,0,MOOS_storm4_09_15_turb,MOOS
20,-0.5968396354119663,0.1873145991307952,0.654453569172458,-0.782871581987185,0.330875,0.6079,1367.26496644483,0.8035,0,-22.3041,0,-0.6506,-0.5431,0,0,MOOS_storm4_09_15_abs,MOOS
