"","site.ID","year","storm.num","response","HI","precip","temp","precip.week","precip.month","ThreeMonth","temp.week","TOTAL.TIME","Intensity","doy","burn","pf"
"1","POKE","2019","storm1","NO3",-0.127220355256854,5.207,14.6022275641026,6.223,25.146,37.465,17.2129915674603,25.5,0.204196078431373,180.395833333333,"burned","medium"
"2","POKE","2019","storm2","NO3",0.10047281323879,7.493,13.8809963768116,2.413,25.273,45.085,19.4915724852071,22.5,0.333022222222222,192.479166666667,"burned","medium"
"3","POKE","2019","storm3","NO3",0.0197368421052384,19.813,12.2658761261261,0.127,25.527,58.42,16.6416937003968,36.5,0.542821917808219,206.229166666667,"burned","medium"
"4","POKE","2019","storm4","NO3",0.529545454545455,6.604,10.5900272988506,28.576,44.324,86.996,13.0808025793651,28.5,0.231719298245614,212.020833333333,"burned","medium"
"5","POKE","2019","storm5a","NO3",-0.430414386239248,42.545,12.4356893939394,28.194,50.928,93.6,12.3291641865079,21.5,1.97883720930233,213.3125,"burned","medium"
"6","POKE","2019","storm5b","NO3",-0.425511197663095,38.354,12.0352458333333,59.055,93.473,136.145,12.5228561507937,59.5,0.644605042016807,214.229166666667,"burned","medium"
"7","POKE","2019","storm5c","NO3",0.69606598984771,13.462,13.2003571428571,91.059,131.827,174.499,12.2775223214286,27.5,0.489527272727273,216.729166666667,"burned","medium"
"8","POKE","2019","storm5d","NO3",0.556250000000001,4.064,11.3588116666667,30.734,143.765,196.343,12.3306453373016,24.5,0.165877551020408,221.4375,"burned","medium"
"9","POKE","2019","storm6b","NO3",-0.302474793767186,11.684,11.1810028735632,31.369,166.117,213.996,12.7909990079365,57.5,0.2032,224.479166666667,"burned","medium"
"10","POKE","2019","storm7","NO3",0.173734177215187,17.272,8.30730155367231,40.513,172.721,225.934,12.2041592261905,58.5,0.295247863247863,226.9375,"burned","medium"
"11","POKE","2019","storm8","NO3",0.687530091478094,7.239,5.39386979166667,4.445,15.494,227.458,2.21766319444444,23.5,0.308042553191489,271.729166666667,"burned","medium"
"12","POKE","2019","storm9","NO3",0.099263446385748,7.366,-1.75114386792453,19.05,31.115,234.062,2.27810069444444,52.5,0.140304761904762,276.520833333333,"burned","medium"
"13","POKE","2019","storm1","fDOM",0.259837342094891,5.207,14.6022275641026,6.223,25.146,37.465,17.2129915674603,25.5,0.204196078431373,180.395833333333,"burned","medium"
"14","POKE","2019","storm2","fDOM",-0.190906017170998,7.493,13.8809963768116,2.413,25.273,45.085,19.4915724852071,22.5,0.333022222222222,192.479166666667,"burned","medium"
"15","POKE","2019","storm3","fDOM",-0.426310632644781,19.813,12.2658761261261,0.127,25.527,58.42,16.6416937003968,36.5,0.542821917808219,206.229166666667,"burned","medium"
"16","POKE","2019","storm4","fDOM",-0.0862038244727538,6.604,10.5900272988506,28.576,44.324,86.996,13.0808025793651,28.5,0.231719298245614,212.020833333333,"burned","medium"
"17","POKE","2019","storm5a","fDOM",-0.386685492888375,42.545,12.4356893939394,28.194,50.928,93.6,12.3291641865079,21.5,1.97883720930233,213.3125,"burned","medium"
"18","POKE","2019","storm5b","fDOM",-0.373007463411087,38.354,12.0352458333333,59.055,93.473,136.145,12.5228561507937,59.5,0.644605042016807,214.229166666667,"burned","medium"
"19","POKE","2019","storm5c","fDOM",-0.771976589758334,13.462,13.2003571428571,91.059,131.827,174.499,12.2775223214286,27.5,0.489527272727273,216.729166666667,"burned","medium"
"20","POKE","2019","storm5d","fDOM",-0.17473773651225,4.064,11.3588116666667,30.734,143.765,196.343,12.3306453373016,24.5,0.165877551020408,221.4375,"burned","medium"
"21","POKE","2019","storm6b","fDOM",-0.358646551652778,11.684,11.1810028735632,31.369,166.117,213.996,12.7909990079365,57.5,0.2032,224.479166666667,"burned","medium"
"22","POKE","2019","storm7","fDOM",-0.384148268246542,17.272,8.30730155367231,40.513,172.721,225.934,12.2041592261905,58.5,0.295247863247863,226.9375,"burned","medium"
"23","POKE","2019","storm8","fDOM",-0.510084407284208,7.239,5.39386979166667,4.445,15.494,227.458,2.21766319444444,23.5,0.308042553191489,271.729166666667,"burned","medium"
"24","POKE","2019","storm9","fDOM",-0.520780110757419,7.366,-1.75114386792453,19.05,31.115,234.062,2.27810069444444,52.5,0.140304761904762,276.520833333333,"burned","medium"
"25","POKE","2019","storm1","SPC",0.704876273653558,5.207,14.6022275641026,6.223,25.146,37.465,17.2129915674603,25.5,0.204196078431373,180.395833333333,"burned","medium"
"26","POKE","2019","storm2","SPC",0.531354051054362,7.493,13.8809963768116,2.413,25.273,45.085,19.4915724852071,22.5,0.333022222222222,192.479166666667,"burned","medium"
"27","POKE","2019","storm3","SPC",0.844004065040637,19.813,12.2658761261261,0.127,25.527,58.42,16.6416937003968,36.5,0.542821917808219,206.229166666667,"burned","medium"
"28","POKE","2019","storm4","SPC",0.696214662194527,6.604,10.5900272988506,28.576,44.324,86.996,13.0808025793651,28.5,0.231719298245614,212.020833333333,"burned","medium"
"29","POKE","2019","storm5a","SPC",0.82433608153457,42.545,12.4356893939394,28.194,50.928,93.6,12.3291641865079,21.5,1.97883720930233,213.3125,"burned","medium"
"30","POKE","2019","storm5b","SPC",0.324804838294587,38.354,12.0352458333333,59.055,93.473,136.145,12.5228561507937,59.5,0.644605042016807,214.229166666667,"burned","medium"
"31","POKE","2019","storm5c","SPC",-0.0234009360374413,13.462,13.2003571428571,91.059,131.827,174.499,12.2775223214286,27.5,0.489527272727273,216.729166666667,"burned","medium"
