"","site.ID","year","storm.num","response","HI","precip","temp","precip.week","precip.month","ThreeMonth","temp.week","TOTAL.TIME","Intensity","doy","burn","pf"
"1","VAUL","2019","storm1","NO3",-0.28085310328301,1.4,16.0369270833333,18.2,32.8,45,18.8151621756487,47.5,0.0294736842105263,193.395833333333,"unburned","high"
"2","VAUL","2019","storm2","NO3",-0.277315165278814,5,11.953796474359,13,40.2,62.8,16.418003742515,51.5,0.0970873786407767,206.229166666667,"unburned","high"
"3","VAUL","2019","storm3","NO3",0.282845528455272,1.8,12.5442170138889,26.6,49.6,76.4,15.3729645337302,47.5,0.0378947368421053,209.395833333333,"unburned","high"
"4","VAUL","2019","storm4c","NO3",-0.0413048083033117,19.4,12.6999312617702,58.2,96,122.8,12.6462712031558,176.5,0.109915014164306,216.604166666667,"unburned","high"
"5","VAUL","2019","storm5","NO3",0.287230412230411,22.8,11.5642789855073,15.8,98.4,143.4,12.6743571428571,68.5,0.332846715328467,224.0625,"unburned","high"
"6","VAUL","2019","storm6","NO3",-0.0324035058149288,4.4,8.67860416666666,40.6,126.4,171.4,12.4727874503968,65.5,0.067175572519084,227.020833333333,"unburned","high"
"7","VAUL","2019","storm7","NO3",-0.0348837209301857,1,4.24604783950617,11.6,21,182.8,7.38429807692308,26.5,0.0377358490566038,261.270833333333,"unburned","high"
"8","VAUL","2019","storm8a","NO3",0.702763018065889,2.2,3.43580853174603,8.6,26.6,187.6,2.17696428571429,41.5,0.0530120481927711,271.604166666667,"unburned","high"
"9","VAUL","2019","storm8b","NO3",0.466195569136736,13.8,-0.0829940476190477,19.2,37.2,194,2.6145753968254,55.5,0.248648648648649,274.020833333333,"unburned","high"
"10","VAUL","2019","storm8c","NO3",-0.268793551434972,12.8,-2.08986666666667,32.8,50.8,207.6,2.36590500992064,119.5,0.107112970711297,276.354166666667,"unburned","high"
"11","VAUL","2019","storm1","fDOM",-0.157770763534722,1.4,16.0369270833333,18.2,32.8,45,18.8151621756487,47.5,0.0294736842105263,193.395833333333,"unburned","high"
"12","VAUL","2019","storm2","fDOM",-0.2495202321996,5,11.953796474359,13,40.2,62.8,16.418003742515,51.5,0.0970873786407767,206.229166666667,"unburned","high"
"13","VAUL","2019","storm3","fDOM",0.311736705817833,1.8,12.5442170138889,26.6,49.6,76.4,15.3729645337302,47.5,0.0378947368421053,209.395833333333,"unburned","high"
"14","VAUL","2019","storm4a","fDOM",0.530799435657919,17.8,12.866746031746,32.8,69.8,96.6,12.2809856150794,20.5,0.868292682926829,213.395833333333,"unburned","high"
