"","DateTime","Site","Discharge","NO3","fDOM","SpCond","Turb","day"
"1",2020-09-07 02:00:00,"CARI",636.19,29,72.15,32.88,1.93,2020-09-07
"2",2020-09-07 02:15:00,"CARI",626.2,28.9,71.51,32.89,2,2020-09-07
"3",2020-09-07 02:30:00,"CARI",631.89,28.9,71.33,32.89,1.98,2020-09-07
"4",2020-09-07 02:45:00,"CARI",630.71,28.8,71.88,32.91,2.17,2020-09-07
"5",2020-09-07 03:00:00,"CARI",630.39,28.8,71.53,32.91,2.06,2020-09-07
"6",2020-09-07 03:15:00,"CARI",651.42,28.8,71.4,32.9,2.16,2020-09-07
"7",2020-09-07 03:30:00,"CARI",649,28.8,72.38,32.92,2.19,2020-09-07
"8",2020-09-07 03:45:00,"CARI",649.34,28.7,72.84,32.92,2.21,2020-09-07
"9",2020-09-07 04:00:00,"CARI",662.29,28.8,71.33,32.94,2.19,2020-09-07
"10",2020-09-07 04:15:00,"CARI",659.29,28.7,73.66,32.94,2.27,2020-09-07
"11",2020-09-07 04:30:00,"CARI",656.64,28.7,72.36,32.94,2.63,2020-09-07
"12",2020-09-07 04:45:00,"CARI",666.33,28.6,73.21,32.95,2.53,2020-09-07
"13",2020-09-07 05:00:00,"CARI",670.95,28.6,73.84,32.96,2.47,2020-09-07
"14",2020-09-07 05:15:00,"CARI",680.72,28.6,74.64,32.92,2.55,2020-09-07
"15",2020-09-07 05:30:00,"CARI",687.82,28.6,74.44,32.9,2.49,2020-09-07
"16",2020-09-07 05:45:00,"CARI",683.9,28.5,74.62,32.87,2.87,2020-09-07
"17",2020-09-07 06:00:00,"CARI",692.87,28.5,74.65,32.85,2.85,2020-09-07
"18",2020-09-07 06:15:00,"CARI",690.16,28.4,75.86,32.84,4.56,2020-09-07
"19",2020-09-07 06:30:00,"CARI",717.84,28.3,76.13,32.85,2.96,2020-09-07
"20",2020-09-07 06:45:00,"CARI",713.4,28.2,76.18,32.82,3.09,2020-09-07
"21",2020-09-07 07:00:00,"CARI",710.91,28.2,76.41,32.79,3.22,2020-09-07
"22",2020-09-07 07:15:00,"CARI",715.13,28.2,77.3,32.77,3.51,2020-09-07
"23",2020-09-07 07:30:00,"CARI",724.54,28.1,78.47,32.78,3.61,2020-09-07
"24",2020-09-07 07:45:00,"CARI",731.83,28,78.7,32.74,3.76,2020-09-07
"25",2020-09-07 08:00:00,"CARI",744.75,33.2,79.12,32.71,3.9,2020-09-07
"26",2020-09-07 08:15:00,"CARI",725.26,25.2,76.25,32.69,4.24,2020-09-07
"27",2020-09-07 08:30:00,"CARI",742.73,24.8,80.57,32.59,4.34,2020-09-07
"28",2020-09-07 08:45:00,"CARI",742.9,24.8,67.9,32.55,4.38,2020-09-07
"29",2020-09-07 09:00:00,"CARI",751.61,26.3,100.59,32.48,4.57,2020-09-07
"30",2020-09-07 09:15:00,"CARI",761.57,26.2,91.33,32.4,4.55,2020-09-07
"31",2020-09-07 09:30:00,"CARI",759.33,25.9,93.07,32.24,5.18,2020-09-07
"32",2020-09-07 09:45:00,"CARI",774.91,25.8,94.99,32.11,6.67,2020-09-07
"33",2020-09-07 10:00:00,"CARI",755.58,25.8,94.41,31.8,5.24,2020-09-07
"34",2020-09-07 10:15:00,"CARI",771.21,25.9,95.53,32.36,4.59,2020-09-07
