"","DateTime","Site","Discharge","NO3","fDOM","SpCond","Turb","day"
"1",2020-08-02 02:00:00,"CARI",600.84,26.6,67.15,77.78,-4.98,2020-08-02
"2",2020-08-02 02:15:00,"CARI",604.23,26.6,67.25,77.77,-5.2,2020-08-02
"3",2020-08-02 02:30:00,"CARI",614.57,26.6,67.3,77.72,-5.23,2020-08-02
"4",2020-08-02 02:45:00,"CARI",615.59,26.6,67.38,77.58,-5.09,2020-08-02
"5",2020-08-02 03:00:00,"CARI",628.02,26.5,67.56,77.5,-4.95,2020-08-02
"6",2020-08-02 03:15:00,"CARI",627.62,26.5,67.74,77.34,-4.63,2020-08-02
"7",2020-08-02 03:30:00,"CARI",620.77,26.4,67.94,77.18,-4.33,2020-08-02
"8",2020-08-02 03:45:00,"CARI",631.28,26.4,68.23,77.08,-4.77,2020-08-02
"9",2020-08-02 04:00:00,"CARI",651.55,26.3,67.89,77.09,-4.67,2020-08-02
"10",2020-08-02 04:15:00,"CARI",651.39,26.3,68.46,77.07,-4.23,2020-08-02
"11",2020-08-02 04:30:00,"CARI",641.37,26.3,69.02,77.14,-4.4,2020-08-02
"12",2020-08-02 04:45:00,"CARI",650.98,26.2,69.26,77.13,-4.46,2020-08-02
"13",2020-08-02 05:00:00,"CARI",665.42,26.1,69.97,77.04,-4.6,2020-08-02
"14",2020-08-02 05:15:00,"CARI",656.8,26,70.38,77,-4.68,2020-08-02
"15",2020-08-02 05:30:00,"CARI",663.9,25.9,69.76,76.93,-4.61,2020-08-02
"16",2020-08-02 05:45:00,"CARI",664.75,25.9,71.11,76.75,-4.62,2020-08-02
"17",2020-08-02 06:00:00,"CARI",670.78,25.8,71.26,76.59,-4.66,2020-08-02
"18",2020-08-02 06:15:00,"CARI",661.93,25.7,81.43,76.46,-4.45,2020-08-02
"19",2020-08-02 06:30:00,"CARI",677.56,25.7,72.22,76.33,-4.59,2020-08-02
"20",2020-08-02 06:45:00,"CARI",685.76,25.5,72.44,76.08,-4.5,2020-08-02
"21",2020-08-02 07:00:00,"CARI",683.75,25.4,71.97,75.8,-4.51,2020-08-02
"22",2020-08-02 07:15:00,"CARI",686.98,25.2,73.24,75.56,-4.36,2020-08-02
"23",2020-08-02 07:30:00,"CARI",706.11,25.1,-0.12,75.27,-4.02,2020-08-02
"24",2020-08-02 07:45:00,"CARI",717.9,24.9,-0.8,74.99,-3.42,2020-08-02
"25",2020-08-02 08:00:00,"CARI",733.67,24.7,75.14,74.72,-2.94,2020-08-02
"26",2020-08-02 08:15:00,"CARI",741.46,24.6,76.82,74.54,-2.52,2020-08-02
"27",2020-08-02 08:30:00,"CARI",760.75,24.4,77.36,74.33,-2.69,2020-08-02
"28",2020-08-02 08:45:00,"CARI",751.07,24.4,78.66,74.08,-1.96,2020-08-02
"29",2020-08-02 09:00:00,"CARI",771.62,24.3,80.64,73.75,-1.19,2020-08-02
"30",2020-08-02 09:15:00,"CARI",789.17,24.2,79.94,73.31,-0.66,2020-08-02
