"","storm.num","TOTAL.TIME","site.ID","year","response","HI","precip","temp","precip.week","precip.month","ThreeMonth","temp.week","Intensity","doy","burn","pf"
"1","storm1",50.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.25,"burned","medium"
"2","storm2a",25.5,"CARI","2020","NO3",0.475609756097561,19.94,11.7087948717949,6.858,6.858,6.858,14.9436794354839,0.781960784313725,170.5,"burned","medium"
"3","storm2b",23.5,"CARI","2020","NO3",0.342592592592593,16.764,11.9809895833333,26.798,26.798,26.798,13.9913697916667,0.71336170212766,171.583333333333,"burned","medium"
"4","storm2c",38.5,"CARI","2020","NO3",-0.425675675675676,11.049,9.22646794871795,43.816,43.816,43.816,13.5332898065476,0.286987012987013,172.583333333333,"burned","medium"
"5","storm3",69.5,"CARI","2020","NO3",0.2,16.637,10.1158497807018,54.611,54.611,54.611,12.4037508278146,0.239381294964029,174.291666666667,"burned","medium"
"6","storm4",38.5,"CARI","2020","NO3",0.669642857142857,11.43,11.9569668803419,65.152,71.248,71.248,10.4735532544379,0.296883116883117,190.416666666667,"burned","medium"
"7","storm5",54.5,"CARI","2020","NO3",0.416666666666667,19.939,12.7206833333333,47.117,82.678,82.678,10.4274701676529,0.365853211009174,194.208333333333,"burned","medium"
"8","storm6",45.5,"CARI","2020","NO3",0.222222222222222,8.636,11.0035688405797,48.006,102.617,102.617,11.4320465976331,0.189802197802198,205.583333333333,"burned","medium"
"9","storm7",76.5,"CARI","2020","NO3",0.15,18.034,11.2670487012987,40.132,111.253,111.253,11.9857921597633,0.235738562091503,208.291666666667,"burned","medium"
"10","storm8a",27.5,"CARI","2020","NO3",0.48780487804878,14.224,13.3135267857143,35.687,129.287,129.287,11.7225448717949,0.517236363636364,214.041666666667,"burned","medium"
"11","storm8b",119.5,"CARI","2020","NO3",0.0295698924731182,44.069,13.1458760245902,44.577,143.511,143.511,11.7435722386588,0.368778242677824,215.208333333333,"burned","medium"
"12","storm9",24.5,"CARI","2020","NO3",0.694444444444444,9.779,9.00537833333333,58.293,187.58,187.58,13.0958405257937,0.399142857142857,250.041666666667,"burned","medium"
"13","storm2a",25.5,"CARI","2020","fDOM",-0.392109530032426,19.94,11.7087948717949,6.858,6.858,6.858,14.9436794354839,0.781960784313725,170.5,"burned","medium"
"14","storm4",38.5,"CARI","2020","fDOM",-0.674407974925993,11.43,11.9569668803419,65.152,71.248,71.248,10.4735532544379,0.296883116883117,190.416666666667,"burned","medium"
