"","site.ID","year","storm.num","response","HI","precip","temp","precip.week","precip.month","ThreeMonth","temp.week","TOTAL.TIME","Intensity","doy","burn","pf","date","TimeSinceChena"
"1","MOOS","2020","storm1","NO3",0.257964483980037,67.4000000000001,10.8666277777778,35,41,41,14.4816976686508,180.5,0.373407202216067,172.09375,"burned","medium",2020-06-21,43.09375
"2","MOOS","2020","storm2","NO3",-0.135939741750357,7.6,8.42897016460905,49.4000000000001,112.8,112.8,10.8765168650794,81.5,0.0932515337423313,179.71875,"burned","medium",2020-06-28,50.71875
"3","MOOS","2020","storm3","NO3",0.627330126277796,5.4,12.57908984375,28.6,179.4,211.8,13.0663514384921,32,0.16875,199.78125,"burned","medium",2020-07-18,70.78125
"4","MOOS","2020","storm4","NO3",0.339987155602095,38,10.982396875,33.4,126,217.6,13.480068452381,80,0.475,201.78125,"burned","medium",2020-07-20,72.78125
"5","MOOS","2020","storm5","NO3",-0.351177955405962,5.8,10.9127830687831,43,144.4,260.2,11.7164226190476,62.75,0.0924302788844622,208.28125,"burned","medium",2020-07-27,79.28125
"6","MOOS","2020","storm6a","NO3",0.912781762295091,0.6,13.1944444444444,23.4,160,280.399999999999,13.8760243055556,26.75,0.0224299065420561,214.15625,"burned","medium",2020-08-02,85.15625
"7","MOOS","2020","storm6b","NO3",-0.336298258269859,13,12.7073813657407,20.6,160.4,280.799999999999,13.9590510912698,71.75,0.181184668989547,215.28125,"burned","medium",2020-08-03,86.28125
"8","MOOS","2020","storm7a","NO3",0.654828691644942,27,10.6358170289855,14.4,112,295.199999999999,12.5729704861111,68.75,0.392727272727272,221.739583333333,"burned","medium",2020-08-09,92.7395833333321
"9","MOOS","2020","storm7b","NO3",-0.136111111111142,3.2,11.2697110507246,28.4,134,322.199999999998,11.8447638888889,46.25,0.0691891891891892,224.677083333333,"burned","medium",2020-08-12,95.6770833333321
"10","MOOS","2020","storm9","NO3",0.16342788074059,0,3.35583910891089,16.2,41.6,345.599999999998,7.1641976686508,101,0,252.645833333333,"burned","medium",2020-09-09,123.645833333332
"11","MOOS","2020","storm1","fDOM",-0.203334692547999,67.4000000000001,10.8666277777778,35,41,41,14.4816976686508,180.5,0.373407202216067,172.09375,"burned","medium",2020-06-21,43.09375
"12","MOOS","2020","storm2","fDOM",0.1623852373171,7.6,8.42897016460905,49.4000000000001,112.8,112.8,10.8765168650794,81.5,0.0932515337423313,179.71875,"burned","medium",2020-06-28,50.71875
"13","MOOS","2020","storm3","fDOM",-0.882601426474824,5.4,12.57908984375,28.6,179.4,211.8,13.0663514384921,32,0.16875,199.78125,"burned","medium",2020-07-18,70.78125
"14","MOOS","2020","storm4","fDOM",-0.795216535947986,38,10.982396875,33.4,126,217.6,13.480068452381,80,0.475,201.78125,"burned","medium",2020-07-20,72.78125
"15","MOOS","2020","storm5","fDOM",-0.273329384312219,5.8,10.9127830687831,43,144.4,260.2,11.7164226190476,62.75,0.0924302788844622,208.28125,"burned","medium",2020-07-27,79.28125
"16","MOOS","2020","storm6a","fDOM",0.205427515193441,0.6,13.1944444444444,23.4,160,280.399999999999,13.8760243055556,26.75,0.0224299065420561,214.15625,"burned","medium",2020-08-02,85.15625
"17","MOOS","2020","storm6b","fDOM",0.349538145841157,13,12.7073813657407,20.6,160.4,280.799999999999,13.9590510912698,71.75,0.181184668989547,215.28125,"burned","medium",2020-08-03,86.28125
"18","MOOS","2020","storm7a","fDOM",0.230660972498231,27,10.6358170289855,14.4,112,295.199999999999,12.5729704861111,68.75,0.392727272727272,221.739583333333,"burned","medium",2020-08-09,92.7395833333321
"19","MOOS","2020","storm7b","fDOM",0.019255563176479,3.2,11.2697110507246,28.4,134,322.199999999998,11.8447638888889,46.25,0.0691891891891892,224.677083333333,"burned","medium",2020-08-12,95.6770833333321
"20","MOOS","2020","storm9","fDOM",0.210225053598436,0,3.35583910891089,16.2,41.6,345.599999999998,7.1641976686508,101,0,252.645833333333,"burned","medium",2020-09-09,123.645833333332
