"","date_timeAK","fDOMQSU","SpConduScm","TurbidityFNU","site.ID"
"1",2018-06-20 04:45:00,65.32,78.6,6.62,"FRCH"
"2",2018-06-20 04:45:00,65.32,78.6,6.61,"FRCH"
"3",2018-06-20 04:45:00,65.29,78.6,6.68,"FRCH"
"4",2018-06-20 04:45:00,65.28,78.6,6.71,"FRCH"
"5",2018-06-20 04:45:00,65.26,78.6,6.91,"FRCH"
"6",2018-06-20 04:45:00,65.23,78.7,6.81,"FRCH"
"7",2018-06-20 05:00:00,63.34,78.6,6.17,"FRCH"
"8",2018-06-20 05:00:00,63.33,78.6,6.5,"FRCH"
"9",2018-06-20 05:00:00,63.31,78.7,6.9,"FRCH"
"10",2018-06-20 05:00:00,63.3,78.7,6.81,"FRCH"
"11",2018-06-20 05:00:00,63.3,78.7,6.84,"FRCH"
"12",2018-06-20 05:00:00,63.29,78.7,6.74,"FRCH"
"13",2018-06-20 05:15:00,61.13,78.6,6.47,"FRCH"
"14",2018-06-20 05:15:00,61.13,78.6,6.45,"FRCH"
"15",2018-06-20 05:15:00,61.12,78.7,6.53,"FRCH"
"16",2018-06-20 05:15:00,61.11,78.7,6.59,"FRCH"
"17",2018-06-20 05:15:00,61.11,78.7,6.62,"FRCH"
"18",2018-06-20 05:15:00,61.1,78.7,6.61,"FRCH"
"19",2018-06-20 05:30:00,55.31,78.6,9.45,"FRCH"
"20",2018-06-20 05:30:00,55.32,78.6,9.36,"FRCH"
"21",2018-06-20 05:30:00,55.34,78.6,9.49,"FRCH"
"22",2018-06-20 05:30:00,55.33,78.6,9.33,"FRCH"
"23",2018-06-20 05:30:00,55.34,78.7,9.19,"FRCH"
"24",2018-06-20 05:30:00,55.36,78.7,9.5,"FRCH"
"25",2018-06-20 05:45:00,53.56,78.6,5.82,"FRCH"
"26",2018-06-20 05:45:00,53.54,78.6,5.76,"FRCH"
"27",2018-06-20 05:45:00,53.53,78.6,5.76,"FRCH"
"28",2018-06-20 05:45:00,53.52,78.6,5.76,"FRCH"
"29",2018-06-20 05:45:00,53.51,78.7,5.8,"FRCH"
"30",2018-06-20 05:45:00,53.5,78.7,5.76,"FRCH"
"31",2018-06-20 06:00:00,51.91,78.6,6.28,"FRCH"
"32",2018-06-20 06:00:00,51.91,78.6,6.32,"FRCH"
"33",2018-06-20 06:00:00,51.91,78.6,6.36,"FRCH"
"34",2018-06-20 06:00:00,51.9,78.6,6.49,"FRCH"
"35",2018-06-20 06:00:00,51.9,78.6,6.71,"FRCH"
"36",2018-06-20 06:00:00,51.91,78.7,6.78,"FRCH"
"37",2018-06-20 06:15:00,51.39,78.6,5.47,"FRCH"
"38",2018-06-20 06:15:00,51.39,78.6,5.51,"FRCH"
"39",2018-06-20 06:15:00,51.39,78.6,5.52,"FRCH"
"40",2018-06-20 06:15:00,51.37,78.6,5.53,"FRCH"
