"valuedatetime";"datavalue"
2018-07-14 14:30:00;72,1683333333333
2018-07-14 15:00:00;72,1233333333333
2018-07-14 15:30:00;71,89
2018-07-14 16:00:00;71,525
2018-07-14 16:30:00;71,3
2018-07-14 17:00:00;71,0933333333333
2018-07-14 17:30:00;71,1016666666667
2018-07-14 18:00:00;71,05
2018-07-14 18:30:00;70,9466666666667
2018-07-14 19:00:00;70,86
2018-07-14 19:30:00;70,8183333333333
2018-07-14 20:00:00;70,6866666666667
2018-07-14 20:30:00;70,6616666666667
2018-07-14 21:00:00;70,5783333333333
2018-07-14 21:30:00;70,5366666666667
2018-07-14 22:00:00;70,4583333333333
2018-07-14 22:30:00;70,3133333333333
2018-07-14 23:00:00;70,2616666666667
2018-07-14 23:30:00;70,1316666666667
2018-07-15 00:00:00;70,1483333333333
2018-07-15 00:30:00;70,195
2018-07-15 01:00:00;70,2833333333333
2018-07-15 01:30:00;70,33
2018-07-15 02:00:00;70,2866666666667
2018-07-15 02:30:00;70,1933333333333
2018-07-15 03:00:00;70,2016666666667
2018-07-15 03:30:00;70,3083333333333
2018-07-15 04:00:00;70,335
2018-07-15 04:30:00;70,4133333333333
2018-07-15 05:00:00;70,3633333333333
2018-07-15 05:30:00;69,8783333333333
2018-07-15 06:00:00;70,225
2018-07-15 06:30:00;70,3266666666667
2018-07-11 04:45:00;60,1433333333333
2018-07-11 05:15:00;55,8316666666667
2018-07-11 05:45:00;59,6383333333333
2018-07-11 06:15:00;63,0533333333333
2018-07-11 06:45:00;60,4416666666667
2018-07-11 07:15:00;62,5133333333333
2018-07-11 07:45:00;62,2266666666667
2018-07-11 08:15:00;59,0366666666667
2018-07-11 08:45:00;60,9583333333333
2018-07-11 09:15:00;62,88
2018-07-11 09:45:00;53,7066666666667
2018-07-11 10:15:00;59,5216666666667
2018-07-11 10:45:00;61,065
2018-07-11 11:15:00;60,065
2018-07-11 11:45:00;62,3483333333333
2018-07-11 12:15:00;64,46
2018-07-11 12:45:00;NA
2018-07-11 13:15:00;NA
2018-07-11 13:45:00;NA
2018-07-11 14:15:00;78,8766666666667
2018-07-11 14:45:00;77,4683333333333
2018-07-11 15:15:00;77,32
2018-07-11 15:45:00;77,4666666666667
2018-07-11 16:15:00;77,5016666666667
2018-07-11 16:45:00;77,7466666666667
2018-07-11 17:15:00;77,9783333333333
2018-07-11 17:45:00;78,21
2018-07-11 18:15:00;78,4116666666667
2018-07-11 18:45:00;78,93
2018-07-11 19:15:00;79,34
2018-07-11 19:45:00;79,54
2018-07-11 20:15:00;80,045
2018-07-11 20:45:00;80,3
2018-07-11 21:15:00;80,845
2018-07-11 21:45:00;81,0616666666667
2018-07-11 22:15:00;81,4366666666667
2018-07-11 22:45:00;81,4816666666667
2018-07-11 23:15:00;80,6516666666667
2018-07-11 23:45:00;81,7933333333333
2018-07-12 00:15:00;82,095
2018-07-12 00:45:00;82,1366666666667
2018-07-12 01:15:00;82,56
2018-07-12 01:45:00;82,8266666666667
2018-07-12 02:15:00;82,97
2018-07-12 02:45:00;83,2216666666667
2018-07-12 03:15:00;83,82
2018-07-12 03:45:00;84,3466666666667
2018-07-12 04:15:00;84,4083333333333
2018-07-12 04:45:00;84,9366666666667
2018-07-12 05:15:00;85,1633333333333
2018-07-12 05:45:00;85,8883333333333
2018-07-12 06:15:00;85,64
2018-07-12 06:45:00;85,985
2018-07-12 07:15:00;86,3566666666667
2018-07-12 07:45:00;87,1866666666667
2018-07-12 08:15:00;87,2716666666667
2018-07-12 08:45:00;88,0016666666667
2018-07-12 09:15:00;88,2866666666667
2018-07-12 09:45:00;88,46
2018-07-12 10:15:00;88,755
2018-07-12 10:45:00;88,7283333333333
2018-07-12 11:15:00;88,5783333333333
2018-07-12 11:45:00;88,5233333333333
2018-07-12 12:15:00;88,5966666666667
2018-07-12 12:45:00;88,735
2018-07-12 13:15:00;88,745
2018-07-12 13:45:00;88,5683333333333
2018-07-12 14:15:00;88,715
2018-07-12 14:45:00;88,3433333333333
2018-07-12 15:15:00;88,0416666666667
2018-07-12 15:45:00;87,525
2018-07-12 16:15:00;87,3133333333333
2018-07-12 16:45:00;86,9883333333333
2018-07-12 17:15:00;86,7266666666667
2018-07-12 17:45:00;86,42
2018-07-12 18:15:00;86,2416666666667
2018-07-12 18:45:00;85,8383333333333
2018-07-12 19:15:00;85,7683333333333
2018-07-12 19:45:00;85,63
2018-07-12 20:15:00;85,4683333333333
2018-07-12 20:45:00;85,585
2018-07-12 21:15:00;85,5
2018-07-12 21:45:00;85,2216666666667
2018-07-12 22:15:00;84,9983333333333
2018-07-12 22:45:00;84,8283333333333
2018-07-12 23:15:00;84,6616666666667
2018-07-12 23:45:00;84,395
2018-07-13 00:15:00;84,2766666666667
2018-07-13 00:45:00;84,105
2018-07-13 01:15:00;83,9233333333333
2018-07-13 01:45:00;83,6166666666667
2018-07-13 02:15:00;83,5616666666667
2018-07-13 02:45:00;83,4333333333333
2018-07-13 03:15:00;83,2583333333333
2018-07-13 03:45:00;83,07
2018-07-13 04:15:00;83,1133333333333
2018-07-13 04:45:00;83,0275
2018-07-13 05:15:00;82,9166666666667
2018-07-13 05:45:00;82,82
2018-07-13 06:15:00;82,91
2018-07-13 06:45:00;82,8133333333333
2018-07-13 07:15:00;82,7416666666667
2018-07-13 07:45:00;82,6666666666667
2018-07-13 08:15:00;82,5983333333333
2018-07-13 08:45:00;82,565
2018-07-13 09:15:00;82,25
2018-07-13 09:45:00;82,1766666666667
2018-07-13 10:15:00;81,865
2018-07-13 10:45:00;81,5616666666667
2018-07-13 11:15:00;81
2018-07-13 11:45:00;80,69
2018-07-13 12:15:00;80,1916666666667
2018-07-13 12:45:00;79,745
2018-07-13 13:15:00;79,1516666666667
2018-07-13 13:45:00;78,5916666666667
2018-07-13 14:15:00;78,4616666666667
2018-07-13 14:45:00;78,1183333333333
2018-07-13 15:15:00;77,825
2018-07-13 15:45:00;77,5
2018-07-13 16:15:00;77,2333333333333
2018-07-13 16:45:00;77,01
2018-07-13 17:15:00;76,8916666666667
2018-07-13 17:45:00;76,4116666666667
2018-07-13 18:15:00;76,1283333333333
2018-07-13 18:45:00;75,8516666666667
2018-07-13 19:15:00;75,7566666666667
2018-07-13 19:45:00;75,5033333333333
2018-07-13 20:15:00;75,4183333333333
2018-07-13 20:45:00;75,3166666666667
2018-07-13 21:15:00;75,25
2018-07-13 21:45:00;75,1533333333333
2018-07-13 22:15:00;75,13
2018-07-13 22:45:00;74,8966666666667
2018-07-13 23:15:00;74,77
2018-07-13 23:45:00;74,6133333333333
2018-07-14 00:15:00;74,5033333333333
2018-07-14 00:45:00;74,4516666666667
2018-07-14 01:15:00;74,2666666666667
2018-07-14 01:45:00;74,1966666666667
2018-07-14 02:15:00;73,9866666666667
2018-07-14 02:45:00;73,9633333333333
2018-07-14 03:15:00;73,8616666666667
2018-07-14 03:45:00;73,9083333333333
2018-07-14 04:15:00;73,7966666666667
2018-07-14 04:45:00;73,7916666666667
2018-07-14 05:15:00;73,3733333333333
2018-07-14 05:45:00;73,6766666666667
2018-07-14 06:15:00;73,6366666666667
2018-07-14 06:45:00;73,82
2018-07-14 07:15:00;73,96
2018-07-14 07:45:00;73,9066666666667
2018-07-14 08:15:00;74,0283333333333
2018-07-14 08:45:00;73,92
2018-07-14 09:15:00;73,8216666666667
2018-07-14 09:45:00;73,7783333333333
2018-07-14 10:15:00;73,745
2018-07-14 10:45:00;73,505
2018-07-14 11:15:00;73,675
2018-07-14 11:45:00;73,6683333333333
2018-07-14 12:15:00;73,55
2018-07-14 12:45:00;73,4816666666667
2018-07-14 13:15:00;73,16
2018-07-14 13:45:00;72,71
2018-07-14 14:15:00;72,3633333333333
2018-07-14 14:45:00;72,1783333333333
2018-07-14 15:15:00;71,9966666666667
2018-07-14 15:45:00;71,7983333333333
2018-07-14 16:15:00;71,3616666666667
2018-07-14 16:45:00;71,0816666666667
2018-07-14 17:15:00;71,1283333333333
2018-07-14 17:45:00;71,0316666666667
2018-07-14 18:15:00;70,985
2018-07-14 18:45:00;70,87
2018-07-14 19:15:00;70,8366666666667
2018-07-14 19:45:00;70,8133333333333
2018-07-14 20:15:00;70,725
2018-07-14 20:45:00;70,5683333333333
2018-07-14 21:15:00;70,5733333333333
2018-07-14 21:45:00;70,475
2018-07-14 22:15:00;70,37
2018-07-14 22:45:00;70,2433333333333
2018-07-14 23:15:00;70,1683333333333
2018-07-14 23:45:00;70,1133333333333
2018-07-15 00:15:00;70,1783333333333
2018-07-15 00:45:00;70,21
2018-07-15 01:15:00;70,2933333333333
2018-07-15 01:45:00;70,3183333333333
2018-07-15 02:15:00;70,24
2018-07-15 02:45:00;70,2016666666667
2018-07-15 03:15:00;70,28
2018-07-15 03:45:00;70,3516666666667
2018-07-15 04:15:00;70,3766666666667
2018-07-15 04:45:00;70,4083333333333
2018-07-15 05:15:00;70,28
2018-07-15 05:45:00;70,13
2018-07-15 06:15:00;70,2966666666667
2018-07-15 06:45:00;70,395
