"","pf","response_var","AverageCVHI","AverageCVFI","AverageCVBETA","burn","Pf_Prob_1m_mean_x","pctburn_lg","Slope","NDVI"
"1","high","fDOM",0.824967372380014,-0.303659336040664,0.172599388220352,"burned","28.71","67.35","13.65744347","0.226596282"
"2","high","NO3",0.974596230342894,-2.467602129346,-2.37043942607918,"burned","28.71","67.35","13.65744347","0.226596282"
"3","high","SPC",1.02154196283067,-0.777029800101023,-2.41963474350436,"burned","28.71","67.35","13.65744347","0.226596282"
"4","high","turb",38.3620652796066,0.833662090527671,1.11191207221767,"burned","28.71","67.35","13.65744347","0.226596282"
"5","medium","fDOM",-1.25986391027965,0.454779022025758,1.38652508415566,"burned","38.91","0","11.29107044","0.226663862"
"6","medium","NO3",3.61600070096936,-1.01625723964427,-4.11355558293097,"burned","38.91","0","11.29107044","0.226663862"
"7","medium","SPC",-0.442794322455046,-0.891106427542429,6.4096877266789,"burned","38.91","0","11.29107044","0.226663862"
"8","medium","turb",4.55865056849742,4.42151439882207,1.0838094102787,"burned","38.91","0","11.29107044","0.226663862"
