"","year","medianfDOM","medianNO3","medianSPC","medianTURB"
"1","2018",76.4353333333333,28.3,67.9133333333333,-1.909
"2","2019",43.35,28.7,87.9881666666667,1.27866666666667
"3","2020",68.6176666666667,27,62.7416666666667,0.9125
"4","2021",40.8536666666667,28.6,82.6342528735632,1.64683333333333
"5","2022",43.6983333333333,24.4,84.801,1.92883333333333
