"","site.ID","datetimeAK","fDOM","SPC","Turb","NO3","Q","MeanDischarge","DateTime","nitrateuM","fDOM.QSU","SpCond.uScm","Turbidity.FNU"
"7971","FRCH",2021-08-17 01:45:00,NA,93.9181818181818,65.7236363636364,14.8580498563288,510.927663836002,510.927663836002,2021-08-17 01:45:00,14.8580498563288,NA,93.9181818181818,65.7236363636364
"7972","FRCH",2021-08-17 02:00:00,NA,93.9545454545455,69.7127272727273,14.8178185402798,510.549996426111,510.549996426111,2021-08-17 02:00:00,14.8178185402798,NA,93.9545454545455,69.7127272727273
"7973","FRCH",2021-08-17 02:15:00,76.7045454545455,93.8636363636364,68.2845454545455,14.8154519922769,512.85429368919,512.85429368919,2021-08-17 02:15:00,14.8154519922769,76.7045454545455,93.8636363636364,68.2845454545455
"7974","FRCH",2021-08-17 02:30:00,74.8918181818182,93.8727272727273,72.1318181818182,14.8438505683115,512.85429368919,512.85429368919,2021-08-17 02:30:00,14.8438505683115,74.8918181818182,93.8727272727273,72.1318181818182
"7975","FRCH",2021-08-17 02:45:00,NA,93.6818181818182,73.9809090909091,14.8414840203086,514.711596840076,514.711596840076,2021-08-17 02:45:00,14.8414840203086,NA,93.6818181818182,73.9809090909091
"7976","FRCH",2021-08-17 03:00:00,75.2572727272727,93.7909090909091,69.9036363636364,14.7373559081818,516.53423663984,516.53423663984,2021-08-17 03:00:00,14.7373559081818,75.2572727272727,93.7909090909091,69.9036363636364
"7977","FRCH",2021-08-17 03:15:00,76.2263636363636,93.8545454545455,62.3572727272727,14.7089573321472,516.981230752004,516.981230752004,2021-08-17 03:15:00,14.7089573321472,76.2263636363636,93.8545454545455,62.3572727272727
"7978","FRCH",2021-08-17 03:30:00,78.7909090909091,93.9272727272727,58.9590909090909,14.6616263720895,518.39153979074,518.39153979074,2021-08-17 03:30:00,14.6616263720895,78.7909090909091,93.9272727272727,58.9590909090909
"7979","FRCH",2021-08-17 03:45:00,NA,93.8181818181818,63.7845454545455,14.7399375969122,522.587803555827,522.587803555827,2021-08-17 03:45:00,14.7399375969122,NA,93.8181818181818,63.7845454545455
"7980","FRCH",2021-08-17 04:00:00,80.8254545454545,93.7363636363636,58.6309090909091,14.665833568539,522.622466906978,522.622466906978,2021-08-17 04:00:00,14.665833568539,80.8254545454545,93.7363636363636,58.6309090909091
"7981","FRCH",2021-08-17 04:15:00,78.47,93.7272727272727,59.77,14.7605911067556,523.104124370278,523.104124370278,2021-08-17 04:15:00,14.7605911067556,78.47,93.7272727272727,59.77
"7982","FRCH",2021-08-17 04:30:00,NA,93.7454545454545,59.3681818181818,14.5991495048134,523.585781833579,523.585781833579,2021-08-17 04:30:00,14.5991495048134,NA,93.7454545454545,59.3681818181818
"7983","FRCH",2021-08-17 04:45:00,79.2309090909091,93.7363636363636,61.6618181818182,14.6685108753706,525.443084984479,525.443084984479,2021-08-17 04:45:00,14.6685108753706,79.2309090909091,93.7363636363636,61.6618181818182
"7984","FRCH",2021-08-17 05:00:00,80.8245454545455,93.6363636363636,54.3136363636364,14.6332277960549,528.606707120693,528.606707120693,2021-08-17 05:00:00,14.6332277960549,80.8245454545455,93.6363636363636,54.3136363636364
"7985","FRCH",2021-08-17 05:15:00,75.0927272727273,93.8454545454545,60.4945454545455,14.578151769806,529.088364583993,529.088364583993,2021-08-17 05:15:00,14.578151769806,75.0927272727273,93.8454545454545,60.4945454545455
"7986","FRCH",2021-08-17 05:30:00,79.7581818181818,93.7454545454545,64.3718181818182,14.6185982265826,533.249964997944,533.249964997944,2021-08-17 05:30:00,14.6185982265826,79.7581818181818,93.7454545454545,64.3718181818182
"7987","FRCH",2021-08-17 05:45:00,77.75,93.6545454545455,59.5272727272727,14.5609405116032,533.319291700216,533.319291700216,2021-08-17 05:45:00,14.5609405116032,77.75,93.6545454545455,59.5272727272727
"7988","FRCH",2021-08-17 06:00:00,78.1627272727273,93.6545454545455,57.8909090909091,14.5325419355686,536.105246426581,536.105246426581,2021-08-17 06:00:00,14.5325419355686,78.1627272727273,93.6545454545455,57.8909090909091
"7989","FRCH",2021-08-17 06:15:00,84.8818181818182,93.6272727272727,56.5736363636364,14.54114756467,537.962549577482,537.962549577482,2021-08-17 06:15:00,14.54114756467,84.8818181818182,93.6272727272727,56.5736363636364
"7990","FRCH",2021-08-17 06:30:00,83.0981818181818,93.6090909090909,56.4681818181818,14.5247968693773,538.409543689646,538.409543689646,2021-08-17 06:30:00,14.5247968693773,83.0981818181818,93.6090909090909,56.4681818181818
"7991","FRCH",2021-08-17 06:45:00,85.4318181818182,93.6636363636364,54.9890909090909,14.517051803186,540.266846840546,540.266846840546,2021-08-17 06:45:00,14.517051803186,85.4318181818182,93.6636363636364,54.9890909090909
"7992","FRCH",2021-08-17 07:00:00,85.86,93.5181818181818,58.1863636363636,14.4077603135984,541.642492528146,541.642492528146,2021-08-17 07:00:00,14.4077603135984,85.86,93.5181818181818,58.1863636363636
"7993","FRCH",2021-08-17 07:15:00,85.03,93.5727272727273,53.3781818181818,14.4740236576791,544.944768068934,544.944768068934,2021-08-17 07:15:00,14.4740236576791,85.03,93.5727272727273,53.3781818181818
"7994","FRCH",2021-08-17 07:30:00,83.1154545454545,93.4454545454546,54.8581818181818,14.5368447501193,548.177716907434,548.177716907434,2021-08-17 07:30:00,14.5368447501193,83.1154545454545,93.4454545454546,54.8581818181818
