"","DateTime","Site","MeanDischarge","day","fDOM.QSU","SpCond.uScm","Turbidity.FNU","nitrateuM"
"4372",2018-08-28 15:00:00,"MOOS",1776.38607039413,"2018-08-28T08:00:00Z",222.79,93.3,38.97,NA
"4373",2018-08-28 15:30:00,"MOOS",1770.43294390058,"2018-08-28T08:00:00Z",223.39,93.3,28.5,NA
"4374",2018-08-28 16:00:00,"MOOS",1767.45638065378,"2018-08-28T08:00:00Z",223.87,93.2,30.66,22.2377777777778
"4375",2018-08-28 16:30:00,"MOOS",1785.31576013454,"2018-08-28T08:00:00Z",223.75,93.1,23.25,NA
"4376",2018-08-28 17:00:00,"MOOS",1788.29232338135,"2018-08-28T08:00:00Z",224.32,93.1,41.47,NA
"4377",2018-08-28 17:30:00,"MOOS",1794.2454498749,"2018-08-28T08:00:00Z",224.2,92.9,29,NA
"4378",2018-08-28 18:00:00,"MOOS",1829.96420883643,"2018-08-28T08:00:00Z",223.73,92.8,28.93,NA
"4379",2018-08-28 18:30:00,"MOOS",1844.8470250704,"2018-08-28T08:00:00Z",223.35,92.8,58.96,NA
"4380",2018-08-28 19:00:00,"MOOS",1898.42516351276,"2018-08-28T08:00:00Z",221.99,92.7,50.78,NA
"4381",2018-08-28 19:30:00,"MOOS",1904.37829000637,"2018-08-28T08:00:00Z",220.65,92.6,33.2,NA
"4382",2018-08-28 20:00:00,"MOOS",1957.95642844873,"2018-08-28T08:00:00Z",218.63,92.5,37.13,NA
"4383",2018-08-28 20:30:00,"MOOS",1984.74549766985,"2018-08-28T08:00:00Z",209.75,92.6,38.63,NA
"4384",2018-08-28 21:00:00,"MOOS",2017.4876933847,"2018-08-28T08:00:00Z",215.81,93,54.54,NA
"4385",2018-08-28 21:30:00,"MOOS",2074.04239507375,"2018-08-28T08:00:00Z",211.12,93,50.87,NA
"4386",2018-08-28 22:00:00,"MOOS",2071.065831827,"2018-08-28T08:00:00Z",209.85,93,46.54,NA
"4387",2018-08-28 22:30:00,"MOOS",2091.90177455451,"2018-08-28T08:00:00Z",206.56,92.9,52.44,NA
"4388",2018-08-28 23:00:00,"MOOS",2103.80802754179,"2018-08-28T08:00:00Z",202.52,93,77.09,NA
"4389",2018-08-28 23:30:00,"MOOS",2175.24554546492,"2018-08-28T08:00:00Z",NA,92.8,58.82,NA
"4390",2018-08-29 00:00:00,"MOOS",2172.26898221811,"2018-08-28T08:00:00Z",200,92,80.09,NA
"4391",2018-08-29 00:30:00,"MOOS",2205.01117793284,"2018-08-28T08:00:00Z",NA,91.4,72.93,NA
"4392",2018-08-29 01:00:00,"MOOS",2213.94086767326,"2018-08-28T08:00:00Z",NA,90.7,97.51,NA
"4393",2018-08-29 01:30:00,"MOOS",2225.84712066042,"2018-08-28T08:00:00Z",NA,90.3,87.61,NA
"4394",2018-08-29 02:00:00,"MOOS",2243.70650014118,"2018-08-28T08:00:00Z",NA,89.9,92.06,NA
"4395",2018-08-29 02:30:00,"MOOS",2196.08148819249,"2018-08-28T08:00:00Z",NA,89.7,92.32,NA
"4396",2018-08-29 03:00:00,"MOOS",2184.17523520527,"2018-08-28T08:00:00Z",NA,89.2,74.63,NA
"4397",2018-08-29 03:30:00,"MOOS",2199.05805143923,"2018-08-28T08:00:00Z",NA,89,60.08,NA
"4398",2018-08-29 04:00:00,"MOOS",2276.44869585597,"2018-08-28T08:00:00Z",NA,88.4,94.08,NA
"4399",2018-08-29 04:30:00,"MOOS",2172.26898221811,"2018-08-28T08:00:00Z",NA,88,68.92,NA
"4400",2018-08-29 05:00:00,"MOOS",2196.08148819249,"2018-08-28T08:00:00Z",NA,87.6,96.63,NA
