"","DateTimeAK","Q","Site"
"1",2015-05-18 16:00:00,139.676751795268,"French"
"2",2015-05-18 17:00:00,139.606222524378,"French"
"3",2015-05-18 18:00:00,139.763129945528,"French"
"4",2015-05-18 19:00:00,139.878371200795,"French"
"5",2015-05-18 20:00:00,139.714251942888,"French"
"6",2015-05-18 21:00:00,139.733041627077,"French"
"7",2015-05-18 22:00:00,139.872408979383,"French"
"8",2015-05-18 23:00:00,139.777845859577,"French"
"9",2015-05-19 00:00:00,139.964495871365,"French"
"10",2015-05-19 01:00:00,139.895927049898,"French"
"11",2015-05-19 02:00:00,139.923184753732,"French"
"12",2015-05-19 03:00:00,139.913538658453,"French"
"13",2015-05-19 04:00:00,139.765235916864,"French"
"14",2015-05-19 08:00:00,139.634391747778,"French"
"15",2015-05-19 09:00:00,139.557278755395,"French"
"16",2015-05-19 10:00:00,139.537919827184,"French"
"17",2015-05-19 11:00:00,139.555314412663,"French"
"18",2015-05-19 12:00:00,139.601699130145,"French"
"19",2015-05-19 13:00:00,139.532454318814,"French"
"20",2015-05-19 15:00:00,139.487137439846,"French"
"21",2015-05-19 16:00:00,139.518959823919,"French"
"22",2015-05-19 17:00:00,139.521998501304,"French"
"23",2015-05-19 18:00:00,139.568874710464,"French"
"24",2015-05-19 19:00:00,139.536654716321,"French"
"25",2015-05-19 20:00:00,139.554267238441,"French"
"26",2015-05-19 21:00:00,139.565429342455,"French"
"27",2015-05-19 23:00:00,139.726336818916,"French"
"28",2015-05-20 00:00:00,139.731911915026,"French"
"29",2015-05-20 01:00:00,139.821050005921,"French"
"30",2015-05-20 02:00:00,139.673696049236,"French"
"31",2015-05-20 03:00:00,139.620791152662,"French"
"32",2015-05-20 04:00:00,139.57187248741,"French"
"33",2015-05-20 05:00:00,139.529418965436,"French"
"34",2015-05-20 06:00:00,139.539341826605,"French"
"35",2015-05-20 07:00:00,139.477064059266,"French"
"36",2015-05-20 08:00:00,139.444917646224,"French"
"37",2015-05-20 09:00:00,139.416671460516,"French"
"38",2015-05-20 10:00:00,139.446602889901,"French"
"39",2015-05-20 11:00:00,139.42403651687,"French"
"40",2015-05-20 12:00:00,139.412711445403,"French"
"41",2015-05-20 13:00:00,139.418686172247,"French"
"42",2015-05-20 14:00:00,139.445080945722,"French"
"43",2015-05-20 15:00:00,139.437701761913,"French"
"44",2015-05-20 16:00:00,139.467146750172,"French"
"45",2015-05-20 17:00:00,139.474267687207,"French"
"46",2015-05-20 18:00:00,139.470611146625,"French"
"47",2015-05-20 19:00:00,139.445801363423,"French"
"48",2015-05-20 20:00:00,139.46842231757,"French"
"49",2015-05-20 21:00:00,139.514804568555,"French"
"50",2015-05-20 22:00:00,139.575716457404,"French"
"51",2015-05-20 23:00:00,139.521338280983,"French"
"52",2015-05-21 00:00:00,139.608148957012,"French"
"53",2015-05-21 01:00:00,139.56840549176,"French"
"54",2015-05-21 02:00:00,139.543365548485,"French"
"55",2015-05-21 03:00:00,139.540060290555,"French"
"56",2015-05-21 04:00:00,139.471611858684,"French"
"57",2015-05-21 05:00:00,139.468121951426,"French"
"58",2015-05-21 06:00:00,139.428490744551,"French"
"59",2015-05-21 07:00:00,139.426334760648,"French"
"60",2015-05-21 08:00:00,139.430929492798,"French"
"61",2015-05-21 09:00:00,139.420869774276,"French"
"62",2015-05-21 10:00:00,139.40240712718,"French"
"63",2015-05-21 11:00:00,139.400567163617,"French"
"64",2015-05-21 12:00:00,139.401469377086,"French"
"65",2015-05-21 13:00:00,139.405317638658,"French"
"66",2015-05-21 14:00:00,139.401026566789,"French"
"67",2015-05-21 15:00:00,139.400420023277,"French"
"68",2015-05-21 16:00:00,139.401142201304,"French"
"69",2015-05-21 17:00:00,139.401152228978,"French"
"70",2015-05-21 18:00:00,139.403087027072,"French"
"71",2015-05-21 19:00:00,139.407668045759,"French"
"72",2015-05-21 20:00:00,139.400680832797,"French"
"73",2015-05-21 21:00:00,139.409803844505,"French"
"74",2015-05-21 22:00:00,139.412626605251,"French"
"75",2015-05-21 23:00:00,139.42054822444,"French"
"76",2015-05-22 01:00:00,139.4032028914,"French"
"77",2015-05-22 02:00:00,139.411342287575,"French"
"78",2015-05-22 03:00:00,139.416008838732,"French"
"79",2015-05-22 04:00:00,139.405510842199,"French"
"80",2015-05-22 05:00:00,139.402042837588,"French"
"81",2015-05-22 06:00:00,139.400418719602,"French"
"82",2015-05-22 07:00:00,139.401151573393,"French"
"83",2015-05-22 08:00:00,139.413822638604,"French"
"84",2015-05-22 09:00:00,139.43569701152,"French"
"85",2015-05-22 10:00:00,139.444408094397,"French"
"86",2015-05-22 11:00:00,139.445475883934,"French"
"87",2015-05-22 12:00:00,139.464820759168,"French"
"88",2015-05-22 13:00:00,139.427746870936,"French"
"89",2015-05-22 14:00:00,139.441566939831,"French"
"90",2015-05-22 15:00:00,139.454976024846,"French"
"91",2015-05-22 16:00:00,139.419516830167,"French"
"92",2015-05-22 17:00:00,139.425450643395,"French"
"93",2015-05-22 18:00:00,139.411209599485,"French"
"94",2015-05-22 19:00:00,139.424991216487,"French"
"95",2015-05-22 20:00:00,139.400617223474,"French"
"96",2015-05-22 21:00:00,139.40095309243,"French"
"97",2015-05-22 22:00:00,139.400622598595,"French"
"98",2015-05-22 23:00:00,139.404694622566,"French"
"99",2015-05-23 00:00:00,139.403323816015,"French"
"100",2015-05-23 01:00:00,139.403303914931,"French"
"101",2015-05-23 02:00:00,139.400566859388,"French"
"102",2015-05-23 03:00:00,139.407233260183,"French"
"103",2015-05-23 04:00:00,139.402424737321,"French"
"104",2015-05-23 05:00:00,139.41394257918,"French"
"105",2015-05-23 06:00:00,139.413426617571,"French"
"106",2015-05-23 07:00:00,139.400519340712,"French"
"107",2015-05-23 08:00:00,139.400451619865,"French"
"108",2015-05-23 09:00:00,139.400409809223,"French"
"109",2015-05-23 10:00:00,139.40048030663,"French"
"110",2015-05-23 11:00:00,139.409013471129,"French"
"111",2015-05-23 12:00:00,139.401626064686,"French"
"112",2015-05-23 13:00:00,139.410350816906,"French"
"113",2015-05-23 14:00:00,139.436300295186,"French"
"114",2015-05-23 15:00:00,139.430822732136,"French"
"115",2015-05-23 16:00:00,139.457954991308,"French"
"116",2015-05-23 17:00:00,139.421949178133,"French"
"117",2015-05-23 18:00:00,139.469169295437,"French"
"118",2015-05-23 19:00:00,139.411626653404,"French"
"119",2015-05-23 20:00:00,139.400781848788,"French"
"120",2015-05-23 21:00:00,139.413103768892,"French"
"121",2015-05-23 22:00:00,139.40151608128,"French"
"122",2015-05-23 23:00:00,139.406681865699,"French"
"123",2015-05-24 00:00:00,139.407707446009,"French"
"124",2015-05-24 01:00:00,139.408122717018,"French"
"125",2015-05-24 02:00:00,139.401346550619,"French"
"126",2015-05-24 03:00:00,139.423253638426,"French"
"127",2015-05-24 04:00:00,139.433278660188,"French"
"128",2015-05-24 05:00:00,139.408026040533,"French"
"129",2015-05-24 06:00:00,139.42852902924,"French"
"130",2015-05-24 07:00:00,139.456501096317,"French"
"131",2015-05-24 08:00:00,139.463993213288,"French"
"132",2015-05-24 09:00:00,139.45346610789,"French"
"133",2015-05-24 10:00:00,139.442226901853,"French"
"134",2015-05-24 11:00:00,139.543836890689,"French"
"135",2015-05-24 12:00:00,139.523684894048,"French"
"136",2015-05-24 13:00:00,139.542491064552,"French"
"137",2015-05-24 14:00:00,139.712765406436,"French"
"138",2015-05-24 15:00:00,139.59113231259,"French"
"139",2015-05-24 16:00:00,139.661251293952,"French"
"140",2015-05-24 17:00:00,139.690122314155,"French"
"141",2015-05-24 18:00:00,139.58227147574,"French"
"142",2015-05-24 19:00:00,139.53822719286,"French"
"143",2015-05-24 20:00:00,139.510987993031,"French"
"144",2015-05-24 21:00:00,139.487926469679,"French"
"145",2015-05-24 22:00:00,139.485293576517,"French"
"146",2015-05-24 23:00:00,139.495508868564,"French"
"147",2015-05-25 00:00:00,139.446860676679,"French"
"148",2015-05-25 01:00:00,139.483940180412,"French"
"149",2015-05-25 02:00:00,139.455648855766,"French"
"150",2015-05-25 03:00:00,139.447643960551,"French"
"151",2015-05-25 04:00:00,139.510279824885,"French"
"152",2015-05-25 05:00:00,139.477530275071,"French"
"153",2015-05-25 06:00:00,139.488567762154,"French"
"154",2015-05-25 07:00:00,139.50032023506,"French"
"155",2015-05-25 08:00:00,139.512783564283,"French"
"156",2015-05-25 09:00:00,139.488356043781,"French"
"157",2015-05-25 10:00:00,139.525953636245,"French"
"158",2015-05-25 11:00:00,139.521320717324,"French"
"159",2015-05-25 12:00:00,139.515435021203,"French"
"160",2015-05-25 13:00:00,139.528877018611,"French"
"161",2015-05-25 14:00:00,139.521320717324,"French"
"162",2015-05-25 15:00:00,139.492117876267,"French"
"163",2015-05-25 16:00:00,139.584550693961,"French"
"164",2015-05-25 17:00:00,139.586529744462,"French"
"165",2015-05-25 18:00:00,139.599566588214,"French"
"166",2015-05-25 19:00:00,139.628917543135,"French"
"167",2015-05-25 20:00:00,139.607205317352,"French"
"168",2015-05-25 21:00:00,139.660182212812,"French"
"169",2015-05-25 22:00:00,139.655727120471,"French"
