Site,Day,Q
French,2015-05-18T08:00:00Z,139.75275298436165
French,2015-05-19T08:00:00Z,139.65058415968187
French,2015-05-20T08:00:00Z,139.51456932801244
French,2015-05-21T08:00:00Z,139.44059399070443
French,2015-05-22T08:00:00Z,139.4198368713184
French,2015-05-23T08:00:00Z,139.41320749683334
French,2015-05-24T08:00:00Z,139.50383129809143
French,2015-05-25T08:00:00Z,139.53317204745758
French,2015-05-26T08:00:00Z,139.60765238615696
French,2015-05-27T08:00:00Z,139.7870795928593
French,2015-05-28T08:00:00Z,139.76496953704736
French,2015-05-29T08:00:00Z,139.87090029948484
French,2015-05-30T08:00:00Z,139.87730825083148
French,2015-05-31T08:00:00Z,139.9621832642365
French,2015-06-01T08:00:00Z,139.64814562242688
French,2015-06-02T08:00:00Z,139.4068376360506
French,2015-06-03T08:00:00Z,139.4056380133232
French,2015-06-04T08:00:00Z,139.40933602242066
French,2015-06-05T08:00:00Z,139.42030275672604
French,2015-06-06T08:00:00Z,139.56096236369694
French,2015-06-07T08:00:00Z,139.45247759413903
French,2015-06-08T08:00:00Z,139.44682703781424
French,2015-06-09T08:00:00Z,139.46026125259323
French,2015-06-10T08:00:00Z,139.50505697214106
French,2015-06-11T08:00:00Z,139.63495041738184
French,2015-06-12T08:00:00Z,139.75465565794275
French,2015-06-13T08:00:00Z,139.8308137772357
French,2015-06-14T08:00:00Z,139.9196584109327
French,2015-06-15T08:00:00Z,139.86035602952114
French,2015-06-16T08:00:00Z,139.81854289899152
French,2015-06-17T08:00:00Z,139.96232630286502
French,2015-06-18T08:00:00Z,139.95838656255734
French,2015-06-19T08:00:00Z,140.08199617030724
French,2015-06-20T08:00:00Z,140.0415432874649
French,2015-06-21T08:00:00Z,140.11700728057494
French,2015-06-22T08:00:00Z,139.91084414403778
French,2015-06-23T08:00:00Z,139.84250751763915
French,2015-06-24T08:00:00Z,139.87050133205653
French,2015-06-25T08:00:00Z,139.78233262569054
French,2015-06-26T08:00:00Z,139.7829271332526
French,2015-06-27T08:00:00Z,139.65676743334686
French,2015-06-28T08:00:00Z,139.43662015349594
French,2015-06-29T08:00:00Z,139.49189282171577
French,2015-06-30T08:00:00Z,139.62786136712498
French,2015-07-01T08:00:00Z,140.7135094290817
French,2015-07-02T08:00:00Z,781.7748987965715
French,2015-07-03T08:00:00Z,595.4274889353059
French,2015-07-04T08:00:00Z,217.67977560568093
French,2015-07-05T08:00:00Z,158.7203158396542
French,2015-07-06T08:00:00Z,146.08352612447172
French,2015-07-07T08:00:00Z,142.70359938961752
French,2015-07-08T08:00:00Z,141.058243979447
French,2015-07-09T08:00:00Z,140.28186761943292
French,2015-07-10T08:00:00Z,139.79776985872007
French,2015-07-11T08:00:00Z,139.57485810598212
French,2015-07-12T08:00:00Z,139.43057883022982
French,2015-07-13T08:00:00Z,139.4474959308261
French,2015-07-14T08:00:00Z,139.86691080167247
French,2015-07-15T08:00:00Z,141.99694126730384
French,2015-07-16T08:00:00Z,140.01812160632485
French,2015-07-17T08:00:00Z,139.5437034159968
French,2015-07-18T08:00:00Z,139.4411531473247
French,2015-07-19T08:00:00Z,181.72795252329686
French,2015-07-20T08:00:00Z,1116.2779352246262
French,2015-07-21T08:00:00Z,424.44067282771385
French,2015-07-22T08:00:00Z,230.56692796793288
French,2015-07-23T08:00:00Z,181.5766961527758
French,2015-07-24T08:00:00Z,160.17296946748726
French,2015-07-25T08:00:00Z,154.45894742194997
French,2015-07-26T08:00:00Z,160.79324128444196
French,2015-07-27T08:00:00Z,4562.5743675606
French,2015-07-28T08:00:00Z,6169.358469597652
French,2015-07-29T08:00:00Z,1782.0475030509892
French,2015-07-30T08:00:00Z,765.3317987157376
French,2015-07-31T08:00:00Z,489.5473538531125
French,2015-08-01T08:00:00Z,361.47183029882126
French,2015-08-02T08:00:00Z,310.2201387816973
French,2015-08-03T08:00:00Z,272.5294371100359
French,2015-08-04T08:00:00Z,246.6401906267086
French,2015-08-05T08:00:00Z,236.41800722800616
French,2015-08-06T08:00:00Z,240.87184193348105
French,2015-08-07T08:00:00Z,221.30846595098353
French,2015-08-08T08:00:00Z,210.79679209901758
French,2015-08-09T08:00:00Z,210.3963187264212
French,2015-08-10T08:00:00Z,232.81128966619488
French,2015-08-11T08:00:00Z,245.94281425848826
French,2015-08-12T08:00:00Z,225.9067079088612
French,2015-08-13T08:00:00Z,328.6866565745152
French,2015-08-14T08:00:00Z,312.20343056062507
French,2015-08-15T08:00:00Z,259.3267719872585
French,2015-08-16T08:00:00Z,249.44502765754896
French,2015-08-17T08:00:00Z,278.9100230553349
French,2015-08-18T08:00:00Z,286.9347375767786
French,2015-08-19T08:00:00Z,754.284408545463
French,2015-08-20T08:00:00Z,685.281588250494
French,2015-08-21T08:00:00Z,591.7240765551084
French,2015-08-22T08:00:00Z,442.5943884958671
French,2015-08-23T08:00:00Z,461.01491938224655
French,2015-08-24T08:00:00Z,545.0514172502055
French,2015-08-25T08:00:00Z,466.34320896096034
French,2015-08-26T08:00:00Z,1012.9849468085794
French,2015-08-27T08:00:00Z,4155.664534191718
French,2015-08-28T08:00:00Z,3463.0083069973252
French,2015-08-29T08:00:00Z,3238.55853929992
French,2015-08-30T08:00:00Z,3191.269268748651
French,2015-08-31T08:00:00Z,2817.858865820654
French,2015-09-01T08:00:00Z,2143.985140720392
French,2015-09-02T08:00:00Z,1739.9066793134318
French,2015-09-03T08:00:00Z,1624.1208617562424
French,2015-09-04T08:00:00Z,1488.7125655037041
French,2015-09-05T08:00:00Z,1330.4188659366393
French,2015-09-06T08:00:00Z,1181.2370208010266
French,2015-09-07T08:00:00Z,1109.8426326088959
French,2015-09-08T08:00:00Z,1048.260759293281
French,2015-09-09T08:00:00Z,979.337404000559
French,2015-09-10T08:00:00Z,911.2716858449621
French,2015-09-11T08:00:00Z,812.0937001438957
French,2015-09-12T08:00:00Z,754.9874515788181
French,2015-09-13T08:00:00Z,746.0907458777224
French,2015-09-14T08:00:00Z,879.7051853301163
French,2015-09-15T08:00:00Z,1236.1656720032606
French,2015-09-16T08:00:00Z,1087.531057810829
French,2015-09-17T08:00:00Z,1308.5848625900967
French,2015-09-18T08:00:00Z,1235.7036110827842
French,2015-09-19T08:00:00Z,1014.4276510589717
French,2015-09-20T08:00:00Z,846.9897061852793
Moose,2015-05-21T08:00:00Z,475.50359278631004
Moose,2015-05-22T08:00:00Z,465.2192013787626
Moose,2015-05-23T08:00:00Z,463.2974423555207
Moose,2015-05-24T08:00:00Z,450.6326771973216
Moose,2015-05-25T08:00:00Z,444.6923367928317
Moose,2015-05-26T08:00:00Z,451.3926935877739
Moose,2015-05-27T08:00:00Z,442.3614567627673
Moose,2015-05-28T08:00:00Z,441.4436996034029
Moose,2015-05-29T08:00:00Z,435.53728722847706
Moose,2015-05-30T08:00:00Z,427.3085240697267
Moose,2015-05-31T08:00:00Z,422.1511494449545
Moose,2015-06-01T08:00:00Z,424.4744098938526
Moose,2015-06-02T08:00:00Z,458.5391894876903
Moose,2015-06-03T08:00:00Z,448.8238571261894
Moose,2015-06-04T08:00:00Z,461.19604022124315
Moose,2015-06-05T08:00:00Z,447.9460307077095
Moose,2015-06-06T08:00:00Z,432.7819305146011
Moose,2015-06-07T08:00:00Z,430.1134738731049
Moose,2015-06-08T08:00:00Z,418.10516765754653
Moose,2015-06-09T08:00:00Z,433.3959474089103
Moose,2015-06-10T08:00:00Z,427.5047774238624
Moose,2015-06-11T08:00:00Z,426.0136188735271
Moose,2015-06-12T08:00:00Z,431.9866993278822
Moose,2015-06-13T08:00:00Z,442.6845592615107
Moose,2015-06-14T08:00:00Z,424.7450359092216
Moose,2015-06-15T08:00:00Z,410.54675832976034
Moose,2015-06-16T08:00:00Z,395.1619528572578
Moose,2015-06-17T08:00:00Z,392.4183776753142
Moose,2015-06-18T08:00:00Z,391.54142399333676
Moose,2015-06-19T08:00:00Z,389.3101017525978
Moose,2015-06-20T08:00:00Z,389.40540871724073
Moose,2015-06-21T08:00:00Z,389.9780238536717
Moose,2015-06-22T08:00:00Z,393.46148047986645
Moose,2015-06-23T08:00:00Z,392.9590387694728
Moose,2015-06-24T08:00:00Z,393.31060131679146
Moose,2015-06-25T08:00:00Z,394.7634463894566
Moose,2015-06-26T08:00:00Z,394.3694430905346
Moose,2015-06-27T08:00:00Z,396.9580203844015
Moose,2015-06-28T08:00:00Z,417.5852753785597
Moose,2015-06-29T08:00:00Z,410.33546259078355
Moose,2015-06-30T08:00:00Z,399.2227802380533
Moose,2015-07-01T08:00:00Z,408.39675197583983
Moose,2015-07-02T08:00:00Z,1488.460001343539
Moose,2015-07-03T08:00:00Z,3011.051596120171
Moose,2015-07-04T08:00:00Z,1622.2327577913238
Moose,2015-07-05T08:00:00Z,1114.3038943644801
Moose,2015-07-06T08:00:00Z,898.8329584449111
Moose,2015-07-07T08:00:00Z,794.6199778906924
Moose,2015-07-08T08:00:00Z,757.4685826110632
Moose,2015-07-09T08:00:00Z,706.2566748887665
Moose,2015-07-10T08:00:00Z,659.2759868340132
Moose,2015-07-11T08:00:00Z,625.872044208875
Moose,2015-07-12T08:00:00Z,645.9160918071698
Moose,2015-07-13T08:00:00Z,653.261683400056
Moose,2015-07-14T08:00:00Z,644.4408869808466
Moose,2015-07-15T08:00:00Z,700.6900101515768
Moose,2015-07-16T08:00:00Z,656.5164849241949
Moose,2015-07-17T08:00:00Z,607.1084334181666
Moose,2015-07-18T08:00:00Z,593.3229237964428
Moose,2015-07-19T08:00:00Z,1063.479056012863
Moose,2015-07-20T08:00:00Z,3736.8441554971782
Moose,2015-07-21T08:00:00Z,2624.7458215520214
Moose,2015-07-22T08:00:00Z,1647.0570278460464
Moose,2015-07-23T08:00:00Z,1300.6278207763864
Moose,2015-07-24T08:00:00Z,1091.4296472814935
Moose,2015-07-25T08:00:00Z,975.4616989960945
Moose,2015-07-26T08:00:00Z,891.3054964416424
Moose,2015-07-27T08:00:00Z,2077.1217504773663
Moose,2015-07-28T08:00:00Z,4409.012167640247
Moose,2015-07-29T08:00:00Z,3341.5976922635928
Moose,2015-07-30T08:00:00Z,2382.768150177972
Moose,2015-07-31T08:00:00Z,1981.9966281920465
Moose,2015-08-01T08:00:00Z,1696.1826967164727
Moose,2015-08-02T08:00:00Z,1609.8333970884664
Moose,2015-08-03T08:00:00Z,1493.405195495234
Moose,2015-08-04T08:00:00Z,1371.490261402462
Moose,2015-08-05T08:00:00Z,1261.1625066874792
Moose,2015-08-06T08:00:00Z,1640.1174989850142
Moose,2015-08-07T08:00:00Z,1820.775411121347
Moose,2015-08-08T08:00:00Z,1407.497755633704
Moose,2015-08-09T08:00:00Z,1305.559505698701
Moose,2015-08-10T08:00:00Z,1303.5448916825374
Moose,2015-08-11T08:00:00Z,1445.6496035080486
Moose,2015-08-12T08:00:00Z,1278.6517678680727
Moose,2015-08-13T08:00:00Z,1448.093990442128
Moose,2015-08-14T08:00:00Z,1636.5150308861193
Moose,2015-08-15T08:00:00Z,1340.7053516704993
Moose,2015-08-16T08:00:00Z,1213.6667516127684
Moose,2015-08-17T08:00:00Z,1519.2641279775087
Moose,2015-08-18T08:00:00Z,1517.930391137683
Moose,2015-08-19T08:00:00Z,3856.5678234619418
Moose,2015-08-20T08:00:00Z,3440.4445249354208
Moose,2015-08-21T08:00:00Z,2587.2238165561557
Moose,2015-08-22T08:00:00Z,2047.6768850426463
Moose,2015-08-23T08:00:00Z,1965.3041060310572
Moose,2015-08-24T08:00:00Z,2176.1872463407644
Moose,2015-08-25T08:00:00Z,2126.578257451576
Moose,2015-08-26T08:00:00Z,3621.4879577491074
Moose,2015-08-27T08:00:00Z,11270.165333463505
Moose,2015-08-28T08:00:00Z,8160.510053578066
Moose,2015-08-29T08:00:00Z,5420.099876398892
Moose,2015-08-30T08:00:00Z,4983.270079776055
Moose,2015-08-31T08:00:00Z,4749.491416889086
Moose,2015-09-01T08:00:00Z,3578.323723510269
Moose,2015-09-02T08:00:00Z,2827.136183041403
Moose,2015-09-03T08:00:00Z,2529.427322970733
Moose,2015-09-04T08:00:00Z,2269.0710105144394
Moose,2015-09-05T08:00:00Z,2033.7569038202303
Moose,2015-09-06T08:00:00Z,1833.166738235107
Moose,2015-09-07T08:00:00Z,1716.7163907057386
Moose,2015-09-08T08:00:00Z,1639.1019043385124
Moose,2015-09-09T08:00:00Z,1576.000882918173
Moose,2015-09-10T08:00:00Z,1506.4485230903272
Moose,2015-09-11T08:00:00Z,1433.7329522599748
Moose,2015-09-12T08:00:00Z,1355.8862562063157
Moose,2015-09-13T08:00:00Z,1424.646604653362
Moose,2015-09-14T08:00:00Z,1741.2561184353904
Moose,2015-09-15T08:00:00Z,2730.221746622235
Moose,2015-09-16T08:00:00Z,2369.488615410076
