column_label,HI_mean_Interp,HI_sd_with_Interp,N.S.,Max_width_Interp,Min_response,Max_response,Peak_Q,ShapiroTest.W,ShapiroTest.p,t.test.stat,t.test.p,t.test.CIlow,t.test.CIhigh,wilcox.test.stat,wilcox.test.p,storm.ID,site.ID
1,0.5656966340008409,0.11681408976740326,-0.569237324243654,0.816148274392817,24.3492777376516,26.2403208619611,495.499742505263,0.9499,0.0339,33.899,0,0.5322,0.5992,1275,0,POKE_storm1_07_15_NO3,POKE
2,-0.4547613137314848,0.16817679041452244,0.368773529393228,-0.759805482907598,33.7344441395427,43.0272425968371,495.499742505263,0.9113,0.0012,-18.9285,0,-0.503,-0.4065,0,0,POKE_storm1_07_15_fDOM,POKE
3,0.5687368421052702,0.07965236101308186,-0.849122807017574,0.697368421052586,127.890909090909,133.072727272727,495.499742505263,0.8278,0,49.9817,0,0.5459,0.5916,1275,0,POKE_storm1_07_15_SPC,POKE
4,-0.13192078695314507,0.12907695516137638,0.346492363448097,-0.360406419880922,2.77636363636364,9.8,495.499742505263,0.9352,0.0088,-7.1542,0,-0.169,-0.0949,85,0,POKE_storm1_07_15_turb,POKE
5,-0.2439489194499024,0.11914082296371976,0.509659462999346,-0.537901113294041,0.0308,0.0777846153846154,495.499742505263,0.9656,0.1524,-14.333,0,-0.2782,-0.2097,1,0,POKE_storm1_07_15_abs,POKE
6,0.5561630218687764,0.2277875621714157,-0.0949304174950398,0.813866799204771,22.6056827990041,24.2268071134952,383.09371827844,0.8625,0,17.0911,0,0.4908,0.6216,1275,0,POKE_storm2_09_03_NO3,POKE
7,-0.16824538241534803,0.3065100108890811,0.0204570527508664,-0.794307302121944,43.6493415928951,49.9670695579766,383.09371827844,0.9273,0.0044,-3.8423,4e-4,-0.2562,-0.0803,317,0.002,POKE_storm2_09_03_fDOM,POKE
8,0.7007361963189342,0.13287625998634509,-0.582822085889483,0.862985685071452,136.854545454545,141.3,383.09371827844,0.8653,0,36.9152,0,0.6626,0.7389,1275,0,POKE_storm2_09_03_SPC,POKE
9,0.0026366030283081297,0.13931413251142413,0.3449637919684,-0.396477946017116,1.13727272727273,3.89909090909091,383.09371827844,0.9645,0.1365,0.1325,0.8951,-0.0374,0.0426,673,0.7355,POKE_storm2_09_03_turb,POKE
10,-0.2362257150611936,0.14874542510400354,0.677442243939094,-0.511044741396523,0.0633540513445337,0.0792114470272696,383.09371827844,0.9217,0.0027,-11.1168,0,-0.2789,-0.1935,16,0,POKE_storm2_09_03_abs,POKE
11,0.6132396166133891,0.15578994392978204,-0.638977635782702,0.803833865814645,23.7917141066239,25.0526780987604,395.494144551342,0.8907,2e-4,27.5543,0,0.5685,0.658,1275,0,POKE_storm3_09_09_NO3,POKE
12,-0.4195482944951751,0.12482415729627944,0.282257080648364,-0.786630624299484,43.3774735103405,47.8687051605997,395.494144551342,0.8812,1e-4,-23.5278,0,-0.4554,-0.3837,0,0,POKE_storm3_09_09_fDOM,POKE
13,0.7120884520884853,0.16910849491588761,-0.680589680589727,0.922604422604459,136.772727272727,140.472727272727,395.494144551342,0.8961,4e-4,29.4759,0,0.6635,0.7606,1275,0,POKE_storm3_09_09_SPC,POKE
14,0.007070612180992083,0.06878906182414375,0.0109597620165973,-0.130421167997496,0.892727272727273,6.69909090909091,395.494144551342,0.8269,0,0.7195,0.4752,-0.0127,0.0268,706,0.5115,POKE_storm3_09_09_turb,POKE
15,-0.25621725479961377,0.07433977476193579,0.378759044660593,-0.462052879997896,0.0668104499685927,0.0863324749947655,395.494144551342,0.8498,0,-24.126,0,-0.2776,-0.2349,1,0,POKE_storm3_09_09_abs,POKE
16,0.2831624423963344,0.1847284579546297,-0.424539170506965,0.573732718894033,25.3443515589223,26.7430950032346,416.885702300033,0.8902,2e-4,10.73,0,0.2301,0.3362,1275,0,POKE_storm4_09_14_NO3,POKE
17,-0.5520745273410882,0.19074409687864516,0.573547648721304,-0.806565949460283,44.6950737557258,67.0437590703236,416.885702300033,0.8874,2e-4,-20.2602,0,-0.6068,-0.4973,0,0,POKE_storm4_09_14_fDOM,POKE
18,0.6799663752521862,0.19851712000227312,-0.256893073302001,0.914929388029591,126.281818181818,139.8,416.885702300033,0.8759,1e-4,23.9766,0,0.623,0.737,1275,0,POKE_storm4_09_14_SPC,POKE
19,-0.1345207956600364,0.19219707585315116,0.413924050632911,-0.569168173598553,0.948181818181818,5.97545454545455,416.885702300033,0.9483,0.029,-4.8994,0,-0.1897,-0.0793,193,0,POKE_storm4_09_14_turb,POKE
20,-0.37010458502519655,0.17670984976703857,0.357905202393711,-0.639231513029062,0.0773409712031729,0.112655096116066,416.885702300033,0.9135,0.0014,-14.6609,0,-0.4208,-0.3194,1,0,POKE_storm4_09_14_abs,POKE
