site.ID,Area_poly,lat_new,long_new,type,orgsoil_extent,DOC_uM,NO3_uM,SLOPE_MIN,SLOPE_MAX,SLOPE_MEAN,SLOPE_STD,cburntot,fireyear_rct,pctburn_rct,areaburn_rct,fireyear_lg,pctburn_lg,areaburn_lg,PADR_p25,PADR_p50,PADR_p75,TPI_p25,TPI_p50,TPI_p75,Pf_Prob_1m_mean_x,"NDVI_p50__linear_trend__attr_""slope""","NDVI_p50__linear_trend__attr_""stderr""",NDVI_p50__sum_values,NDVI_p50__mean_abs_change,NDVI_p50__mean_change,NDVI_p50__mean_second_derivative_central,NDVI_p50__median,NDVI_p50__mean,NDVI_p50__standard_deviation,NDVI_p50__variation_coefficient,NDVI_p50__variance,NDVI_p50__root_mean_square,NDVI_p50__absolute_sum_of_changes,NDVI_p50__maximum,NDVI_p50__minimum,Year,NDVI_p25,NDVI_p50,NDVI_p75,ObservedFraction
CARI,42.63648444,65.15267163,-147.491,ppt_gw,0.06,156.58,21.56,0.027177233,29.57135773,11.29107044,4.469846157,0,1940,0,0,1940,0,0,-0.938986781,-0.756136631,-0.681278386,-35.51738634,3.520281668,37.49660853,38.91,-0.001176698,0.000719076,6.573251986,0.033338134,-0.002790023,-0.001555003,0.221701121,0.226663862,0.03277477,0.144596363,0.001074186,0.22902116,0.933467759,0.299808039,0.174796252,1984,0.245126471,0.270503228,0.331054913,1
CARI,42.63648444,65.15267163,-147.491,ppt_gw,0.06,156.58,21.56,0.027177233,29.57135773,11.29107044,4.469846157,0,1940,0,0,1940,0,0,-0.938986781,-0.756136631,-0.681278386,-35.51738634,3.520281668,37.49660853,38.91,-0.001176698,0.000719076,6.573251986,0.033338134,-0.002790023,-0.001555003,0.221701121,0.226663862,0.03277477,0.144596363,0.001074186,0.22902116,0.933467759,0.299808039,0.174796252,1985,0.270533028,0.299808039,0.366194998,1
CARI,42.63648444,65.15267163,-147.491,ppt_gw,0.06,156.58,21.56,0.027177233,29.57135773,11.29107044,4.469846157,0,1940,0,0,1940,0,0,-0.938986781,-0.756136631,-0.681278386,-35.51738634,3.520281668,37.49660853,38.91,-0.001176698,0.000719076,6.573251986,0.033338134,-0.002790023,-0.001555003,0.221701121,0.226663862,0.03277477,0.144596363,0.001074186,0.22902116,0.933467759,0.299808039,0.174796252,1986,0.256853564,0.284164339,0.338866535,1
CARI,42.63648444,65.15267163,-147.491,ppt_gw,0.06,156.58,21.56,0.027177233,29.57135773,11.29107044,4.469846157,0,1940,0,0,1940,0,0,-0.938986781,-0.756136631,-0.681278386,-35.51738634,3.520281668,37.49660853,38.91,-0.001176698,0.000719076,6.573251986,0.033338134,-0.002790023,-0.001555003,0.221701121,0.226663862,0.03277477,0.144596363,0.001074186,0.22902116,0.933467759,0.299808039,0.174796252,1987,0.27046147,0.313453865,0.332996052,0.127657131
CARI,42.63648444,65.15267163,-147.491,ppt_gw,0.06,156.58,21.56,0.027177233,29.57135773,11.29107044,4.469846157,0,1940,0,0,1940,0,0,-0.938986781,-0.756136631,-0.681278386,-35.51738634,3.520281668,37.49660853,38.91,-0.001176698,0.000719076,6.573251986,0.033338134,-0.002790023,-0.001555003,0.221701121,0.226663862,0.03277477,0.144596363,0.001074186,0.22902116,0.933467759,0.299808039,0.174796252,1988,0.272447903,0.301738367,0.342762426,0.588261799
CARI,42.63648444,65.15267163,-147.491,ppt_gw,0.06,156.58,21.56,0.027177233,29.57135773,11.29107044,4.469846157,0,1940,0,0,1940,0,0,-0.938986781,-0.756136631,-0.681278386,-35.51738634,3.520281668,37.49660853,38.91,-0.001176698,0.000719076,6.573251986,0.033338134,-0.002790023,-0.001555003,0.221701121,0.226663862,0.03277477,0.144596363,0.001074186,0.22902116,0.933467759,0.299808039,0.174796252,1989,,,,0
CARI,42.63648444,65.15267163,-147.491,ppt_gw,0.06,156.58,21.56,0.027177233,29.57135773,11.29107044,4.469846157,0,1940,0,0,1940,0,0,-0.938986781,-0.756136631,-0.681278386,-35.51738634,3.520281668,37.49660853,38.91,-0.001176698,0.000719076,6.573251986,0.033338134,-0.002790023,-0.001555003,0.221701121,0.226663862,0.03277477,0.144596363,0.001074186,0.22902116,0.933467759,0.299808039,0.174796252,1990,,,,0
CARI,42.63648444,65.15267163,-147.491,ppt_gw,0.06,156.58,21.56,0.027177233,29.57135773,11.29107044,4.469846157,0,1940,0,0,1940,0,0,-0.938986781,-0.756136631,-0.681278386,-35.51738634,3.520281668,37.49660853,38.91,-0.001176698,0.000719076,6.573251986,0.033338134,-0.002790023,-0.001555003,0.221701121,0.226663862,0.03277477,0.144596363,0.001074186,0.22902116,0.933467759,0.299808039,0.174796252,1991,0.243158069,0.26657118,0.360392584,1
CARI,42.63648444,65.15267163,-147.491,ppt_gw,0.06,156.58,21.56,0.027177233,29.57135773,11.29107044,4.469846157,0,1940,0,0,1940,0,0,-0.938986781,-0.756136631,-0.681278386,-35.51738634,3.520281668,37.49660853,38.91,-0.001176698,0.000719076,6.573251986,0.033338134,-0.002790023,-0.001555003,0.221701121,0.226663862,0.03277477,0.144596363,0.001074186,0.22902116,0.933467759,0.299808039,0.174796252,1992,0.194330988,0.223695719,0.256793181,0.122382627
CARI,42.63648444,65.15267163,-147.491,ppt_gw,0.06,156.58,21.56,0.027177233,29.57135773,11.29107044,4.469846157,0,1940,0,0,1940,0,0,-0.938986781,-0.756136631,-0.681278386,-35.51738634,3.520281668,37.49660853,38.91,-0.001176698,0.000719076,6.573251986,0.033338134,-0.002790023,-0.001555003,0.221701121,0.226663862,0.03277477,0.144596363,0.001074186,0.22902116,0.933467759,0.299808039,0.174796252,1993,,,,0
CARI,42.63648444,65.15267163,-147.491,ppt_gw,0.06,156.58,21.56,0.027177233,29.57135773,11.29107044,4.469846157,0,1940,0,0,1940,0,0,-0.938986781,-0.756136631,-0.681278386,-35.51738634,3.520281668,37.49660853,38.91,-0.001176698,0.000719076,6.573251986,0.033338134,-0.002790023,-0.001555003,0.221701121,0.226663862,0.03277477,0.144596363,0.001074186,0.22902116,0.933467759,0.299808039,0.174796252,1994,0.221676832,0.250959428,0.311499472,1
CARI,42.63648444,65.15267163,-147.491,ppt_gw,0.06,156.58,21.56,0.027177233,29.57135773,11.29107044,4.469846157,0,1940,0,0,1940,0,0,-0.938986781,-0.756136631,-0.681278386,-35.51738634,3.520281668,37.49660853,38.91,-0.001176698,0.000719076,6.573251986,0.033338134,-0.002790023,-0.001555003,0.221701121,0.226663862,0.03277477,0.144596363,0.001074186,0.22902116,0.933467759,0.299808039,0.174796252,1995,0.186553454,0.221701121,0.250982298,1
CARI,42.63648444,65.15267163,-147.491,ppt_gw,0.06,156.58,21.56,0.027177233,29.57135773,11.29107044,4.469846157,0,1940,0,0,1940,0,0,-0.938986781,-0.756136631,-0.681278386,-35.51738634,3.520281668,37.49660853,38.91,-0.001176698,0.000719076,6.573251986,0.033338134,-0.002790023,-0.001555003,0.221701121,0.226663862,0.03277477,0.144596363,0.001074186,0.22902116,0.933467759,0.299808039,0.174796252,1996,,,,0
CARI,42.63648444,65.15267163,-147.491,ppt_gw,0.06,156.58,21.56,0.027177233,29.57135773,11.29107044,4.469846157,0,1940,0,0,1940,0,0,-0.938986781,-0.756136631,-0.681278386,-35.51738634,3.520281668,37.49660853,38.91,-0.001176698,0.000719076,6.573251986,0.033338134,-0.002790023,-0.001555003,0.221701121,0.226663862,0.03277477,0.144596363,0.001074186,0.22902116,0.933467759,0.299808039,0.174796252,1997,,,,0
CARI,42.63648444,65.15267163,-147.491,ppt_gw,0.06,156.58,21.56,0.027177233,29.57135773,11.29107044,4.469846157,0,1940,0,0,1940,0,0,-0.938986781,-0.756136631,-0.681278386,-35.51738634,3.520281668,37.49660853,38.91,-0.001176698,0.000719076,6.573251986,0.033338134,-0.002790023,-0.001555003,0.221701121,0.226663862,0.03277477,0.144596363,0.001074186,0.22902116,0.933467759,0.299808039,0.174796252,1998,0.159232802,0.174796252,0.194327296,0.98240065
CARI,42.63648444,65.15267163,-147.491,ppt_gw,0.06,156.58,21.56,0.027177233,29.57135773,11.29107044,4.469846157,0,1940,0,0,1940,0,0,-0.938986781,-0.756136631,-0.681278386,-35.51738634,3.520281668,37.49660853,38.91,-0.001176698,0.000719076,6.573251986,0.033338134,-0.002790023,-0.001555003,0.221701121,0.226663862,0.03277477,0.144596363,0.001074186,0.22902116,0.933467759,0.299808039,0.174796252,1999,0.184557104,0.231453632,0.327171274,1
CARI,42.63648444,65.15267163,-147.491,ppt_gw,0.06,156.58,21.56,0.027177233,29.57135773,11.29107044,4.469846157,0,1940,0,0,1940,0,0,-0.938986781,-0.756136631,-0.681278386,-35.51738634,3.520281668,37.49660853,38.91,-0.001176698,0.000719076,6.573251986,0.033338134,-0.002790023,-0.001555003,0.221701121,0.226663862,0.03277477,0.144596363,0.001074186,0.22902116,0.933467759,0.299808039,0.174796252,2000,0.165001788,0.200198395,0.245137168,1
CARI,42.63648444,65.15267163,-147.491,ppt_gw,0.06,156.58,21.56,0.027177233,29.57135773,11.29107044,4.469846157,0,1940,0,0,1940,0,0,-0.938986781,-0.756136631,-0.681278386,-35.51738634,3.520281668,37.49660853,38.91,-0.001176698,0.000719076,6.573251986,0.033338134,-0.002790023,-0.001555003,0.221701121,0.226663862,0.03277477,0.144596363,0.001074186,0.22902116,0.933467759,0.299808039,0.174796252,2001,0.163123962,0.188483691,0.211896626,1
CARI,42.63648444,65.15267163,-147.491,ppt_gw,0.06,156.58,21.56,0.027177233,29.57135773,11.29107044,4.469846157,0,1940,0,0,1940,0,0,-0.938986781,-0.756136631,-0.681278386,-35.51738634,3.520281668,37.49660853,38.91,-0.001176698,0.000719076,6.573251986,0.033338134,-0.002790023,-0.001555003,0.221701121,0.226663862,0.03277477,0.144596363,0.001074186,0.22902116,0.933467759,0.299808039,0.174796252,2002,0.174831054,0.206078826,0.231392126,1
