site,project,ecoregion,Area_poly,lat_new,long_new,type,orgsoil_extent,DOC_uM,NO3_uM,SLOPE_MIN,SLOPE_MAX,SLOPE_MEAN,SLOPE_STD,cburntot,fireyear_rct,pctburn_rct,areaburn_rct,fireyear_lg,pctburn_lg,areaburn_lg,PADR_p25,PADR_p50,PADR_p75,TPI_p25,TPI_p50,TPI_p75,Pf_Prob_1m_mean_x,"NDVI_p50__linear_trend__attr_""slope""","NDVI_p50__linear_trend__attr_""stderr""",NDVI_p50__sum_values,NDVI_p50__mean_abs_change,NDVI_p50__mean_change,NDVI_p50__mean_second_derivative_central,NDVI_p50__median,NDVI_p50__mean,NDVI_p50__standard_deviation,NDVI_p50__variation_coefficient,NDVI_p50__variance,NDVI_p50__root_mean_square,NDVI_p50__absolute_sum_of_changes,NDVI_p50__maximum,NDVI_p50__minimum,Year,NDVI_p25,NDVI_p50,NDVI_p75,ObservedFraction
Globe,Burn_Streams,Interior,67.38490172,65.28415731,-148.136,ppt_gw,0.04,245.88,20.88,0.019524027,39.37327194,11.15947707,5.660981045,2.93,1957,2.93,1.976901881,1957,2.93,1.976901881,-1.011824509,-0.793217371,-0.708036409,-33.02766868,-4.985763793,29.02311939,43.86,-0.00039916,0.000484765,6.095739073,0.026549792,-0.002242533,0.000676443,0.215814686,0.217704967,0.020225442,0.092902986,0.000409068,0.21864245,0.716844388,0.266604231,0.190419341,1984,0.229513959,0.262701843,0.291991029,1
Globe,Burn_Streams,Interior,67.38490172,65.28415731,-148.136,ppt_gw,0.04,245.88,20.88,0.019524027,39.37327194,11.15947707,5.660981045,2.93,1957,2.93,1.976901881,1957,2.93,1.976901881,-1.011824509,-0.793217371,-0.708036409,-33.02766868,-4.985763793,29.02311939,43.86,-0.00039916,0.000484765,6.095739073,0.026549792,-0.002242533,0.000676443,0.215814686,0.217704967,0.020225442,0.092902986,0.000409068,0.21864245,0.716844388,0.266604231,0.190419341,1985,0.194362454,0.223664246,0.258784181,0.757225594
Globe,Burn_Streams,Interior,67.38490172,65.28415731,-148.136,ppt_gw,0.04,245.88,20.88,0.019524027,39.37327194,11.15947707,5.660981045,2.93,1957,2.93,1.976901881,1957,2.93,1.976901881,-1.011824509,-0.793217371,-0.708036409,-33.02766868,-4.985763793,29.02311939,43.86,-0.00039916,0.000484765,6.095739073,0.026549792,-0.002242533,0.000676443,0.215814686,0.217704967,0.020225442,0.092902986,0.000409068,0.21864245,0.716844388,0.266604231,0.190419341,1986,0.190424181,0.213861064,0.237317195,1
Globe,Burn_Streams,Interior,67.38490172,65.28415731,-148.136,ppt_gw,0.04,245.88,20.88,0.019524027,39.37327194,11.15947707,5.660981045,2.93,1957,2.93,1.976901881,1957,2.93,1.976901881,-1.011824509,-0.793217371,-0.708036409,-33.02766868,-4.985763793,29.02311939,43.86,-0.00039916,0.000484765,6.095739073,0.026549792,-0.002242533,0.000676443,0.215814686,0.217704967,0.020225442,0.092902986,0.000409068,0.21864245,0.716844388,0.266604231,0.190419341,1987,,,,0
Globe,Burn_Streams,Interior,67.38490172,65.28415731,-148.136,ppt_gw,0.04,245.88,20.88,0.019524027,39.37327194,11.15947707,5.660981045,2.93,1957,2.93,1.976901881,1957,2.93,1.976901881,-1.011824509,-0.793217371,-0.708036409,-33.02766868,-4.985763793,29.02311939,43.86,-0.00039916,0.000484765,6.095739073,0.026549792,-0.002242533,0.000676443,0.215814686,0.217704967,0.020225442,0.092902986,0.000409068,0.21864245,0.716844388,0.266604231,0.190419341,1988,,,,0
Globe,Burn_Streams,Interior,67.38490172,65.28415731,-148.136,ppt_gw,0.04,245.88,20.88,0.019524027,39.37327194,11.15947707,5.660981045,2.93,1957,2.93,1.976901881,1957,2.93,1.976901881,-1.011824509,-0.793217371,-0.708036409,-33.02766868,-4.985763793,29.02311939,43.86,-0.00039916,0.000484765,6.095739073,0.026549792,-0.002242533,0.000676443,0.215814686,0.217704967,0.020225442,0.092902986,0.000409068,0.21864245,0.716844388,0.266604231,0.190419341,1989,,,,0
Globe,Burn_Streams,Interior,67.38490172,65.28415731,-148.136,ppt_gw,0.04,245.88,20.88,0.019524027,39.37327194,11.15947707,5.660981045,2.93,1957,2.93,1.976901881,1957,2.93,1.976901881,-1.011824509,-0.793217371,-0.708036409,-33.02766868,-4.985763793,29.02311939,43.86,-0.00039916,0.000484765,6.095739073,0.026549792,-0.002242533,0.000676443,0.215814686,0.217704967,0.020225442,0.092902986,0.000409068,0.21864245,0.716844388,0.266604231,0.190419341,1990,,,,0
Globe,Burn_Streams,Interior,67.38490172,65.28415731,-148.136,ppt_gw,0.04,245.88,20.88,0.019524027,39.37327194,11.15947707,5.660981045,2.93,1957,2.93,1.976901881,1957,2.93,1.976901881,-1.011824509,-0.793217371,-0.708036409,-33.02766868,-4.985763793,29.02311939,43.86,-0.00039916,0.000484765,6.095739073,0.026549792,-0.002242533,0.000676443,0.215814686,0.217704967,0.020225442,0.092902986,0.000409068,0.21864245,0.716844388,0.266604231,0.190419341,1991,0.241214562,0.266604231,0.291987904,1
Globe,Burn_Streams,Interior,67.38490172,65.28415731,-148.136,ppt_gw,0.04,245.88,20.88,0.019524027,39.37327194,11.15947707,5.660981045,2.93,1957,2.93,1.976901881,1957,2.93,1.976901881,-1.011824509,-0.793217371,-0.708036409,-33.02766868,-4.985763793,29.02311939,43.86,-0.00039916,0.000484765,6.095739073,0.026549792,-0.002242533,0.000676443,0.215814686,0.217704967,0.020225442,0.092902986,0.000409068,0.21864245,0.716844388,0.266604231,0.190419341,1992,,,,0
Globe,Burn_Streams,Interior,67.38490172,65.28415731,-148.136,ppt_gw,0.04,245.88,20.88,0.019524027,39.37327194,11.15947707,5.660981045,2.93,1957,2.93,1.976901881,1957,2.93,1.976901881,-1.011824509,-0.793217371,-0.708036409,-33.02766868,-4.985763793,29.02311939,43.86,-0.00039916,0.000484765,6.095739073,0.026549792,-0.002242533,0.000676443,0.215814686,0.217704967,0.020225442,0.092902986,0.000409068,0.21864245,0.716844388,0.266604231,0.190419341,1993,,,,0
