column_label,HI_mean_Interp,HI_sd_with_Interp,N.S.,Max_width_Interp,Min_response,Max_response,Peak_Q,ShapiroTest.W,ShapiroTest.p,t.test.stat,t.test.p,t.test.CIlow,t.test.CIhigh,wilcox.test.stat,wilcox.test.p,storm.ID,site.ID
1,0.567233519690348,0.14707593560470314,-0.621367573877302,0.762732690299204,16.8357346740064,17.3985744532514,785.291234339033,0.8705,1e-4,26.9972,0,0.525,0.6095,1275,0,STRT_storm1_08_19_NO3,STRT
2,0.37314900481708185,0.14679214778105454,-0.668304430901974,0.611117723003794,50.768183316829,53.6070995873521,785.291234339033,0.9112,0.0011,17.7942,0,0.331,0.4153,1271,0,STRT_storm1_08_19_fDOM,STRT
3,0.6478584525119473,0.1389283654403421,-0.640264026402619,0.867986798679982,144.063590909091,146.818136363636,785.291234339033,0.9596,0.0856,32.6428,0,0.608,0.6877,1275,0,STRT_storm1_08_19_SPC,STRT
4,-0.21540967300758437,0.1384680210438148,0.0514733308467009,-0.58970533383066,2.30818181818182,4.74545454545455,785.291234339033,0.9679,0.1902,-10.8896,0,-0.2552,-0.1757,13,0,STRT_storm1_08_19_turb,STRT
5,0.24581400219928515,0.17673507443954845,-0.377808032675224,0.570115724982955,0.16195,0.172442857142857,785.291234339033,0.8394,0,9.736,0,0.1951,0.2966,1269,0,STRT_storm1_08_19_abs,STRT
6,0.6544315388178512,0.16422520890914466,-0.556276053728554,0.821676702177008,15.908848866876,16.8793731701302,937.306374341084,0.8193,0,27.8947,0,0.6073,0.7016,1275,0,STRT_storm2_09_04_NO3,STRT
7,-0.6122937518956523,0.20108122743754575,0.475116775995004,-0.81056691076995,62.9933857025557,77.2837221031481,937.306374341084,0.7738,0,-21.315,0,-0.67,-0.5546,0,0,STRT_storm2_09_04_fDOM,STRT
8,0.6155088195386837,0.12512555144301568,-0.578697421981046,0.786295793758507,134.099954545455,147.499954545455,937.306374341084,0.9177,0.0019,34.4339,0,0.5796,0.6514,1275,0,STRT_storm2_09_04_SPC,STRT
9,-0.16971619365609364,0.2809562280144457,0.53888059045778,-0.666110183639401,2.69454545454545,13.0409090909091,937.306374341084,0.8599,0,-4.2285,1e-4,-0.2504,-0.0891,333,0.0033,STRT_storm2_09_04_turb,STRT
10,-0.5651192858118551,0.17239080410972463,0.560325916640551,-0.777133604930531,0.173842857142857,0.242221428571429,937.306374341084,0.7875,0,-22.9469,0,-0.6146,-0.5156,0,0,STRT_storm2_09_04_abs,STRT
11,-0.2640711009174483,0.22309789388532705,0.191513761467977,-0.793004587155907,17.4394120633324,17.8615505424762,900.730753846031,0.9208,0.0025,-8.2856,0,-0.3281,-0.2,31,0,STRT_storm3_09_22_NO3,STRT
12,-0.032194507687892726,0.281122932849659,-0.106409385731765,-0.72590328643067,71.7550415354082,78.8757366917088,900.730753846031,0.8696,1e-4,-0.8016,0.4266,-0.1129,0.0485,596,0.6919,STRT_storm3_09_22_fDOM,STRT
13,0.17289198606271983,0.32191304810138177,0.188153310104482,0.599303135888538,139.318136363636,141.927227272727,900.730753846031,0.8365,0,3.7595,5e-4,0.0805,0.2653,996,5e-4,STRT_storm3_09_22_SPC,STRT
14,-0.18824322938038524,0.14160378359417067,0.451579811243334,-0.606175625769387,4.78727272727273,22.5109090909091,900.730753846031,0.854,0,-9.3056,0,-0.2289,-0.1476,3,0,STRT_storm3_09_22_turb,STRT
15,-0.3427336860670131,0.14319282745753975,0.44532627865961,-0.663403880070543,0.229823076923077,0.273438461538462,900.730753846031,0.8873,2e-4,-16.7546,0,-0.3838,-0.3016,0,0,STRT_storm3_09_22_abs,STRT
