"","site.ID","datetimeAK","Q","day","fDOM.QSU","SpCond.µS.cm","Turbidity.FNU","nitrateuM","DateTime","MeanDischarge","SpCond.uScm"
"1","STRT",2020-06-22 07:45:00,4221.47131496295,2020-06-21 08:00:00,126.201818181818,68.5,58.6054545454545,20.1199473039142,2020-06-22 07:45:00,4221.47131496295,68.5
"2","STRT",2020-06-22 08:00:00,4195.32467446115,2020-06-22 08:00:00,126.945454545455,68.6818181818182,59.7818181818182,20.1592504974608,2020-06-22 08:00:00,4195.32467446115,68.6818181818182
"3","STRT",2020-06-22 08:15:00,4231.09481616272,2020-06-22 08:00:00,126.262727272727,68.6727272727273,63.1254545454545,20.2151819652001,2020-06-22 08:15:00,4231.09481616272,68.6727272727273
"4","STRT",2020-06-22 08:30:00,4230.82602906739,2020-06-22 08:00:00,125.541818181818,68.6636363636364,59.22,20.2658226184235,2020-06-22 08:30:00,4230.82602906739,68.6636363636364
"5","STRT",2020-06-22 08:45:00,4261.38123952621,2020-06-22 08:00:00,126.149090909091,68.6545454545455,56.94,20.3595456184192,2020-06-22 08:45:00,4261.38123952621,68.6545454545455
"6","STRT",2020-06-22 09:00:00,4238.53202845599,2020-06-22 08:00:00,119.488181818182,68.6727272727273,60.5127272727273,20.4464661426086,2020-06-22 09:00:00,4238.53202845599,68.6727272727273
"7","STRT",2020-06-22 09:15:00,4275.14452358743,2020-06-22 08:00:00,129.181818181818,68.6545454545455,54.6581818181818,20.4774551990588,2020-06-22 09:15:00,4275.14452358743,68.6545454545455
"8","STRT",2020-06-22 09:30:00,4261.65002662159,2020-06-22 08:00:00,126.625454545455,68.6363636363636,63.57,20.5757131829252,2020-06-22 09:30:00,4261.65002662159,68.6363636363636
"9","STRT",2020-06-22 09:45:00,4265.7898094831,2020-06-22 08:00:00,127.940909090909,68.6636363636364,53.5418181818182,20.6603662151794,2020-06-22 09:45:00,4265.7898094831,68.6636363636364
"10","STRT",2020-06-22 10:00:00,4263.83631552808,2020-06-22 08:00:00,128.969090909091,68.7636363636364,58.6854545454545,20.6558312313086,2020-06-22 10:00:00,4263.83631552808,68.7636363636364
"11","STRT",2020-06-22 10:15:00,4300.48480280337,2020-06-22 08:00:00,128.612727272727,68.7545454545455,56.4463636363636,20.7495542313042,2020-06-22 10:15:00,4300.48480280337,68.7545454545455
"12","STRT",2020-06-22 10:30:00,4280.897029021,2020-06-22 08:00:00,128.350909090909,68.5818181818182,57.2054545454545,20.7979273925923,2020-06-22 10:30:00,4280.897029021,68.5818181818182
"13","STRT",2020-06-22 10:45:00,4285.03681188246,2020-06-22 08:00:00,129.178181818182,68.6727272727273,50.2136363636364,20.8455447232353,2020-06-22 10:45:00,4285.03681188246,68.6727272727273
"14","STRT",2020-06-22 11:00:00,4285.84317316854,2020-06-22 08:00:00,128.237272727273,68.7545454545455,53.7581818181818,20.8621729974281,2020-06-22 11:00:00,4285.84317316854,68.7545454545455
"15","STRT",2020-06-22 11:15:00,4331.81038240436,2020-06-22 08:00:00,129.051818181818,68.7090909090909,54.0554545454545,20.9196161264576,2020-06-22 11:15:00,4331.81038240436,68.7090909090909
"16","STRT",2020-06-22 11:30:00,4327.40181244747,2020-06-22 08:00:00,127.158181818182,68.6636363636364,54.2818181818182,20.9808384087128,2020-06-22 11:30:00,4327.40181244747,68.6636363636364
"17","STRT",2020-06-22 11:45:00,4348.87109589728,2020-06-22 08:00:00,127.843636363636,68.5818181818182,69.0154545454545,21.0292115700009,2020-06-22 11:45:00,4348.87109589728,68.5818181818182
"18","STRT",2020-06-22 12:00:00,4376.93523821031,2020-06-22 08:00:00,128.37,68.4727272727273,60.7827272727273,21.0140949570984,2020-06-22 12:00:00,4376.93523821031,68.4727272727273
"19","STRT",2020-06-22 12:15:00,4382.41895654862,2020-06-22 08:00:00,129.018181818182,68.4727272727273,53.8381818181818,21.0654914409669,2020-06-22 12:15:00,4382.41895654862,68.4727272727273
"20","STRT",2020-06-22 12:30:00,4409.40795048047,2020-06-22 08:00:00,129.202727272727,68.4727272727273,58.7645454545455,21.1214229087063,2020-06-22 12:30:00,4409.40795048047,68.4727272727273
"21","STRT",2020-06-22 12:45:00,4440.50073512987,2020-06-22 08:00:00,128.384545454545,68.4181818181818,63.1018181818182,21.1297370458027,2020-06-22 12:45:00,4440.50073512987,68.4181818181818
